CBSACODE,CBSATITLE,CBSASTATUS,agi_stub,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,0,19773.0,8352.0,11341.0,37137.0,10525.0,1025068.0,16733.0,682167.0,8376.0,25447.0,4579.0,15858.0,4069.0,11220.0,3017.0,38408.0,1595.0,3595.0,50933.0,1998.0,17852.0,3590.0,59339.0,610.0,2716.0,2695.0,29982.0,139.0,2699.0,3597.0,73264.0,171.0,819.0,3116.0,5389.0,3095.0,10845.0,3548.0,17262.0,2594.0,20520.0,2688.0,14222.0,16002.0,742350.0,7345.0,9604.0,3387.0,4840.0,1413.0,777.0,1533.0,1307.0,2669.0,4998.0,2250.0,4425.0,1815.0,2284.0,275.0,1022.0,14333.0,121734.0,15303.0,134055.0,4209.0,30648.0,14943.0,41041.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,1,320.0,127.0,255.0,529.0,102.0,-34836.0,109.0,4066.0,153.0,1101.0,74.0,593.0,66.0,529.0,85.0,-358.0,98.0,122.0,1012.0,0.0,0.0,32.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,186.0,36.0,98.0,158.0,947.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,2,7278.0,889.0,3567.0,8470.0,1837.0,89866.0,6032.0,70523.0,1907.0,2640.0,880.0,1342.0,782.0,632.0,742.0,3998.0,241.0,626.0,358.0,530.0,2758.0,928.0,7024.0,217.0,888.0,309.0,467.0,27.0,199.0,340.0,6689.0,0.0,0.0,291.0,636.0,188.0,466.0,317.0,1184.0,116.0,615.0,219.0,474.0,3962.0,24448.0,1155.0,454.0,215.0,85.0,83.0,27.0,65.0,28.0,1869.0,3718.0,1649.0,3418.0,992.0,1097.0,0.0,0.0,3212.0,2164.0,3778.0,3091.0,877.0,508.0,5973.0,10082.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,3,5098.0,1580.0,2721.0,9112.0,2420.0,185326.0,4447.0,147571.0,1802.0,3964.0,906.0,1530.0,767.0,835.0,714.0,4894.0,332.0,664.0,2119.0,492.0,3025.0,895.0,11887.0,231.0,1013.0,879.0,5060.0,0.0,0.0,784.0,12292.0,33.0,51.0,666.0,1205.0,637.0,1407.0,765.0,2650.0,535.0,3090.0,466.0,1262.0,4977.0,106629.0,2090.0,1922.0,971.0,980.0,329.0,171.0,364.0,231.0,770.0,1251.0,601.0,1007.0,665.0,991.0,0.0,0.0,4255.0,11392.0,4511.0,12937.0,802.0,1324.0,4251.0,11151.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,4,3076.0,2221.0,1942.0,7699.0,2384.0,190313.0,2663.0,140595.0,1632.0,2910.0,896.0,1812.0,798.0,1107.0,597.0,5962.0,264.0,614.0,1861.0,411.0,3571.0,754.0,14569.0,96.0,519.0,682.0,8977.0,0.0,0.0,697.0,11627.0,35.0,98.0,588.0,669.0,625.0,1797.0,693.0,2592.0,531.0,3706.0,497.0,1507.0,3066.0,125749.0,1712.0,2800.0,1066.0,1782.0,456.0,270.0,420.0,292.0,0.0,0.0,0.0,0.0,158.0,196.0,0.0,0.0,2914.0,14387.0,2979.0,16203.0,832.0,2282.0,2231.0,6565.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,5,1939.0,1690.0,1235.0,5448.0,1816.0,167032.0,1736.0,122574.0,1234.0,2821.0,681.0,1326.0,606.0,884.0,390.0,4710.0,240.0,521.0,3154.0,251.0,3038.0,498.0,10928.0,40.0,149.0,374.0,6531.0,21.0,207.0,667.0,12100.0,30.0,82.0,582.0,864.0,619.0,1974.0,665.0,2970.0,545.0,4326.0,511.0,1890.0,1936.0,120967.0,1140.0,2258.0,713.0,1353.0,321.0,191.0,324.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905.0,14909.0,1918.0,16771.0,612.0,2724.0,1324.0,4584.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,6,1567.0,1406.0,1168.0,4530.0,1551.0,203340.0,1357.0,125309.0,1182.0,4323.0,777.0,3443.0,709.0,2384.0,363.0,8484.0,286.0,673.0,10364.0,239.0,3791.0,387.0,10485.0,26.0,147.0,345.0,6513.0,40.0,616.0,800.0,17355.0,42.0,219.0,714.0,1306.0,739.0,3050.0,799.0,4617.0,653.0,6197.0,706.0,3624.0,1566.0,161154.0,961.0,1577.0,422.0,640.0,202.0,110.0,306.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,90.0,1553.0,26239.0,1558.0,29477.0,730.0,7237.0,845.0,4073.0
10100,"Aberdeen, SD Micro Area",Micropolitan Statistical Area,7,495.0,439.0,453.0,1349.0,415.0,224027.0,389.0,71529.0,466.0,7688.0,365.0,5812.0,341.0,4849.0,126.0,10718.0,134.0,375.0,32065.0,75.0,1669.0,96.0,3833.0,0.0,0.0,106.0,2434.0,51.0,1677.0,309.0,13201.0,31.0,369.0,275.0,709.0,287.0,2151.0,309.0,3249.0,214.0,2586.0,289.0,5465.0,495.0,203403.0,287.0,593.0,0.0,0.0,22.0,8.0,54.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,932.0,494.0,52643.0,494.0,55390.0,320.0,16475.0,161.0,3639.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,0,29810.0,12524.0,14248.0,60094.0,17721.0,1272374.0,23293.0,879173.0,11929.0,19825.0,4581.0,14612.0,4016.0,10526.0,3639.0,39307.0,378.0,3647.0,18778.0,3000.0,43484.0,6613.0,134064.0,5418.0,48478.0,4588.0,49503.0,116.0,1548.0,7095.0,133612.0,214.0,993.0,6157.0,10725.0,6546.0,16632.0,7006.0,29281.0,5872.0,54400.0,4779.0,14697.0,22257.0,799096.0,8832.0,10262.0,5061.0,6232.0,783.0,392.0,1317.0,1069.0,5645.0,10997.0,4933.0,10016.0,3926.0,4926.0,230.0,585.0,19785.0,116264.0,21014.0,124056.0,4451.0,13942.0,24053.0,65191.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,1,483.0,182.0,324.0,716.0,81.0,-15224.0,84.0,1639.0,207.0,313.0,110.0,135.0,92.0,67.0,193.0,-2511.0,25.0,157.0,359.0,42.0,594.0,73.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,62.0,22.0,23.0,191.0,335.0
