County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,ALASKA,373368,128940,164068,677441,206935,21484633,312842,15475180,133380,258018,89582,377749,74803,289898,56447,905853,1238,46409,448758,20036,358027,58442,1567405,91953,304101,29159,342698,2691,52945,94306,1947909,21276,22986,28193,31509,85268,336327,90711,397810,81064,901428,67727,315835,318588,15631333,128389,160367,18281,16690,70247,86668,13818,7547,33984,43957,48822,90701,41741,81064,4475,17157,291343,2751132,304241,2913352,86303,301606,276903,1031101
0,Under $1,3777,977,2343,5347,982,-189128,1036,29689,1611,5749,993,3690,824,1599,1491,-32855,80,1240,4811,160,2912,407,6614,141,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,14,0,0,168,10,0,0,184,296,371,367,249,256,0,0,29,87,551,1136,290,431,1809,10871
0,"$1 under $25,000",134760,11147,53368,150847,39081,1482039,99715,1076342,25679,20005,23831,34587,19424,25196,14416,72944,150,7144,630,2597,13669,8966,77388,46384,123326,2208,4138,81,446,5396,81124,754,439,1551,1253,3706,10257,4551,12547,3282,27955,2841,5638,86297,431010,23969,7324,539,210,10679,2246,995,264,17676,18838,32891,63848,28784,58442,28,20,75145,39012,83537,54227,31886,9993,95126,276656
0,"$25,000 under $50,000",91477,21224,34694,163857,49786,3313760,82443,2716007,22831,54809,15485,31901,12259,22428,10761,108142,153,6323,6499,3345,30255,11265,193935,23912,84647,7536,44355,189,1522,13600,206698,2644,1693,3707,3171,11115,30276,12539,37705,10692,91848,7976,19462,89188,1945416,35407,34771,2635,2041,20838,20529,3335,1777,13285,20392,15560,26486,12708,22366,21,81,76173,214201,79260,236945,12020,20889,79144,259869
0,"$50,000 under $75,000",51212,23547,24117,112189,36829,3157799,45708,2470456,22666,23194,13298,32142,10801,22291,8877,105720,212,6907,10014,3741,44252,10894,278906,11131,46624,6721,82325,280,2598,18542,304682,3764,2319,5440,4815,16588,49140,17747,57904,16075,150006,12165,35930,51032,2157168,23082,36415,3763,3197,15634,26136,2544,1424,2484,3849,0,0,0,0,73,121,48406,284257,49158,306312,11189,28607,39888,125799
0,"$75,000 under $100,000",34792,23619,17288,88068,29320,3015566,31372,2319825,19142,21471,10737,29323,9041,20450,7158,98987,197,6273,16771,3332,52772,9304,294173,5892,26622,5143,78924,301,3467,17331,323592,3999,2767,5483,6519,16081,53674,16915,63461,15594,165332,12251,42760,34751,2196356,17713,31113,3571,3257,11983,21769,2344,1343,306,500,0,0,0,0,139,252,34380,309478,34500,329944,8636,28393,26073,98157
0,"$100,000 under $200,000",47175,39650,25002,129270,42063,6313306,43506,4799966,32378,51555,18778,68771,16427,48445,10778,246024,299,12733,77099,5419,131790,14686,555929,4263,20800,6164,104696,951,15056,30956,687727,7940,6622,9890,11979,29568,123326,30548,146361,28366,349076,24879,109075,47149,4980996,23410,34186,6540,6379,10945,15978,3957,2366,49,82,0,0,0,0,760,1559,47049,878101,47070,923530,17431,91647,29608,140718
0,"$200,000 or more",10175,8776,7256,27863,8874,4391291,9062,2062895,9073,81235,6460,177335,6027,149489,2966,306891,147,5789,332934,1442,82377,2920,160460,230,1534,1387,28260,889,29856,8481,344086,2175,9146,2122,3772,8210,69654,8411,79832,7055,117211,7615,102970,10171,3920387,4593,16544,1233,1606,0,0,643,373,0,0,0,0,0,0,3454,15124,10161,1025996,10165,1061258,4851,121646,5255,119031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aleutians East Borough,1063,279,392,1808,518,40272,847,28836,201,344,286,427,255,304,298,6473,0,38,265,0,0,65,902,301,892,50,632,0,0,95,1674,0,0,33,26,41,130,71,176,49,492,65,258,918,26759,269,258,0,0,194,204,0,0,104,116,147,287,118,249,0,0,849,3776,898,4734,333,1727,705,1654
