County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,ALABAMA,2100274,785681,1273772,4389348,1388578,97604671,1733560,72276379,648344,1508016,280440,1438543,246271,1103934,340738,2882806,49990,209185,2125463,155998,2239541,401412,8250377,177478,956278,239712,2662189,7094,130896,597252,12580721,472832,2009415,104431,139590,502832,646669,594024,2954116,470141,4048346,515552,2830060,1486268,63024651,697410,870595,112497,95026,363507,415146,99047,51585,403905,529032,548773,1379125,500205,1233638,24706,127111,1253809,10336547,1403055,10948191,307476,1190657,1724696,5602752
0,Under $1,55504,9767,20102,63924,7506,-1728656,7563,220426,11238,60105,7373,34653,6604,22713,11037,-187985,3063,9329,70440,2013,34420,3455,44923,540,3529,45,175,38,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,79,0,0,26,29,0,0,1376,2082,2743,3035,1915,2071,62,666,61,655,3940,9449,1855,3314,33569,83090
0,"$1 under $25,000",933294,140316,563827,1629025,517538,12081622,741774,9231848,146425,187603,53542,86189,45801,51159,155246,924543,10783,38318,-4340,40069,224430,114854,1070169,90570,514131,31015,52122,413,1617,66966,905131,25111,30926,33777,29978,39777,35926,64992,109140,37083,236265,48985,121123,393570,2592458,136397,50888,7832,3282,47542,15149,10991,3938,282161,347086,422375,1167698,394432,1053663,142,239,287137,179283,407604,336447,68846,38201,819504,2224517
0,"$25,000 under $50,000",495863,169878,303935,1081258,342804,17754559,433817,14462326,134908,198318,47862,100281,40918,64043,62647,299086,10779,32972,28688,35584,318926,100587,1699351,44032,221729,83529,486310,672,3888,134823,1931823,98796,166924,30716,38365,101508,80559,134019,312799,97065,616627,109722,349356,478594,8875437,241098,237917,30872,23100,135933,123927,30669,17542,108459,164635,123655,208392,103858,177904,101,275,366149,847623,386987,937391,66414,89270,427469,1260800
0,"$50,000 under $75,000",254814,156414,160348,607774,187672,15652310,224607,12273682,114637,165198,45323,119737,39230,80662,41131,262105,9047,31340,45765,27637,335228,70038,1601843,21868,111897,53804,733364,572,4143,124039,2112554,102992,259867,18079,25602,106221,95804,123743,410764,101268,743604,106625,415208,253750,10003557,127556,201949,27384,23760,82209,125702,20384,10453,10792,13704,0,0,0,0,597,977,241943,1190564,245345,1268966,54457,110846,199858,611562
0,"$75,000 under $100,000",154603,125336,94841,413668,131234,13359551,138329,10397639,88570,137842,38390,112578,33604,78781,27003,235953,6545,26882,62916,20393,335100,47660,1339848,11358,57593,33169,597758,567,5378,97927,1895856,85606,295927,10584,19128,90079,93808,97844,434601,85379,716990,87661,402755,154372,9329843,84309,148233,19153,17214,55570,92427,16496,8773,960,1300,0,0,0,0,737,1403,153041,1211567,153490,1275509,37561,101631,116853,413189
0,"$100,000 under $200,000",166872,148634,100029,476977,159923,21938639,152788,16855509,117610,245987,62305,251799,55948,186862,32747,555276,7344,46828,240169,24088,620379,54244,1919609,8308,43038,30800,621457,1940,28975,135709,3316806,124501,652815,9533,21092,129075,194441,135654,913408,119881,1225295,126374,778860,166717,16533689,89390,134023,22597,21773,42227,57912,18113,9626,157,225,0,0,0,0,3772,9066,166262,2782512,166445,2908829,58856,280457,107754,480527
0,"$200,000 or more",39324,35336,30690,116722,41901,18546646,34682,8834949,34956,512963,25645,733306,24166,619714,10927,793828,2429,23516,1681825,6214,371058,10574,574634,802,4361,7350,171003,2892,86520,37788,2418551,35826,602956,1742,5425,36172,146131,37772,773404,29465,509565,36185,762758,39265,15689667,18562,97506,4659,5897,0,0,2394,1253,0,0,0,0,0,0,19295,114485,39216,4124343,39244,4211600,19487,566938,19689,529067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Autauga County,24821,10183,11995,52230,17506,1141741,21177,898499,7893,10302,3179,6121,2739,4010,3414,25106,419,2176,12678,1624,17829,4932,112072,1641,8967,2823,30999,39,594,7237,139264,5747,19954,1242,2461,6212,4726,7208,28713,6091,52925,6103,28805,18789,718586,9123,11827,1163,953,5120,6709,1382,772,3980,5075,5597,13789,5130,12497,129,486,16201,103549,17539,109480,3594,13210,20634,61798
1,Under $1,457,76,149,582,85,-12154,68,1764,87,297,62,48,55,34,81,-593,27,69,4249,0.0001,0.0001,24,196,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,28,40,20,31,0.0001,0.0001,0.0001,0.0001,39,72,0.0001,0.0001,309,609
1,"$1 under $25,000",10206,1330,4879,15594,4884,130919,8413,104943,1479,1417,532,578,454,326,1427,7782,63,365,-226,400,2233,1132,11045,847,4748,323,597,0.0001,0.0001,685,10238,277,696,339,1044,423,258,668,2212,405,2807,479,1188,4821,27958,1616,773,67,30,460,157,130,48,2611,3122,4160,11399,3925,10449,0.0001,0.0001,3619,2236,4684,3583,732,414,9055,23514
1,"$25,000 under $50,000",5736,1980,2735,12246,4060,205340,5029,169753,1532,1913,546,977,466,580,624,2713,83,358,215,373,2969,1143,20618,365,2046,973,5543,0.0001,0.0001,1407,19477,1023,1651,321,421,1067,610,1398,2945,1087,7215,1085,3143,5559,105081,2804,2894,245,163,1585,1513,328,191,1185,1725,1409,2350,1185,2017,0.0001,0.0001,4367,9989,4565,10888,723,942,4997,15034
1,"$50,000 under $75,000",3412,2273,1744,8777,3027,211585,3017,168661,1587,1617,598,920,514,580,489,3200,73,386,216,324,3686,944,23782,227,1156,681,9134,0.0001,0.0001,1584,26337,1282,3030,255,365,1378,864,1583,4537,1358,10793,1321,5207,3403,134033,1871,3218,318,267,1326,2148,349,195,184,228,0,0,0,0,0.0001,0.0001,3228,15329,3259,16334,669,1393,2739,8802
1,"$75,000 under $100,000",2375,2031,1169,6962,2514,205158,2170,168254,1332,1116,525,846,434,544,348,2048,75,336,914,224,2789,726,20752,119,583,433,7400,0.0001,0.0001,1436,26543,1224,3930,179,314,1316,901,1434,5427,1310,11564,1237,5437,2373,142789,1364,2681,228,206,1011,1842,280,170,0.0001,0.0001,0,0,0,0,0.0001,0.0001,2359,17846,2362,18567,525,1141,1846,6489
1,"$100,000 under $200,000",2397,2274,1147,7350,2671,309996,2271,249091,1663,2162,786,1621,696,1144,386,4818,98,548,2020,279,5335,878,31841,83,434,363,7258,39,594,1898,43275,1728,8193,148,317,1817,1731,1898,10680,1749,18062,1768,10403,2396,234136,1371,2160,279,255,738,1049,295,168,0.0001,0.0001,0,0,0,0,41,63,2393,38416,2393,39700,811,3279,1584,6119
1,"$200,000 or more",238,219,172,719,265,90897,209,36033,213,1780,130,1131,120,802,59,5138,0.0001,114,5290,24,817,85,3838,0.0001,0.0001,50,1067,0.0001,0.0001,227,13394,213,2454,0.0001,0.0001,211,362,227,2912,182,2484,213,3427,237,74589,97,101,26,32,0,0,0.0001,0.0001,0,0,0,0,0,0,88,423,235,19733,237,20336,134,6041,104,1231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
