State FIPS code,State,County FIPS code,County name,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,US,0,Total [11],142847788,53263498,80899174,287384599,90844951,8035953597,117467882,5801702070,54779676,141835806,27717500,179957421,24739080,133643408,22739653,270831738,1942508,21214816,339337335,12382268,192490568,26081270,542956766,15080505,121468841,15914975,188225383,906342,18883626,47078390,1229642268,33158530,246202981,11450316,17641511,41024319,173610174,46729345,448323731,36663663,389894945,38316978,169683555,107089971,5456267604,48044508,63796571,23493056,28257912,6185019,3284973,7108963,6204407,27473876,60483002,24033169,52472547,21101667,27904713,4037318,27362170,93384728,994606879,102585410,1046394030,23660898,99651232,113613241,379783973
1,AL,0,Alabama,2100274,785681,1273772,4389348,1388578,97604671,1733560,72276379,648344,1508016,280440,1438543,246271,1103934,340738,2882806,49990,209185,2125463,155998,2239541,401412,8250377,177478,956278,239712,2662189,7094,130896,597252,12580721,472832,2009415,104431,139590,502832,646669,594024,2954116,470141,4048346,515552,2830060,1486268,63024651,697410,870595,363507,415146,99047,51585,112497,95026,548773,1379125,500205,1233638,403905,529032,24706,127111,1253809,10336547,1403055,10948191,307476,1190657,1724696,5602752
1,AL,1,Autauga County,24821,10183,11995,52230,17506,1141741,21177,898499,7893,10302,3179,6121,2739,4010,3414,25106,419,2176,12678,1624,17829,4932,112072,1641,8967,2823,30999,39,594,7237,139264,5747,19954,1242,2461,6212,4726,7208,28713,6091,52925,6103,28805,18789,718586,9123,11827,5120,6709,1382,772,1163,953,5597,13789,5130,12497,3980,5075,129,486,16201,103549,17539,109480,3594,13210,20634,61798
1,AL,3,Baldwin County,85312,37613,47626,175253,52276,4331432,67180,2944594,30721,76050,16407,85725,14407,61562,15786,168253,1196,13113,107779,9520,155146,19457,440869,6565,38951,13675,160280,403,6531,27586,611052,19960,83744,6595,8687,23246,30650,27422,128949,21775,218889,22828,103703,63304,2909193,27176,35888,14516,17776,3900,1960,3910,3440,16531,37710,14536,32902,12531,15948,1319,6542,55683,482358,61483,517828,18120,82619,63313,186866
1,AL,5,Barbour County,10873,3367,7821,22943,7228,368337,9024,281232,2853,6459,1184,4808,1087,3810,1546,6718,469,890,15870,667,8912,1795,34269,946,4599,1199,12728,21,345,2149,42163,1587,5600,473,1559,1748,1755,2130,9862,1522,11659,1896,9528,6909,210867,3208,3108,1859,1764,372,186,377,316,3966,10186,3682,9389,2813,3543,43,155,5455,29634,6199,31857,1175,3508,9366,29558
1,AL,7,Bibb County,8639,3517,5068,18539,5921,326695,6801,256627,2115,3496,619,1376,507,781,1268,8843,203,494,6719,476,6161,1417,23387,892,4003,897,8880,0,0,1774,32550,1467,4874,253,302,1447,825,1763,6383,1399,9636,1507,6988,5659,193657,2642,3188,1710,2083,344,157,357,303,2416,5997,2172,5337,1676,2066,35,142,4788,26954,5387,28910,959,3154,7289,22279
1,AL,9,Blount County,22197,11692,15452,50847,16358,945582,18476,732593,7120,14301,2161,8437,1843,6903,3811,28428,1241,1631,17120,1753,20990,4237,73904,2281,12170,2729,27971,35,431,5918,109203,4829,17442,950,1031,5099,4162,5889,23973,4829,38144,4952,20114,15979,569408,7705,9496,4839,6037,866,421,1234,1004,5209,11924,4602,10192,4184,5691,104,451,13650,79143,15537,85557,3066,8375,18411,54047
1,AL,11,Bullock County,3807,704,2647,8254,2943,115687,3309,89251,677,1581,267,1041,239,783,508,3845,202,222,1577,149,2111,500,10087,364,1861,296,2841,0,0,626,11247,469,1388,130,147,450,396,624,2081,386,2402,551,3001,2425,59387,1224,1220,686,578,159,100,138,115,1615,4501,1514,4214,1297,1623,20,73,1762,8277,2009,9129,415,1498,3302,11548
1,AL,13,Butler County,9080,2730,6207,18387,6019,310793,7426,225988,1956,4360,705,3024,610,2088,1368,11046,456,591,5000,533,6237,1530,25085,1126,5140,894,8613,0,0,1420,27507,1052,4519,318,343,1105,1000,1411,6107,986,6873,1147,6684,5804,178408,2764,2996,1583,1607,378,164,323,276,3374,9037,3129,8383,2206,2523,51,247,4631,27206,5231,29383,1079,2920,7633,25918
1,AL,15,Calhoun County,49014,20316,31421,103965,32438,2050807,40389,1539957,18073,26411,5962,18746,5187,12817,6807,61482,803,4035,14606,3549,39234,11466,235832,4607,24068,6357,62306,101,1970,12176,229434,9496,31869,2311,2676,10064,9092,12128,46667,9513,69282,10660,56577,35396,1238535,16332,18110,8876,10464,2117,1007,3029,2351,12668,29445,11455,26390,9115,11613,292,1106,30415,180406,33398,192252,6511,19045,41135,122486
