County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,ARKANSAS,1223282,504830,766380,2564541,817851,56886252,1025353,40270547,382607,884744,178639,2182230,159285,2019857,196007,1734256,44521,140567,1607789,96928,1286845,225435,4013208,125044,764518,149014,1599503,2778,50669,302973,6755699,246111,1549422,48542,82461,253518,402750,301771,2126355,229478,1781614,240482,1335533,877722,35756894,388592,437734,45700,37714,221963,256145,51310,26229,232105,293714,318004,740654,284262,661564,18181,117349,748301,5715289,837019,6092213,195489,734692,987719,2959094
0,Under $1,19263,7760,13750,30674,5140,-238851,4912,142330,8106,31707,4480,19182,3961,14878,6844,-86867,3709,5903,49869,1310,19279,2358,23544,470,3008,36,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23,0,0,0,0,0,0,955,1421,2107,2626,1438,1801,40,592,42,523,3006,6378,1501,2295,8378,32841
0,"$1 under $25,000",551198,100517,334756,947704,306294,7064887,443005,5404526,92941,116591,37689,56695,32761,34226,82028,520483,10694,28944,7667,26564,150712,67955,565657,59128,327112,18413,30089,137,635,31082,444050,10418,13345,17585,20488,20772,22572,30392,63626,16207,100233,20732,55187,236344,1347734,76255,26148,3227,1294,30546,10331,4747,1668,158242,185603,237821,601547,218195,544557,94,115,179990,117277,247920,209615,47488,27302,475382,1167557
0,"$25,000 under $50,000",305799,123160,188671,674750,220995,10927746,269056,8788709,85605,114223,34506,64432,30253,41832,41453,297783,9914,25747,33362,23353,203515,59182,883868,36521,237019,54518,307181,202,1094,64005,934735,46051,85684,15847,21580,47771,48825,63691,169983,44369,263396,45144,151157,295190,5459132,141495,129635,12577,8937,88603,83524,14855,7890,65890,97970,78076,136481,64629,115206,80,150,229911,532427,245331,599856,44145,59549,260061,734173
0,"$50,000 under $75,000",154448,105851,99812,380689,116710,9474318,136308,7331961,68534,103596,29897,67655,26475,46300,26070,196345,7803,22339,49120,17791,214938,40585,837531,16709,108294,34455,463927,252,2002,63408,1071151,54153,164427,7883,14129,52811,61005,63283,256567,49827,329303,49212,193709,153872,6066522,75099,116527,11418,9347,51558,82133,12210,6173,6417,7934,0,0,0,0,334,506,146997,716315,149089,768291,36414,76678,117686,334187
0,"$75,000 under $100,000",86854,73128,55811,232232,71145,7484631,77179,5680464,49287,79990,23448,62667,20968,45608,15948,155028,5274,17579,66176,12163,204077,25807,673674,7025,48146,19907,353297,269,2817,52829,1014882,48241,209721,3759,10492,47304,63003,52790,299372,44193,326714,43679,197424,86730,5242937,44712,76570,8060,6964,30563,51612,9044,4831,499,646,0,0,0,0,453,927,86004,676763,86219,716919,23427,68338,63267,214213
0,"$100,000 under $200,000",84350,75342,55822,236202,75818,11104152,76038,8152259,59148,136089,34274,135729,31264,105666,17487,294330,5356,26672,192053,12576,324786,25013,829484,4700,36772,17533,350040,853,12437,70824,1755522,67258,487027,2770,12466,65483,123864,70794,648442,59361,524471,62337,360511,84258,8334655,42027,59111,8564,8560,20693,28545,8899,4814,102,140,0,0,0,0,2632,6031,84046,1402845,84125,1469948,31886,177341,52309,243409
0,"$200,000 or more",21370,19072,17758,62290,21749,11069369,18855,4770298,18986,302548,14345,1775870,13603,1731347,6177,357154,1771,13383,1209542,3171,169538,4535,199450,491,4167,4152,94736,1065,31684,20825,1535359,19990,589218,698,3306,19377,83481,20821,688365,15521,237497,19378,377545,21328,9305914,8958,29720,1854,2612,0,0,1555,853,0,0,0,0,0,0,14548,109028,21311,2269139,21329,2321206,10628,323189,10636,232714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arkansas County,8340,3312,5339,17449,5245,362039,7047,258515,2600,5460,1181,4533,1096,3863,1267,6958,346,804,13993,625,6097,1317,21006,788,4335,1036,10934,34,407,1574,35364,1279,8706,254,334,1134,1202,1566,10670,1017,6764,1284,8643,6012,226221,2459,2480,268,227,1573,1677,302,166,1703,2125,2281,5244,2015,4789,94,490,5124,36493,5626,39774,1472,7250,6555,19425
1,Under $1,189,114,154,392,92,-2977,70,3697,95,219,48,161,41,141,65,-1491,49,58,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,0,0,0,0,47,111,0,0,85,361
1,"$1 under $25,000",3689,656,2266,6525,2036,48663,2957,37924,696,847,283,381,251,286,448,1902,73,178,-6,219,1403,493,3806,417,2006,134,230,0,0,198,3275,85,136,100,89,109,99,194,347,82,465,139,490,1623,9087,470,160,21,10,255,85,33,12,1163,1327,1619,4147,1504,3897,0,0,1251,804,1613,1386,343,289,3150,8141
1,"$25,000 under $50,000",2365,839,1460,5238,1661,84089,2146,70426,581,745,210,300,196,231,311,1570,60,121,123,148,1191,340,4357,239,1410,386,2087,0,0,334,4551,238,499,83,98,210,127,332,789,195,1010,252,926,2298,43099,1044,990,80,67,764,735,108,63,514,776,640,1056,511,892,0,0,1814,4280,1893,4820,376,592,1982,5525
1,"$50,000 under $75,000",983,721,634,2361,629,60248,878,46750,434,749,176,361,171,279,186,947,61,109,286,89,751,218,3844,86,594,230,3065,0,0,300,5226,256,924,36,74,195,140,300,1223,198,1230,230,1023,980,39154,424,614,60,41,305,467,78,42,26,22,0,0,0,0,0,0,952,4687,961,5095,283,829,696,1862
1,"$75,000 under $100,000",524,458,353,1354,368,44812,473,32810,325,443,141,442,129,351,105,1155,40,83,346,80,1154,135,2872,46,325,134,2405,34,407,265,5020,240,1107,35,73,215,176,264,1396,194,1278,228,1199,524,31933,239,394,48,45,156,253,47,28,0,0,0,0,0,0,22,33,520,4127,522,4570,183,855,341,1217
1,"$100,000 under $200,000",464,406,357,1243,367,61759,413,39983,349,1003,233,1611,220,1399,106,1978,63,168,1390,89,1598,109,3649,0,0,111,2185,0,0,356,8589,343,2632,0,0,296,352,355,3125,261,1967,319,2280,461,47482,217,281,59,64,93,137,36,21,0,0,0,0,0,0,0,0,461,7997,464,8742,210,1914,253,1138
1,"$200,000 or more",126,118,115,336,92,65445,110,26925,120,1454,90,1277,88,1176,46,897,0,87,9116,0,0,22,2478,0,0,41,962,0,0,121,8703,117,3408,0,0,109,308,121,3790,87,814,116,2725,126,55466,65,41,0,0,0,0,0,0,0,0,0,0,0,0,72,457,126,14598,126,15050,77,2771,48,1181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ashley County,8994,3763,6361,19159,6274,371855,7618,279581,2557,4419,815,4025,731,3417,1269,8798,332,702,8273,732,9987,1656,26686,1049,6115,1159,12116,0,0,1869,39036,1482,7820,349,694,1371,1134,1867,10268,1154,6079,1524,8587,6164,222250,2688,3258,382,315,1741,1951,317,160,1899,2165,2762,6742,2546,6199,90,349,5235,32424,5774,34773,1345,5598,7325,22045
3,Under $1,180,60,89,260,44,-1795,33,1058,53,176,23,172,21,166,42,-532,30,28,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,0,0,80,190
3,"$1 under $25,000",4084,794,2932,7411,2545,51699,3354,39644,654,640,189,293,172,199,516,2415,64,168,-47,229,1504,609,5460,491,2576,182,290,0,0,180,2865,52,64,119,296,110,69,180,475,68,322,142,473,1514,7702,464,143,22,8,249,74,40,13,1359,1506,2113,5651,2011,5253,0,0,1130,671,1564,1209,315,160,3565,9751
3,"$25,000 under $50,000",2244,933,1552,4995,1710,80691,1983,65969,563,709,167,263,147,188,274,796,71,126,256,193,1959,440,6664,317,1946,437,2579,0,0,427,7063,291,515,119,156,259,161,425,962,213,876,323,1208,2168,39295,1028,1022,119,97,710,680,125,75,494,604,649,1091,535,946,0,0,1670,3712,1749,4057,355,490,1875,5254
3,"$50,000 under $75,000",1124,751,819,2835,924,68930,1009,56602,458,403,128,239,111,160,161,325,60,104,193,118,2182,239,4332,129,893,235,3314,0,0,415,7380,338,1036,71,123,284,165,415,1460,273,1235,326,1581,1122,43875,558,880,103,86,412,644,75,38,46,55,0,0,0,0,0,0,1080,5134,1083,5398,251,502,870,2601
3,"$75,000 under $100,000",720,649,488,1953,576,62001,658,50413,381,507,109,310,98,220,127,465,52,94,408,101,1961,191,4029,68,356,169,3084,0,0,364,6964,333,1437,40,119,301,206,364,1830,251,1379,308,1729,719,43853,357,569,77,67,246,397,39,18,0,0,0,0,0,0,0,0,717,5691,718,5916,178,515,539,1820
3,"$100,000 under $200,000",552,498,405,1472,413,69649,506,51633,368,936,140,695,126,565,114,2076,55,130,1086,91,2381,156,5142,44,344,114,2333,0,0,398,9279,383,2674,0,0,347,362,398,3244,299,1828,348,2331,551,53236,238,401,61,57,124,156,38,16,0,0,0,0,0,0,36,65,548,8825,549,9287,187,1253,365,1768
3,"$200,000 or more",90,78,76,233,62,40680,75,14262,80,1048,59,2053,56,1919,35,3253,0,52,6006,0,0,21,1059,0,0,22,516,0,0,85,5485,85,2094,0,0,70,171,85,2297,50,439,77,1265,90,34289,43,243,0,0,0,0,0,0,0,0,0,0,0,0,54,284,90,8391,90,8857,59,2678,31,661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Baxter County,18061,9143,11910,35068,8413,714624,12634,423015,8225,17510,4216,15625,3877,11256,3160,23451,622,3309,10995,3089,40402,5839,112831,1927,11590,4095,39664,27,538,4230,88627,2731,16102,1395,1799,3771,5146,4217,24211,3028,24209,3329,14723,12452,422245,4984,4887,996,931,2098,2487,556,265,2236,2686,3761,7572,3183,6617,229,1318,10951,64189,12370,69238,3246,8737,13673,35225
5,Under $1,411,194,349,673,86,-6015,113,1949,218,406,117,180,107,113,176,-1174,39,182,103,47,226,76,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,60,47,41,0,0,0,0,63,86,36,23,168,315
5,"$1 under $25,000",8549,2482,5183,13641,3197,108248,5759,65365,2762,4087,1323,2553,1175,1477,1359,7085,148,965,-380,1041,6143,2124,19902,1022,5475,620,933,0,0,751,11484,154,244,562,496,608,604,745,1443,436,2693,518,1098,3531,19613,926,275,113,49,241,77,52,18,1484,1645,2838,5938,2448,5289,0,0,2897,1765,3962,3138,898,487,6777,13109
5,"$25,000 under $50,000",4546,2607,3046,9502,2311,162495,3332,100319,2142,3994,1049,2846,970,1902,755,4293,151,751,830,852,7985,1676,29822,540,3652,1678,9463,0,0,1069,16704,581,1026,453,528,920,880,1063,2649,708,4502,783,2170,4387,78191,1911,1472,337,249,850,805,165,73,669,934,855,1574,688,1287,0,0,3626,7579,3879,8555,815,873,3692,9256
5,"$50,000 under $75,000",2339,1858,1638,5516,1306,143135,1699,81683,1407,2878,724,3022,678,2139,421,3355,122,563,1181,549,7378,1030,28019,239,1548,959,13275,27,538,889,16126,645,2076,226,376,804,924,888,3567,683,4753,717,2682,2323,91035,1103,1509,283,268,574,915,174,86,83,107,0,0,0,0,0,0,2228,10438,2261,11270,694,1335,1632,4366
5,"$75,000 under $100,000",1110,993,816,2767,663,95062,806,50927,783,2012,440,2026,412,1492,187,1671,64,356,1661,324,6741,539,17943,76,553,487,8980,0,0,620,12094,513,2170,99,224,575,789,620,3348,496,4074,507,1945,1107,67141,541,816,143,158,275,466,78,42,0,0,0,0,0,0,0,0,1097,8416,1101,8896,359,951,747,2347
5,"$100,000 under $200,000",852,774,643,2233,604,110967,705,64888,682,2220,408,2532,384,2063,194,3867,54,341,3807,223,7950,337,13510,50,362,295,5793,0,0,657,16583,607,4434,55,175,628,1070,657,5849,528,4908,587,3305,851,83946,401,561,97,145,158,224,87,46,0,0,0,0,0,0,49,93,850,13758,851,14469,337,1750,513,2592
5,"$200,000 or more",254,235,235,736,246,100732,220,57884,231,1913,155,2466,151,2070,68,4354,44,151,3793,53,3979,57,2982,0,0,56,1220,0,0,244,15636,231,6152,0,0,236,879,244,7355,177,3279,217,3523,253,82319,102,254,23,62,0,0,0,0,0,0,0,0,0,0,180,1225,253,22233,253,22824,107,3318,144,3240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Benton County,96746,46232,60889,214266,71493,7147167,81970,4399875,34153,139487,22498,1456026,20283,1431920,15367,145249,2194,17180,269198,9061,140221,16210,281810,8721,58443,11242,123368,254,4671,33604,884833,27812,256530,5074,11373,29766,61245,33497,336701,27831,254239,25917,142431,74202,5137627,34533,46052,3770,3002,19964,25131,5322,2951,15556,21098,18524,42145,16279,36942,2823,27139,64462,875571,70927,907696,16514,61895,76860,245000
7,Under $1,1495,669,1136,2527,499,-18930,392,13548,735,3035,445,1605,389,1117,564,-6959,200,616,10451,142,2716,192,2349,32,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,162,182,272,127,186,0,0,0,0,268,779,110,149,599,3152
7,"$1 under $25,000",36537,7185,22340,60410,18999,468520,28884,356115,7039,8733,3667,6341,3152,3540,5646,48203,500,2757,-388,2375,15086,4295,33430,3332,20126,1350,2310,24,102,3057,42951,951,1170,1832,1583,2275,3232,3001,6628,1832,12213,1939,4940,16539,94885,5262,1782,171,65,2000,724,254,85,9374,11783,12740,32169,11528,28613,0,0,12820,8444,17396,16260,3248,1834,30936,70319
7,"$25,000 under $50,000",23228,9892,14878,52313,17570,836616,20382,673948,6670,8823,3840,7048,3382,4274,3231,29455,423,2831,2652,2056,20213,4103,57496,2585,17558,3946,22855,0,0,6117,88220,4292,7914,1648,2081,5046,6613,6086,17999,4728,31262,3897,11543,22276,412633,10967,9935,873,585,6870,6543,1037,540,5209,8067,5602,9704,4624,8143,0,0,17204,40064,18533,46238,3183,4261,19892,55829
7,"$50,000 under $75,000",13698,9561,8667,34927,11256,841955,12230,671461,5715,7686,3557,7165,3177,4793,2166,18011,343,2536,3556,1671,22233,3075,59622,1447,9987,2715,37763,26,266,6259,106037,5329,16186,815,1389,5504,7930,6249,27185,5194,38901,4660,16022,13634,531826,7017,11123,861,651,5004,8158,1153,621,787,978,0,0,0,0,35,206,12809,62034,13071,66322,3034,5741,10628,29448
7,"$75,000 under $100,000",8121,6684,5001,22069,7154,699339,7307,556012,4288,6442,2995,6535,2713,4776,1330,12013,257,2194,5351,1188,21835,1973,50540,615,4601,1565,27837,27,200,5594,109057,5132,22688,399,1037,5085,8224,5586,33673,4926,40392,4402,17659,8101,482566,4338,7823,665,534,3131,5528,953,529,90,108,0,0,0,0,28,94,8009,61915,8030,65171,1989,4969,6117,21213
7,"$100,000 under $200,000",10254,9102,6329,30830,11391,1390282,9594,1157244,6754,9839,5487,15068,5074,11534,1798,21215,322,4053,18272,1244,34969,2085,61007,586,4809,1384,26802,74,1015,9218,236968,8857,68108,292,4351,8648,19937,9216,92433,8236,84198,7898,38839,10244,1028947,5552,7716,925,871,2959,4178,1532,932,0,0,0,0,0,0,337,721,10215,174758,10222,180110,3279,14978,6960,32616
7,"$200,000 or more",3413,3139,2538,11190,4624,2929385,3181,971547,2952,94929,2507,1412264,2396,1401886,632,23311,149,2193,229304,385,23169,487,17366,124,1148,282,5801,103,3088,3359,301600,3251,140464,88,932,3208,15309,3359,158783,2915,47273,3121,53428,3408,2586770,1397,7673,275,296,0,0,393,244,0,0,0,0,0,0,2423,26118,3405,528356,3407,532816,1671,29963,1728,32423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Boone County,15375,7851,10333,32283,9568,620467,12488,443617,5337,13078,2506,9273,2272,7577,2904,21012,1439,2085,13002,1539,18177,3227,56271,1531,8924,2266,20895,37,580,3476,71599,2717,14203,669,943,2981,3672,3463,19664,2535,18851,2749,14276,10797,364156,4737,5221,793,656,2578,3230,608,282,2499,3122,3835,8383,3342,7256,125,718,9345,53005,10704,57703,2415,6809,12354,34404
9,Under $1,307,155,256,520,74,-4174,81,1832,135,328,59,191,55,143,128,-2321,96,98,106,37,440,54,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,37,23,24,0,0,0,0,58,54,31,17,115,276
9,"$1 under $25,000",6972,1957,4413,11760,3402,88246,5395,64630,1495,2464,595,856,522,515,1243,7260,350,480,734,466,2737,1034,8506,717,3597,283,402,0,0,449,6547,155,220,258,238,331,299,441,823,227,1373,325,943,2857,16370,721,210,66,29,232,77,34,10,1565,1838,2760,6409,2466,5622,0,0,2372,1522,3371,2852,682,378,5874,12718
9,"$25,000 under $50,000",4048,2243,2744,9060,2712,144753,3497,112470,1382,2252,602,861,543,577,736,4754,385,475,993,405,3291,940,14692,475,2973,977,5030,0,0,844,12467,604,1025,220,281,678,563,841,2000,590,3619,593,2141,3900,69232,1909,1625,295,199,1029,987,193,88,839,1162,1032,1937,853,1610,0,0,3039,6523,3311,7617,573,672,3454,9944
9,"$50,000 under $75,000",2059,1684,1456,5488,1738,125844,1800,96477,947,2070,464,935,422,707,368,1823,276,363,1007,284,3126,589,12557,214,1379,520,6771,0,0,763,13036,636,1868,115,191,659,611,763,2831,605,4087,587,2239,2053,78725,1092,1729,195,172,768,1262,195,90,95,122,0,0,0,0,0,0,1960,8635,1987,9225,457,873,1599,4532
9,"$75,000 under $100,000",1056,964,747,2944,921,90799,905,66797,643,1750,334,954,303,771,224,1758,150,256,1600,175,2750,319,8904,82,636,251,4253,0,0,635,12155,577,2467,44,114,585,637,634,3397,519,3874,529,2566,1056,63072,554,981,107,100,393,679,124,66,0,0,0,0,0,0,23,43,1044,7710,1046,8220,278,825,775,2728
9,"$100,000 under $200,000",754,693,556,2041,589,96954,656,65793,566,1966,338,1279,318,978,154,3394,133,289,2217,136,3964,246,8986,43,339,185,3398,37,580,610,14884,576,3966,32,119,567,877,609,5150,479,4116,553,3535,753,72947,375,536,130,156,156,225,62,28,0,0,0,0,0,0,0,0,752,11997,752,12671,304,1803,449,2304
9,"$200,000 or more",179,155,161,470,132,78045,154,35618,169,2248,114,4197,109,3886,51,4344,49,124,6345,36,1869,45,2230,0,0,50,1041,0,0,175,12510,169,4657,0,0,161,685,175,5463,115,1782,162,2852,178,63810,86,140,0,0,0,0,0,0,0,0,0,0,0,0,102,675,178,16618,179,17064,90,2241,88,1902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bradley County,4522,1744,2955,9817,3288,161140,3858,116923,1433,2658,337,1321,307,1175,592,6553,206,315,2583,282,3007,793,13832,574,2953,556,5608,0,0,686,13585,535,2801,130,151,509,404,685,3609,398,2220,566,3239,3002,90691,1284,1270,140,109,816,866,136,64,1116,1359,1502,3654,1379,3423,37,135,2473,12994,2762,14369,653,1981,3742,11418
11,Under $1,95,42,78,160,29,-1192,23,673,40,31,0,0,0,0,34,-219,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,129
11,"$1 under $25,000",2301,398,1467,4408,1572,30323,1953,24589,382,444,76,104,66,77,227,1207,40,69,245,100,512,293,2390,295,1376,81,116,0,0,110,1393,49,38,49,41,72,47,110,166,51,187,82,277,918,4941,308,90,0,0,166,52,0,0,826,943,1160,3058,1095,2908,0,0,674,432,905,726,174,111,2052,5622
