County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,ARIZONA,2717973,1042276,1463532,5874662,1951156,140664907,2214050,100116562,901341,2206998,485268,3110660,426612,2264747,402345,3976503,8576,409070,4272086,263234,4484251,537778,11518239,256033,1689419,333866,3987369,11480,227716,920990,21785327,628881,2750177,261193,390057,829431,2039180,916892,5551816,762128,8598607,759839,2725624,1991420,89422573,910449,1136556,104328,124273,492479,581452,104016,53899,508984,755929,571139,1295095,508037,1145618,42580,237796,1690894,15139684,1859722,16001140,487924,1819011,2116081,6625035
0,Under $1,55099,18942,38579,91816,20349,-685848,14717,452359,22830,158817,15417,76007,13366,42941,19255,-318757,1010,22083,125812,4208,94872,6359,82395,1485,11346,91,461,102,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,159,24,29,62,98,0,0,3742,5857,6528,8331,4714,5814,141,2388,132,2256,8653,20495,3878,7862,24463,110108
0,"$1 under $25,000",1097823,185677,566539,1972615,637642,14443676,842317,10707006,206153,213482,101538,208820,86245,102255,154135,1039176,1887,82995,-49576,64919,394355,144035,1252458,133979,895210,40727,69309,555,2772,110409,1715000,26424,25468,71496,67354,86688,165938,108138,284608,71981,602867,74508,115379,470088,2745561,162579,58800,5060,2245,60705,19346,8962,3130,315913,414726,408620,1010651,372310,902495,256,367,351165,234387,474034,413156,100217,57401,918394,2146687
0,"$25,000 under $50,000",695827,225249,360752,1580521,563757,24963036,605113,20197832,187444,222102,86115,237086,74332,127834,77273,605772,1593,67949,16300,59208,597770,128272,2077931,63810,418097,106916,666672,990,6866,200397,3171472,111763,136512,80673,94661,172186,298069,199339,585419,159340,1318740,150473,285753,656082,12235677,319091,289969,22536,18696,197809,181833,30379,16571,165555,300905,155991,276113,131013,237309,190,550,502134,1221607,531497,1352612,107947,142277,582858,1654839
0,"$50,000 under $75,000",351294,197041,191192,830919,270217,21587840,299875,16344158,153098,223560,76691,251761,66923,146345,52231,438254,1231,60822,53603,47362,668527,97384,2274329,29269,189014,75903,1071449,1101,10557,191458,3523597,134929,263555,51937,83226,173503,328797,191001,742565,163043,1553883,157246,371539,348700,13536316,167086,260633,23994,25514,108978,176256,21242,10816,20743,29979,0,0,0,0,780,1394,325911,1654392,332415,1765316,89925,182876,260061,743674
0,"$75,000 under $100,000",213117,158360,117630,552270,177039,18408266,183445,13664251,115607,190066,63121,234941,55922,145303,35918,363829,917,50438,96577,35204,680280,67522,1981608,14340,91084,49132,906522,1178,14714,149876,3189012,118473,330938,28743,58167,140304,305186,149719,751819,131993,1448028,130261,374356,212434,12548926,110292,193511,19048,23348,70528,124965,17289,9229,2551,3759,0,0,0,0,1176,2167,208804,1671164,209907,1762395,61741,166661,150765,504351
0,"$100,000 under $200,000",240714,202193,140281,662498,217344,31932762,212962,23507149,160755,367927,100174,496856,90476,331659,47329,805340,1302,83972,373348,41871,1295635,78161,2965600,11741,74591,49314,1006189,3466,56146,206532,5643286,179504,827342,24366,69018,196972,561392,206408,1571234,184388,2524235,188747,739458,240207,23519552,121860,187392,26593,38950,54350,78920,21697,11682,480,703,0,0,0,0,6693,16401,238947,3990586,239358,4168069,93003,443759,147021,671719
0,"$200,000 or more",64099,54814,48559,184023,64808,30015175,55621,15243807,55454,831044,42212,1605189,39348,1368410,16204,1042889,636,40811,3656022,10462,752812,16045,883918,1409,10077,11783,266767,4088,134944,62318,4542960,57788,1166362,3978,17631,59778,379798,62287,1616171,51383,1150854,58604,839139,63909,24836541,29362,146092,7073,15491,47,34,4447,2471,0,0,0,0,0,0,33344,214529,63801,6365292,63858,6519097,31213,818175,32519,793657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Apache County,23938,7465,15639,60024,26437,804827,20798,664745,3022,3883,962,2561,805,1648,3133,13227,1093,828,4299,761,11145,4144,79234,3461,22712,1704,16581,0,0,3103,63242,1631,4911,1229,1724,1805,2622,2973,10223,1802,14230,2320,11001,14978,419536,7940,9256,800,635,5511,6524,745,363,7331,9324,10115,25123,9480,23033,180,359,11586,54608,13519,58665,2303,5189,21025,69964
