County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,CALIFORNIA,16679634,6088321,10739689,35750287,12018640,1026706128,13511224,742790385,6594618,17879728,3040846,23815161,2693781,16934432,3005111,44710154,65612,2656668,52261852,1196857,21477648,2494589,60849167,2150553,18933455,1603608,19683013,148881,3407840,6057771,205373476,4677607,50538268,1190640,1719645,4965837,23779067,6034894,78230836,4563284,71896879,4944588,21291028,12321410,683326451,5467926,7388152,408692,489056,2851762,3235699,659876,370633,2896987,4018438,3165119,6856809,2695785,5729800,745485,6038985,10580676,133430282,11852575,141087205,3184139,14594190,12824318,45417590
0,Under $1,389111,107577,272610,576314,112905,-38242686,91703,3184965,161199,1318147,105291,614443,92476,350973,126778,-1428553,8328,144823,1675477,23503,522540,36313,538959,13032,140097,556,5162,884,14998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,1382,50,123,427,499,0,0,23272,35418,44463,52881,29859,33676,1038,20659,1000,22709,64173,169751,30788,61435,178687,876460
0,"$1 under $25,000",6452983,994459,4022743,11288933,3567886,83578027,4850922,60532383,1234259,1203559,527468,1063485,450184,559611,1205641,9472871,9767,432328,-223208,250175,1548712,588004,5192754,850811,6619269,169555,312584,5819,33680,565329,9968790,136843,243800,356641,297126,401326,1291810,552030,1978511,350887,4085915,333847,512965,2798931,16513350,975119,368964,11914,5147,354176,117400,41060,14678,1776783,2253466,2287592,5355911,1988639,4521703,1657,3392,2093413,1402311,3029195,2907544,796313,547161,5220436,11285983
0,"$25,000 under $50,000",3905955,1226328,2519758,8855975,3194849,140587415,3370424,112200675,1232502,1292019,438643,1214743,378469,688514,546563,6440367,9453,362010,57396,237168,2356735,541850,9172942,598734,5856896,455324,2831037,11109,96937,1049373,19582602,584824,1051873,414629,477836,790793,2496885,1043218,4397241,731870,8351202,772570,1477123,3634440,67717105,1744049,1598070,57984,44173,1077746,973685,167631,99652,929641,1507375,833064,1448017,677287,1174421,1162,4031,2785251,6826799,2997155,7977758,646914,1021276,3226783,8677707
0,"$50,000 under $75,000",2127000,985157,1377688,4897818,1664704,130702583,1836124,102277249,1105644,1344056,430643,1402828,376408,837988,340774,4402479,8450,350456,247658,207649,2843386,437411,10836364,286387,2612768,349241,4689398,13467,151080,1150922,26207818,893979,2760906,229994,378036,932009,3171947,1149232,6790843,866625,10824678,939476,2107872,2098474,79583922,946918,1416081,81100,76728,627797,966825,116725,66919,140734,188139,0,0,0,0,7723,12165,1948201,10097267,1993976,11071061,501501,1171876,1616129,4918620
0,"$75,000 under $100,000",1315208,813805,856648,3246199,1076501,113767025,1144394,87708097,853890,1187949,368423,1332856,326313,834743,238742,3577025,7420,303394,442091,160616,2909032,317692,10033292,166253,1541466,240096,4103094,13963,179557,988416,24856747,870451,4082034,101759,244786,805170,3093572,987544,7851387,749948,10592793,827574,2143459,1307414,74088399,627587,1025616,72823,77220,407645,673610,93506,54504,21668,27722,0,0,0,0,17396,31900,1280523,10401233,1290659,11140727,334390,1041207,976681,3669393
0,"$100,000 under $200,000",1836022,1414419,1204212,5000637,1720571,249178677,1645827,193453446,1416363,2621758,734629,3321702,664263,2237994,384091,8958486,13358,635525,2358763,234894,6314550,448089,18122076,194939,1793594,292890,5587676,45300,809913,1658390,57764163,1567307,13962003,71736,224705,1450460,7350821,1657796,21818191,1347010,23977047,1476553,5044510,1830709,172008208,874339,1186710,133911,171835,383847,503560,178371,101837,4889,6318,0,0,0,0,176416,391655,1821158,29796771,1825667,31387782,562432,2911625,1268014,6603991
0,"$200,000 or more",653355,546576,486030,1884411,681224,347135087,571830,183433570,590761,8912240,435749,14865104,405668,11424609,162522,13287479,8836,428132,47703675,82852,4982693,125230,6952780,40397,369365,95946,2154062,58339,2121675,645341,66993356,624203,28437652,15881,97156,586079,6374032,645074,35394663,516944,14065244,594568,10005099,651442,273415467,298755,1791329,50910,113830,124,120,62583,33043,0,0,0,0,0,0,540093,5575183,651130,74883192,651750,76432582,311801,7839610,337588,9385436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alameda County,713338,258574,392165,1452175,449558,48839590,586590,38041242,316676,555617,164752,893833,146940,627889,125554,2131379,882,144255,1600094,51019,873283,108597,2768744,91326,867269,67009,833910,9589,204261,280670,9383809,230886,3019250,40815,60002,231717,1295857,279656,3888127,212815,3623746,226799,804264,559903,33285793,231929,280262,18050,20518,107625,125364,31886,16970,82006,113666,98546,185439,81690,153409,44613,311113,504399,6429334,546762,6791881,153464,696340,531810,1797205
1,Under $1,16278,3774,9856,22478,4336,-1149478,4088,148344,6358,23099,4560,13376,4012,8349,4819,-47444,85,5986,15011,832,17776,1415,21692,585,6792,0,0,44,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,0,0,0,0,0,0,894,1346,1816,1811,1266,1174,40,802,40,755,2565,6353,1187,2023,7214,31247
1,"$1 under $25,000",233940,31634,119998,361535,95157,2950511,173222,2110596,51726,48869,24981,48747,21441,26971,42040,325883,91,19588,-8910,9975,60472,24337,221388,28306,250173,6973,13038,396,2714,21373,384477,5360,9889,12564,11977,15013,55933,20769,83143,12858,155173,12115,17841,108088,679746,33556,13422,365,179,9347,3213,1092,371,47231,59114,73477,146230,62367,123034,58,115,85208,59778,115660,111765,32801,23798,183346,352443
