County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,COLORADO,2369369,956963,1204365,4805723,1472405,142327073,1982435,102791693,918494,2365295,532368,3149272,471865,2248172,411442,4290378,30446,437300,8091039,217284,3628126,423787,9798836,212076,1909869,241429,2730554,17142,307559,909170,22443504,762186,3852116,115779,136824,826891,1987959,905505,6280545,776641,9121992,735999,3050414,1845676,99440347,822313,1100737,115652,102733,404211,506465,101163,51088,307089,447553,362470,717911,309247,623387,56090,349140,1632269,17799400,1767261,18772772,460523,1948875,1819570,5721063
0,Under $1,47550,14371,33274,69140,13691,-3832928,14614,378254,21734,137323,16604,78978,14716,48364,16313,-535707,2966,21724,234646,3473,72309,4567,58843,1322,13582,67,564,106,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,130,23,19,53,54,0,0,2769,4199,5967,6333,4323,4550,123,2033,119,1898,7954,19118,3682,6674,20298,85597
0,"$1 under $25,000",842289,119740,396421,1257509,347436,10575676,659699,7960408,180968,172878,98706,178973,85121,95423,128217,817153,5756,77089,-13061,45607,274114,93260,801028,79723,651570,25330,44605,717,3992,82058,1270783,32198,32778,39040,28122,63680,112481,80067,188826,54770,494651,51698,80613,398883,2477178,121249,47241,3902,1553,33860,11835,5882,2112,172949,222336,253453,536868,220883,473408,234,428,313478,218872,405585,361621,94580,60005,688699,1310130
0,"$25,000 under $50,000",578595,180188,284808,1182962,370922,20935612,505518,16761037,173288,195723,85104,205777,73547,116542,81680,726460,5809,64168,46388,45757,435244,95121,1583823,63216,612638,73643,433121,1393,9905,170759,2649857,127123,182331,35417,33256,146189,228797,169814,481236,139872,1244681,120638,223854,549347,10908637,239576,216513,19966,13270,135932,125842,21728,11520,111406,193329,103050,174710,84041,145429,191,556,444753,1147807,472272,1297332,92560,133441,482186,1217946
0,"$50,000 under $75,000",334269,181375,174564,752721,228523,20591219,292500,15883456,156389,205005,81821,237464,71577,142952,59674,579416,5121,62537,85667,40261,516080,79576,1954660,31933,298190,55895,714260,1633,14966,187277,3375270,162078,358708,19959,26187,170545,297389,186843,731308,164158,1636632,147168,329381,332007,13122893,156544,234177,25638,20092,97409,154436,19478,9603,17493,24367,0,0,0,0,508,897,312633,1638799,318602,1768477,78459,167303,254608,730992
0,"$75,000 under $100,000",213667,158609,111168,545309,170930,18486354,190109,14187743,123078,178706,70158,225999,62286,141874,43328,481591,3750,54233,130101,30421,526473,57515,1724472,18010,169300,36847,602598,1797,18599,154001,3247008,140866,438552,10081,23669,144793,294732,153842,801382,139292,1566796,129181,342669,213067,12679638,114314,194080,22166,18882,71668,124061,18571,9650,2041,2773,0,0,0,0,842,1605,210138,1694204,211160,1803390,55355,152684,157806,542557
0,"$100,000 under $200,000",274071,233477,146838,765764,256869,36713308,250165,28052497,192709,379246,124771,547926,112874,367876,61098,1090064,4920,103896,524374,40286,1071244,76118,2827672,15848,145419,39114,710982,5507,84237,238231,6289835,226424,1173550,8573,18273,228153,627974,238112,1922909,215537,2893555,214906,791457,273625,27268010,149790,210686,34575,34061,65259,90213,28825,14785,431,549,0,0,0,0,7108,16855,272490,4643765,272946,4862079,97951,464053,175387,831989
0,"$200,000 or more",78928,69203,57292,232318,84034,38857832,69830,19568298,70328,1096414,55204,1674155,51744,1335141,21132,1131401,2124,53653,7082924,11479,732662,17630,848338,2024,19170,10533,224424,5989,174298,76844,5610751,73497,1666197,2709,7317,73531,426586,76827,2154884,63012,1285677,72408,1282440,78747,32983991,40622,197910,9382,14856,30,24,6679,3418,0,0,0,0,0,0,47084,326766,78658,8454055,78742,8660755,37936,964715,40586,1001852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,198154,76106,101736,445092,155406,9265351,173774,7587704,53404,64417,23705,54882,20210,34831,27876,237618,860,17908,94861,12940,165399,29998,542508,22469,204618,14862,147707,428,6231,69102,1362960,59436,195212,7401,9585,62723,129537,68852,357476,62024,649060,53709,130591,151909,5650727,71241,86319,7945,5884,44928,54431,9474,5004,40707,62970,38200,84190,33834,73902,1711,6864,127989,834968,139828,886347,30836,83872,162713,450815
1,Under $1,2038,540,1242,3066,583,-68308,554,12852,661,3309,429,686,359,327,724,-9818,66,539,474,129,2037,195,2240,60,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,180,270,281,195,199,24,62,0,0,304,482,138,187,917,2577
1,"$1 under $25,000",74216,11328,37788,134018,45628,993529,59835,756533,10503,7655,4307,5629,3556,2794,10659,75855,108,3096,-1416,3186,17732,7608,65145,8760,74624,1955,3297,24,64,5786,81499,2559,2130,2460,1965,4574,8205,5651,13428,4272,36051,3491,4797,33624,207064,11301,4448,286,99,4604,1580,686,258,23039,30728,25377,62616,23127,55546,0,0,25203,17886,33551,30069,6738,4156,64147,140806
1,"$25,000 under $50,000",56890,17817,28885,134721,49539,2048039,52175,1746565,11837,8736,4421,6469,3682,3462,6102,49024,135,3010,496,3114,26616,7748,114082,7026,66998,5294,30402,45,276,16320,239270,13142,17857,2510,2470,13939,22112,16249,46335,14017,118988,11119,16842,53402,1003240,26179,24700,1742,1117,17950,16512,2453,1401,15371,28902,12553,21293,10512,18157,0,0,40147,100553,42812,110695,7247,9782,49455,135773
1,"$50,000 under $75,000",29181,16319,15305,72216,25035,1792293,27150,1506744,10557,8536,4362,7005,3678,4151,4109,31311,157,3071,2170,2591,31193,5887,116110,3524,33638,3625,46348,45,348,17107,296015,15403,33372,1318,2153,15614,28004,17082,68415,15675,149704,13193,24188,29086,1119160,14580,23735,2054,1461,10634,17273,1914,956,2023,2987,0,0,0,0,58,64,27023,134711,27504,142795,5831,11668,23303,67514
1,"$75,000 under $100,000",16703,13156,8439,45910,15713,1441740,15816,1222649,7856,6551,3598,6276,3079,3845,2736,21061,136,2563,3455,1745,27290,3830,90525,1789,16926,2090,33507,59,497,12713,255132,11889,36461,609,1519,12038,24909,12703,67451,11995,131054,10598,23426,16682,976562,9197,17116,1610,1190,6681,11925,1744,937,153,173,0,0,0,0,62,69,16524,126408,16564,132108,3829,8763,12851,41974
1,"$100,000 under $200,000",16732,14831,8428,48416,16681,2170337,16031,1823697,9988,11650,5211,11157,4573,7252,2996,39124,183,4251,14968,1864,45437,4144,125237,1220,11040,1635,28738,149,2233,14852,368803,14217,70155,424,1213,14330,36783,14843,115146,14047,179122,13192,39428,16723,1604354,8965,13503,1971,1657,5059,7141,2445,1325,0,0,0,0,0,0,307,599,16702,267318,16703,277400,5812,23810,10901,43926
1,"$200,000 or more",2394,2115,1649,6745,2227,887721,2213,518664,2002,17980,1377,17660,1283,13000,550,31061,75,1378,74714,311,15094,586,29169,90,754,263,5415,106,2813,2324,122241,2226,35237,80,265,2228,9524,2324,46701,2018,34141,2116,21910,2392,740347,1019,2817,282,360,0,0,232,127,0,0,0,0,0,0,1260,6070,2390,188092,2390,192798,1241,25506,1139,18245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alamosa County,6476,2542,3539,13161,4343,256782,5555,190140,2686,4179,809,4652,656,3880,1076,8738,251,661,5946,372,4121,963,23507,512,3494,551,5010,27,420,1363,26045,1136,4134,184,171,1204,1800,1362,6618,1053,9367,1037,4134,4498,159180,2031,2330,257,257,1125,1323,187,90,1228,1591,1783,3827,1585,3511,42,235,3765,23799,4213,25771,1064,3031,5226,14162
3,Under $1,128,49,97,213,44,-3626,41,939,72,110,27,36,21,14,47,-323,36,51,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,0,21,35,0,0,63,138
3,"$1 under $25,000",3115,542,1585,5079,1662,37936,2669,30888,715,472,182,228,137,108,371,2085,62,130,275,81,458,269,2657,281,1683,45,86,0,0,140,1953,60,62,68,31,102,120,140,281,77,530,82,149,1328,7597,446,157,0,0,161,58,24,8,807,968,1329,3023,1224,2829,0,0,1005,652,1315,1044,279,157,2721,6071
3,"$25,000 under $50,000",1571,654,860,3487,1229,56582,1373,46098,682,489,159,283,120,149,257,1418,59,116,67,89,692,252,5417,141,1135,202,1064,0,0,344,5605,271,351,59,45,291,322,343,788,261,2537,231,520,1511,28474,724,684,82,59,472,454,49,24,369,550,431,785,361,682,0,0,1155,2809,1253,3168,240,320,1326,3721
3,"$50,000 under $75,000",796,548,450,2046,694,49077,703,38656,520,501,126,293,106,194,160,923,31,102,397,86,661,201,5871,58,444,143,1429,27,420,318,5104,279,612,29,37,283,373,318,1120,258,1989,249,752,794,31534,425,691,67,59,282,469,55,27,52,73,0,0,0,0,0,0,746,3632,765,3868,207,325,588,1601
3,"$75,000 under $100,000",415,345,251,1110,348,35315,370,26143,300,410,118,349,103,231,90,716,28,89,358,52,761,114,4205,32,232,77,1036,0,0,230,4246,214,639,28,58,217,309,230,1054,206,1682,190,676,414,25055,223,379,42,48,135,224,38,17,0,0,0,0,0,0,0,0,410,3228,410,3448,125,316,290,951
3,"$100,000 under $200,000",375,338,238,1013,295,48569,335,32116,329,1062,159,514,133,364,117,2370,35,129,1552,64,1549,127,5357,0,0,84,1395,0,0,259,5838,245,1209,0,0,244,444,259,1799,202,1925,222,1142,375,37716,186,353,66,91,75,118,21,14,0,0,0,0,0,0,0,0,373,6246,373,6691,172,1006,203,932
3,"$200,000 or more",76,66,58,213,71,32929,64,15300,68,1135,38,2949,36,2820,34,1549,0,44,3169,0,0,0,0,0,0,0,0,0,0,72,3299,67,1261,0,0,67,232,72,1576,49,704,63,895,76,28804,27,66,0,0,0,0,0,0,0,0,0,0,0,0,42,235,76,7232,76,7517,41,907,35,748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arapahoe County,279817,106824,140101,573386,184591,18068680,237282,13326879,103964,307054,62660,415276,55506,292288,46037,301259,992,51282,985215,25625,453333,49183,1073701,24448,232112,27559,332083,2335,47944,112874,2926827,96003,540758,13091,16297,102197,270826,112409,867139,96644,1114157,93813,394042,220955,13054053,101118,136455,13752,11443,49559,60446,14148,7196,37751,56990,41628,84031,35723,72134,8067,54450,194598,2475171,210384,2598204,55160,261861,214613,716847
5,Under $1,5025,1386,3455,7107,1689,-765794,1637,47298,2158,28252,1932,15424,1736,9148,1439,-311827,58,2469,26868,334,9196,418,7186,126,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31,0,0,0,0,0,0,311,521,572,693,421,518,20,210,0,0,801,2380,349,528,2117,10700
5,"$1 under $25,000",94821,11656,45924,141828,41187,1195683,74283,906699,18999,16115,11192,20685,9740,10853,14400,96221,101,8862,-4089,4998,30879,9985,80890,8990,76805,2904,5509,86,814,9522,145561,3857,3806,4403,4508,7276,13186,9269,23026,6364,55035,6257,9676,45155,281763,14697,6027,410,172,4271,1515,776,283,20930,27358,28410,62797,24996,54467,32,57,34584,24542,45433,41529,10798,6677,77281,149746
