County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,CONNECTICUT,1727398,640993,962339,3263153,985264,145628008,1410942,98646466,942510,2923813,494073,4467519,447947,3349770,262459,5479018,3210,352002,9961474,185617,3156180,336355,7295507,233026,2144954,221817,2927612,24674,552129,757212,24248030,662801,6565220,72140,62753,698743,4686049,754946,11685321,592219,6496400,632370,2980897,1392124,107047875,604024,1055169,113059,95192,259139,317353,77940,40571,149679,176731,209109,404465,177566,350832,97461,738092,1267705,22649481,1343919,23530599,306151,1647285,1354658,5493577
0,Under $1,27400,5704,19636,31893,6617,-2202226,6862,224641,13448,128273,12526,69356,11408,44259,7464,-103733,271,15296,108544,1832,37515,2356,29981,681,7287,39,312,80,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,164,0,0,31,34,0,0,1208,1868,2236,2547,1562,1658,80,1825,70,1663,3778,12093,1793,4100,10494,79904
0,"$1 under $25,000",575686,56947,287589,710936,177458,6863190,420748,4677358,175413,145223,89530,158520,78857,93364,71026,525730,558,58292,-31003,43374,225147,80841,663559,82768,624802,25717,45687,642,3940,58715,957328,18122,21796,31921,14962,46759,238537,57256,290287,31159,239223,37443,46421,284202,1715149,78710,31117,2847,1103,21984,8054,4400,1476,88305,97418,149757,314378,131356,278854,141,198,226433,152616,278672,240575,66487,41565,462379,812942
0,"$25,000 under $50,000",381103,83580,201672,661818,186521,13891140,323377,10746511,164485,156895,68126,177786,60368,110524,43634,517184,487,43340,6936,36396,317943,68115,1034610,59980,630217,60846,409632,1390,11147,114945,1886707,84878,134708,25112,17695,100089,473821,114489,664909,82079,629340,83836,130278,368200,7737423,147120,138147,15866,10350,74953,72760,15666,8563,49450,64207,57116,87540,44648,70320,139,432,314639,841340,329558,941776,51353,78469,327191,856641
0,"$50,000 under $75,000",243263,100921,142173,484987,137489,15000677,210000,11398148,160672,169655,70228,225066,62834,143831,35864,487840,494,44939,27888,31506,375579,58372,1305638,33480,330542,48139,697851,1913,18277,142425,2644233,130695,346973,8755,9023,130916,644855,142249,1056019,112243,938807,113590,195272,241244,9760705,104566,142119,23037,16834,58052,85439,11188,5606,8937,10959,0,0,0,0,641,1077,230986,1289364,234945,1388820,44970,98832,197507,635277
0,"$75,000 under $100,000",164127,108654,97902,395063,120976,14225342,145032,10816835,128661,153399,61433,215864,55414,145743,29365,455756,430,40250,50878,24366,388214,44597,1212615,24081,234879,34216,633324,2219,24632,124937,2712145,119912,460336,2975,4330,118410,655869,124856,1174020,103985,973275,106320,211684,163438,9701514,85779,134555,21455,16686,49044,79242,11824,6162,1431,1834,0,0,0,0,1588,2198,161390,1342520,162268,1438366,32546,93370,131219,522121
0,"$100,000 under $200,000",241545,202308,143918,681776,236826,32670698,220893,25579573,210616,329319,119931,546227,110126,391650,50434,1256319,647,84791,284043,34941,867760,63319,2167766,27139,264248,40316,835271,7434,117060,222698,6242875,217414,1438325,2461,5121,213593,1444956,222644,3013169,188337,2148741,202315,528980,240967,23764226,136577,183368,37829,32588,55055,71812,26502,14287,348,445,0,0,0,0,19102,38097,240101,4070306,240556,4311343,65837,306408,175174,900324
0,"$200,000 or more",94274,82879,69449,296680,119377,65179187,84030,35203400,89215,1841049,72299,3074700,68940,2420399,24672,2339922,323,65094,9514188,13202,944022,18755,881338,4897,52979,12544,305535,10996,376016,93492,9804742,91780,4163082,916,11622,88976,1228011,93452,5486917,74416,1567014,88866,1868262,94073,54368858,51123,425699,12025,17631,20,12,8360,4477,0,0,0,0,0,0,75770,694265,94086,14951672,94142,15197626,43165,1024541,50694,1686368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fairfield County,442128,171551,272892,865461,280572,63090859,347991,38358821,249328,1926455,155737,2925529,142801,2242935,84541,2330093,372,124021,8039735,49020,1226022,74767,1670202,50917,508603,54619,812128,9839,267568,212154,10952843,184265,3723711,21353,20920,189635,1778770,211258,5636955,157019,2445399,183256,1596784,348584,49577689,154377,479774,25166,25011,57308,67075,19615,10469,38822,47479,47576,92298,38969,76166,47728,466567,316312,12155235,342776,12618031,94228,779567,325029,2171630
