County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,DELAWARE,427479,156352,210182,835642,257365,23877315,358535,17307225,169122,330977,92476,539907,83124,407399,50545,555055,2170,62846,590611,44636,671132,98767,2157409,43288,324316,61147,765290,2167,42453,153697,3567053,140652,763128,1502,2362,138864,314678,151933,1099526,130984,1416262,125748,466507,338387,15998686,149696,191992,29323,27649,71491,84768,22844,12533,55220,69693,72598,151384,64397,137005,9727,59984,299845,2698111,317488,2825129,71201,244748,344185,1037362
0,Under $1,4846,1340,3087,6844,1272,-270231,1281,35374,2046,10650,1603,8299,1436,5926,1466,-17261,216,1881,14735,357,5144,536,8034,98,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,358,499,493,369,341,0,0,0,0,732,1892,355,619,2089,10074
0,"$1 under $25,000",157427,18772,68776,232878,70166,1994849,124264,1456870,34957,34136,16898,28864,14841,16507,15430,97881,472,10671,-7305,9789,52738,23927,220907,18310,125438,7454,12654,75,327,11994,172580,6650,5153,476,280,8893,14170,11022,20600,7882,67687,7376,12118,76649,462050,23705,9037,1189,542,7813,2801,2221,789,34579,40212,52354,118939,47688,109411,35,93,59559,40391,72059,58392,13523,7794,135114,275661
0,"$25,000 under $50,000",106579,27645,50625,203897,63493,3858655,92096,3009059,34184,42202,16063,37226,14111,23512,9896,79404,462,9911,-102,10170,89500,23520,392323,11223,86345,19194,124652,138,825,29149,430122,25532,38749,423,561,24882,37903,28675,80493,24006,203361,21003,43144,103517,2090216,44825,43120,5666,4132,24607,23313,6125,3641,17739,25748,19745,31952,16340,27253,0,0,85269,218445,88815,236440,14917,19140,91145,243353
0,"$50,000 under $75,000",60718,29627,32159,129687,37906,3739302,52694,2784981,29896,41313,15202,44248,13561,28390,7525,62468,348,9732,5955,8357,104579,18391,428872,6114,49192,13772,202547,197,1517,32823,567403,31033,79031,227,302,29405,49948,32662,132608,28485,270533,25924,61441,60463,2438075,27339,40191,6565,5598,15847,24140,3928,2139,2310,2920,0,0,0,0,111,181,57828,310639,58542,326049,13121,25535,47457,141437
0,"$75,000 under $100,000",38752,28126,21095,96493,29108,3352648,34266,2485189,23315,34218,12709,43389,11366,29363,5613,52860,234,8300,10633,6269,105901,13333,384204,3807,30511,9235,176981,201,2033,27056,554470,26071,97421,146,263,25321,49223,26976,149797,24339,258744,22991,64487,38673,2323901,20507,33865,5617,5319,12026,19560,3712,2125,289,387,0,0,0,0,221,270,38260,312759,38371,326436,9043,23186,29631,105600
0,"$100,000 under $200,000",47924,41109,26507,133487,44070,6361411,43922,4874680,34619,63652,21790,97700,19958,72187,8059,127287,312,15085,60550,7830,209662,16067,574202,3391,28831,9448,201304,654,9681,41670,1079663,40595,265668,162,427,39820,102939,41615,375222,37492,455105,38025,137193,47870,4725421,27035,39164,8418,9040,11198,14954,5813,3281,57,68,0,0,0,0,1529,3570,47720,798308,47755,827211,14979,62467,32838,148435
0,"$200,000 or more",11233,9733,7933,32356,11350,4840681,10012,2661072,10105,104806,8211,280181,7851,231514,2556,152416,126,7266,506145,1864,103608,2993,148867,345,3148,2044,47152,902,28070,11005,762815,10771,277106,68,529,10543,60495,10983,340806,8780,160832,10429,148124,11215,3959023,6285,26615,1868,3018,0,0,1045,558,0,0,0,0,0,0,7831,55870,11209,1017569,11214,1048709,5263,106007,5911,112802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kent County,73462,28377,34712,147802,47066,3364090,61705,2500056,25907,37070,11998,30108,10688,21346,8335,71347,753,7284,30440,6414,80274,17978,391418,8110,53701,9981,112293,179,2728,22824,454236,20684,77673,227,397,20850,31253,22541,111413,20274,214694,17338,53796,57307,2102967,25306,29868,3946,3370,13794,16888,4213,2287,10917,13311,14971,32857,13465,30120,716,2965,50050,305244,53116,322324,11376,30237,60255,168092
