County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,FLORIDA,9622299,3056326,4955087,17714791,5047961,466562854,7305982,313269080,3232606,18434249,1627578,15636906,1424452,11042427,1585915,13540017,37342,1347026,27081588,868998,16152960,1674232,36769704,862646,6173324,1178232,14323021,29559,552597,2446283,59945781,143167,1984346,1960646,2711996,2102022,8832611,2379737,13876332,1870728,20884643,1930534,9275186,6910560,327662485,3044889,3954558,385672,382997,1237856,1363126,399615,214952,1430331,1791171,2112433,4677236,1839086,3978059,150613,1008899,5874269,59884569,6622144,62523205,1411817,6471914,7807592,28757748
0,Under $1,364030,64024,146093,462267,55816,-21765402,53340,1808175,85053,918048,58108,498672,51576,280578,57257,-1540490,3788,80038,1254619,14718,372583,20605,288222,6221,51118,516,5050,315,4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,926,63,91,199,229,0,0,12807,18546,23974,31643,17556,22603,621,13575,589,13085,30086,74052,13349,24229,247913,989375
0,"$1 under $25,000",4295072,578271,2174346,6609502,1858737,55479787,3088087,39156813,878633,3428730,360790,806856,304008,417963,823197,5224719,7235,284306,-145734,221176,1304632,469750,4042609,486055,3503749,152603,283285,2210,10208,330770,5054144,9187,16874,248330,216885,235912,646324,304959,917505,197365,1637075,201396,332262,2038662,12194568,733837,341595,26672,13268,170154,54768,51062,18205,987242,1185402,1638530,3886160,1445811,3315723,1076,2538,1479661,959249,2094655,1829252,381659,225378,3640372,9679567
0,"$25,000 under $50,000",2356745,658969,1134046,4405650,1285607,84095598,1982181,65905925,712993,4151866,300914,973505,254890,560168,277810,1746958,6455,229885,178639,191162,1860877,403236,6636778,194722,1369319,375973,2361194,3039,19216,579355,9441921,19722,40258,449433,428972,447375,1116985,552720,1693540,404762,3345769,416428,936320,2278326,45062323,1065296,1090867,98758,87234,480560,436865,134129,76881,386140,534007,449929,759433,375719,639733,1069,3277,1857467,4524588,1944632,4935027,285715,404003,2054352,6673889
0,"$50,000 under $75,000",1080068,564478,573464,2316875,655140,66227099,901418,48826252,511371,1401180,253701,1039721,220754,626973,152604,1215959,5682,194549,182134,151289,2090284,295121,7084783,87882,625536,256401,3641583,2768,25364,483464,9194541,21680,61155,392049,454853,424815,1199158,474842,1765590,387697,3638654,385309,1062435,1072335,43234641,483668,717189,86446,85098,274694,409705,75120,40156,39230,46968,0,0,0,0,2857,5355,1025814,5490615,1038569,5783027,232296,497047,843363,2784738
0,"$75,000 under $100,000",614080,441730,334619,1489183,428381,52965608,513358,37828484,358853,851508,196700,968609,173562,619447,96884,954133,4416,153824,305623,110510,2142378,198424,6094326,44350,311795,162697,3037468,2638,29738,349586,7521589,19345,71728,289613,420347,323915,1086764,346477,1593210,296069,3206314,294260,961420,611703,37344804,300733,487040,63698,66311,175419,281392,55618,31320,4056,5152,0,0,0,0,4598,8674,604667,5131308,606750,5357340,154420,444656,457623,1757127
0,"$100,000 under $200,000",684725,561098,409668,1812298,561342,91158350,580491,63264545,484242,1712594,300494,2267243,271962,1550542,123896,2082349,6241,250260,1319438,134771,4392933,227126,9123086,37705,266703,170661,3580955,7762,125480,499324,12798261,38348,220190,419929,738728,475198,2263323,497319,3260597,430416,5722278,444238,1925438,682732,69307546,345251,490383,84208,94513,136795,180143,69525,39943,856,1096,0,0,0,0,27004,71725,679573,12011942,680705,12444222,240306,1270579,441914,2312834
0,"$200,000 or more",227579,187756,182851,619016,202938,138401814,187107,56478886,201461,5970323,156871,9082300,147700,6986756,54267,3856389,3525,154164,23986869,45372,3989273,59970,3499900,5711,45104,59381,1413486,10827,337688,203784,15935325,34885,1574141,161292,452211,194807,2520057,203420,4645890,154419,3334553,188903,4057311,226802,120518603,115392,826558,25827,36482,35,24,14161,8447,0,0,0,0,0,0,113388,903755,226498,31753782,226747,32100285,104072,3606022,122055,4560218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alachua County,111230,34304,44478,199745,55002,5370394,92421,4007721,38522,127028,20212,98919,17665,66093,15450,152254,1157,15020,126076,8119,139341,18376,455399,5947,38438,12008,153937,618,8797,27706,584528,1198,7764,21719,31537,24351,96582,27026,140981,21331,212359,21432,107033,83566,3754282,36242,41530,4474,4936,14564,16934,5833,3035,13414,16697,21604,45572,19178,41318,1837,7424,73495,659535,78755,687625,16820,60044,90672,274707
