County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,GEORGIA,4586881,1517406,2560537,9492809,3125236,215889392,3720188,165505171,1470928,3091201,663662,3639028,588370,2725868,842169,5289896,48420,554665,6647854,304181,4974156,721976,15191351,386556,2719614,399096,4666418,18505,398274,1603134,36778452,1321614,6939220,193540,216135,1342577,3935175,1565557,11483886,1248691,11975365,1314158,6298481,3161111,138496555,1465276,1753342,202003,170444,735846,820060,218537,114565,908276,1257288,1141562,2763255,1029865,2415017,109809,554851,2637857,24688301,3017910,26035501,684853,2661029,3667986,12135468
0,Under $1,118559,23223,92147,156370,23572,-6125919,20250,713740,45059,160777,20202,103856,18221,68749,25164,-554922,4411,45335,292754,4679,109390,6891,97191,2048,16864,96,293,117,4718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,289,20,21,75,82,0,0,4978,7625,8584,11724,6389,8577,191,2284,192,2034,15267,24030,4958,9609,43792,218742
0,"$1 under $25,000",2099606,258916,1158505,3580503,1162623,25571167,1578459,20111269,388411,423646,118727,199825,100951,120404,401269,1927345,9579,110270,89492,69249,415226,185100,1593929,189567,1345640,47808,87958,721,2921,226752,2416039,85151,84948,87913,58730,119761,238520,192658,425564,108062,807456,129547,245160,854219,4844862,300434,121204,9970,4316,95010,30284,25935,9258,612721,776527,879133,2311422,807326,2030305,8999,3138,618160,391883,919759,788025,159415,95105,1784329,4751845
0,"$25,000 under $50,000",1060077,312928,565714,2354826,795661,37785062,940712,31665700,272582,410933,104381,241322,89870,158036,162202,419800,9245,78459,205611,67036,648458,176437,2793845,99668,684863,128909,773081,1235,7883,363843,5503811,294341,504954,53568,55320,281005,521354,361294,1178112,266896,1912028,283289,807488,1002923,18410566,500519,486184,46062,33074,280636,245007,69804,40652,257614,429897,253845,440109,216150,376135,5330,2851,752548,1770253,804772,1959407,141098,200321,913854,2785982
0,"$50,000 under $75,000",520249,279316,289007,1202624,385156,31900738,463539,25442849,231052,314365,100873,271663,88192,179697,91182,444014,7801,70993,115671,54584,721519,131542,2966069,46999,328617,89838,1224604,1353,11789,324532,5983905,290712,827526,25514,35362,288302,602320,323948,1567557,272383,2179811,274406,916015,517012,19780855,248763,388106,45974,37750,159996,242238,40276,21009,29330,38716,0,0,0,0,2090,2238,485439,2402106,494611,2556407,114650,238749,404286,1241325
0,"$75,000 under $100,000",307495,229196,169217,803364,261660,26580441,277007,20801969,175938,260251,87293,268547,77284,187907,58839,420925,6079,61583,139715,40937,723463,90018,2527833,24657,175993,57272,1029549,1528,15994,240389,5102069,223010,908693,12847,27613,224931,692732,240209,1558828,211368,1917048,211889,819950,306743,17855142,163457,283730,34849,29866,108133,178768,31803,17010,3173,3946,0,0,0,0,2509,3803,302613,2355489,304023,2481815,78589,212763,228325,804230
0,"$100,000 under $200,000",372341,318062,206661,1062519,368709,49750955,342158,38711070,262616,517258,156890,670764,142506,490000,76439,1043087,8193,118551,512290,52851,1444437,108993,4057866,20974,148359,60659,1216691,5203,77313,340583,9991219,324720,2130017,11215,26095,325600,1094524,340454,3395851,301139,3424876,313347,1588750,371831,36150172,198736,277283,50470,47832,91959,123661,41557,21837,460,577,0,0,0,0,15308,33474,370617,6121641,371103,6375193,132443,616137,239133,1117173
0,"$200,000 or more",108554,95765,79286,332603,127855,50426948,98063,28058574,95270,1003971,75296,1883051,71346,1521075,27074,1589647,3112,69474,5292321,14845,911663,22995,1154618,2643,19278,14514,334242,8348,277656,107035,7781409,103680,2483082,2483,13015,102978,785725,106994,3357974,88843,1734146,101680,1921118,108383,41454958,53106,196546,14658,17585,37,20,9162,4799,0,0,0,0,0,0,75382,507063,108288,11644895,108375,11850624,53700,1288345,54267,1216171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Appling County,7157,2985,5499,15929,5513,261181,6016,207896,2038,4179,768,1653,651,1372,1232,6371,636,545,4870,381,5891,1253,24231,979,5460,726,6901,0,0,1777,36534,1540,6013,193,214,1406,1911,1766,8790,1202,7490,1495,7619,4705,148009,2172,2344,336,269,1368,1476,189,94,1815,2224,2327,5898,2129,5236,64,217,3876,20107,4536,21861,1041,2648,5898,17843
1,Under $1,141,81,126,258,43,-8974,53,1912,78,176,34,71,31,66,54,-359,69,41,754,0,0,32,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,0,0,64,239
1,"$1 under $25,000",3496,686,2623,6800,2536,44383,2798,34038,509,817,131,105,111,68,634,4246,109,122,198,112,875,385,3230,431,2256,94,135,0,0,186,2767,102,102,70,35,118,152,180,321,100,534,133,374,1250,6544,437,142,26,13,234,71,23,6,1329,1572,1824,5018,1713,4483,0,0,913,556,1449,1279,284,208,3078,8716
1,"$25,000 under $50,000",1730,798,1351,4096,1397,61753,1541,50387,456,692,125,158,99,119,242,896,128,90,312,88,874,340,5797,310,1784,284,1437,0,0,423,6582,343,585,67,66,285,283,421,1063,244,1237,331,1289,1669,28585,855,778,110,75,548,512,60,32,431,592,503,880,416,753,0,0,1236,2596,1316,2929,253,345,1473,4253
1,"$50,000 under $75,000",850,585,658,2164,705,52114,753,41670,388,685,148,283,121,214,141,524,117,87,395,77,1155,201,4824,138,859,165,2144,0,0,450,8239,413,1153,28,33,365,385,449,1728,314,1712,373,1565,847,31756,405,644,84,73,298,464,52,31,55,60,0,0,0,0,0,0,791,3631,811,3859,196,428,653,1931
1,"$75,000 under $100,000",467,402,364,1251,378,40374,427,32531,277,382,134,157,111,109,77,275,99,73,562,43,522,133,3999,66,365,90,1446,0,0,311,6308,295,1216,28,80,273,345,311,1724,239,1432,272,1501,467,27770,235,384,51,41,169,276,24,12,0,0,0,0,0,0,33,52,467,3540,466,3697,114,273,353,1207
1,"$100,000 under $200,000",425,389,335,1220,406,54393,400,40562,285,839,166,369,149,317,84,789,114,99,1504,61,2465,162,5999,34,196,93,1739,0,0,361,9074,344,2213,0,0,325,576,359,2997,270,2047,341,2387,425,40091,240,396,65,67,119,153,30,13,0,0,0,0,0,0,0,0,422,6494,422,6722,172,836,252,1054
1,"$200,000 or more",48,44,42,140,48,17138,44,6796,45,588,30,510,29,479,0,0,0,33,1145,0,0,0,0,0,0,0,0,0,0,46,3564,43,744,0,0,40,170,46,957,35,528,45,503,47,13263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,165,47,3290,47,3321,22,558,25,443
