County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,HAWAII,653308,246107,354129,1257275,370546,33360838,531720,23926400,292644,467537,138808,646606,122727,478969,97517,1315752,5693,96483,927560,56216,801566,131800,3178379,55273,507135,80708,1013447,4995,91501,206540,5239339,168809,1103507,28038,27299,161776,310604,205353,1475375,152529,2280960,168008,553985,503825,21870671,211111,341727,13190,31835,106078,132348,28965,13646,75836,98062,111747,222394,95988,199443,11670,74230,447792,3502362,479967,3731879,121501,380525,502709,1490712
0,Under $1,14590,3649,10055,20492,3458,-665351,3418,82799,6054,18225,3919,16545,3362,10184,4860,-49362,489,5211,18384,760,12198,1323,16047,274,2767,0,0,52,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,0,0,710,988,1768,1833,1242,1251,23,397,24,382,2196,4521,1025,1578,5556,25734
0,"$1 under $25,000",240374,36266,119518,344040,87554,2946859,183129,2248013,63122,46233,25627,41849,21945,25549,30545,197813,1575,17176,-6708,12468,66894,32723,293088,17464,130281,7797,13773,255,1173,19849,320263,8554,13394,8537,4780,12519,20479,19198,40406,10796,131738,12341,19141,113208,729289,34441,12185,390,183,8789,3359,1566,527,41807,48947,77083,164883,67336,149827,59,67,91615,66211,113653,100910,24431,14569,196396,386137
0,"$25,000 under $50,000",172638,50574,89868,328239,99568,6238752,150602,5040113,66808,53540,26079,51436,22575,33071,19961,168061,1176,16429,5172,11639,95358,29830,531896,18034,191574,24097,145900,479,3857,40956,684223,31364,71161,7092,5655,27166,38811,40681,121423,26057,305631,31247,63433,166054,3367197,67178,60524,1845,1819,37634,36240,6877,3310,27187,39943,32896,55678,27410,48365,49,179,138845,362295,144778,396388,27047,33790,144750,364847
0,"$50,000 under $75,000",92016,48940,52592,206926,64234,5652304,78351,4255066,53713,57031,23889,60854,20959,40648,14464,145995,882,15389,17231,10712,119242,24490,633628,9844,94903,19211,260876,596,5352,43761,870215,36692,129658,5189,5632,33437,49705,43621,192917,32330,416872,35453,81577,91209,3583358,40179,61428,2437,3938,26034,40580,6082,2858,5014,6687,0,0,0,0,204,388,85634,453450,87188,483577,23577,46230,68136,196413
0,"$75,000 under $100,000",56719,41384,33240,146491,47543,4902165,48961,3639846,39466,50680,19667,58112,17583,39349,10036,123757,601,12794,21577,8113,123119,17432,561879,5325,49039,12480,225333,592,6399,37099,874871,32685,161954,3249,3822,30485,50559,37040,223094,29611,429904,31146,80099,56524,3292365,28866,52044,2602,5359,18745,31867,5657,2689,939,1274,0,0,0,0,352,613,55270,440376,55615,466096,15997,40646,40577,140648
0,"$100,000 under $200,000",63321,53797,38356,174588,56893,8331850,55802,5977374,51064,91922,30058,126732,27401,91006,13450,309960,713,20882,120846,10186,242905,21669,893763,3997,35094,13870,289767,1606,26037,51762,1558182,47304,373908,3263,5046,46160,97025,51708,484015,43647,751394,45959,151754,63218,6009739,33613,56403,4555,13551,14876,20302,7726,3728,179,223,0,0,0,0,2126,4795,62813,996383,62930,1051875,23779,108626,39356,186412
0,"$200,000 or more",13650,11497,10500,36499,11296,5954259,11457,2683189,12417,149906,9569,291078,8902,239162,4201,419528,257,8602,751058,2338,141850,4333,248078,335,3477,3253,77798,1415,48142,13113,931585,12210,353432,708,2364,12009,54025,13105,413520,10088,245421,11862,157981,13612,4888723,6805,99127,1361,6985,0,0,1057,534,0,0,0,0,0,0,8857,67791,13591,1183265,13607,1228512,5645,135086,7938,190521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hawaii County,81747,30863,43510,159879,48121,3436226,62942,2382675,33506,65182,15049,67534,13013,46933,16116,177255,3203,11277,94534,7078,105509,16880,372695,10861,104176,10106,118413,537,9532,23041,548103,18260,106639,3710,3143,19507,34743,22886,147840,18356,241998,17185,48837,57959,2183453,23036,29322,1957,4102,12819,15318,2722,1136,11337,14205,17604,35545,14951,30985,1000,6571,50684,337189,57054,369548,15231,45252,61658,174750
1,Under $1,2618,850,1834,3978,642,-139501,564,11254,1244,3104,674,3132,556,1787,1139,-7175,295,959,1306,173,2221,304,3458,79,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,127,343,306,230,190,0,0,0,0,462,931,233,324,940,3651
1,"$1 under $25,000",33955,6006,16227,53854,15712,400855,24006,273634,8974,8051,3567,6563,2973,3980,5957,38242,921,2604,-495,1819,10425,5025,44541,4230,31239,1142,1984,53,305,3015,48716,1229,1778,1363,680,2230,3093,2910,5838,2025,23259,1736,2417,13848,85275,3902,1353,105,48,1462,552,196,67,6881,7651,12652,27308,10960,24122,0,0,11105,7840,15675,14468,3718,2374,27045,55560
1,"$25,000 under $50,000",21619,7025,11133,43413,13960,773870,18593,596868,7911,7811,3068,7025,2626,4323,3443,27487,710,2096,2355,1545,13858,4038,67601,3598,40834,3264,18599,79,534,5277,87936,4074,9101,943,697,4197,5365,5248,15743,4067,44797,3582,6662,20676,401500,8258,7526,470,464,5155,4951,807,359,3671,5501,4609,7931,3761,6673,0,0,17019,42124,18078,47932,3742,4871,17741,45113
1,"$50,000 under $75,000",10722,6431,6182,25124,7786,657625,9066,474452,5982,6858,2593,6937,2226,4705,2255,22149,499,1698,3706,1332,17188,3000,74869,1684,18864,2384,32584,79,650,5246,102478,4475,15496,591,543,4427,6077,5234,22774,4262,52092,3933,8393,10645,410339,4647,7259,441,718,3092,4903,605,240,589,799,0,0,0,0,41,163,9936,50171,10167,54833,2978,5923,7696,21660
1,"$75,000 under $100,000",6092,4780,3620,15823,4876,525562,5145,368493,4046,5871,2006,7477,1785,4898,1369,16386,330,1382,4007,952,16102,2060,67981,769,7544,1507,27725,70,874,3940,97467,3481,17087,366,419,3481,5291,3937,23446,3352,43958,3165,7388,6068,355583,3000,5426,383,779,1925,3267,548,221,91,127,0,0,0,0,48,90,5944,46419,5985,49921,1873,5025,4204,14330
