County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,IOWA,1398670,612580,924923,2793807,846697,72038121,1175730,52109936,637939,1294212,326577,1177479,293333,854325,210726,2027678,81719,232454,2114696,150715,1693154,288106,4532432,157176,956329,189702,2125076,9927,154653,454679,9264042,393236,2180978,52167,47783,411917,1159345,453271,3543065,341619,2451468,366456,1346254,1108788,48105538,529518,679911,113883,93972,253351,346761,81799,38887,154213,200851,214154,424012,184405,375771,25094,141816,984579,7565970,1057339,8120728,253067,950644,1096842,3041732
0,Under $1,20530,7386,16549,33190,6965,-1254328,6661,153388,9656,36292,6100,15611,5410,11231,6588,-62212,5444,7901,52237,1626,22369,2831,24287,613,4552,24,136,28,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,17,0,0,0,0,0,0,1212,1964,2875,3695,1951,2547,38,75,39,71,4051,8810,1903,4124,10203,31840
0,"$1 under $25,000",518164,73209,309108,692612,178363,6466404,406419,4679084,146952,180415,68230,98627,59607,51548,60306,325373,15052,46691,-743,41128,198444,81238,628099,53266,340395,24126,35470,282,1402,47045,683137,16666,21216,26053,17544,34145,69368,46029,117558,18904,98082,31412,56904,260787,1584993,79391,28745,6143,2381,18576,6803,5687,1837,85451,97369,148452,316991,132402,288578,98,74,209480,140385,255431,205894,56202,31272,425494,776623
0,"$25,000 under $50,000",353649,124032,236000,690960,201800,12828026,307030,9954031,141791,200808,64163,117312,56851,69024,47228,336462,18303,42621,50810,37885,287118,73521,988897,49668,305605,67377,403244,852,5307,92000,1257824,74413,132417,15551,14428,79542,158456,91734,324707,64791,349963,62926,128898,342961,6923480,155993,140266,27433,17882,77452,75712,18126,8759,55143,85024,62827,103326,50052,84646,70,124,284570,714509,302144,805365,50489,73914,300558,772620
0,"$50,000 under $75,000",216213,149073,155424,538485,170963,13334797,192637,10217102,122616,187152,58980,125941,52762,80144,38678,313056,16427,39526,82158,27830,284735,54288,946455,30113,177266,44132,616726,1168,9149,95461,1528429,88200,255164,6002,7353,87822,200894,95380,490475,76287,484666,74440,177548,215245,8576840,118594,189037,30818,23369,70893,117790,21444,10643,11179,14676,0,0,0,0,251,365,202741,985998,207219,1079723,50026,114837,165438,478890
0,"$75,000 under $100,000",134868,117468,96010,378468,125542,11640182,122259,8924656,91032,155804,47235,117597,42740,80585,25063,249384,11756,31950,104093,18949,266515,36094,772457,15044,80434,26232,484978,1511,15689,84808,1540860,81762,345131,2307,3548,81028,213182,84777,592685,72305,517628,72376,195465,134686,8152423,81860,152870,22709,19727,50344,91908,18062,9257,1020,1513,0,0,0,0,338,543,133128,1001673,133675,1084748,34168,113957,100457,340765
0,"$100,000 under $200,000",127084,116075,88476,376974,133470,16521886,116014,12198968,99742,236369,61176,231051,56210,170199,25407,452848,11410,44623,333879,18582,406479,33771,939204,7839,43827,22269,458086,3595,54952,108346,2543176,105949,740006,1621,3231,103957,358096,108334,1151259,90726,756029,99501,383880,126980,12389161,78354,126002,22540,23308,36086,54548,16445,7500,208,305,0,0,0,0,4082,8467,126508,2006777,126688,2144019,46372,272804,80524,350345
0,"$200,000 or more",28162,25337,23356,83118,29594,12501154,24710,5982707,26150,297372,20693,471340,19753,391594,7456,412767,3327,19142,1492262,4715,227494,6363,233033,633,4250,5542,126436,2491,67981,27019,1710616,26246,687044,633,1679,25423,159349,27017,866381,18606,245100,25801,403559,28129,10478641,15259,42974,4240,7305,0,0,2035,891,0,0,0,0,0,0,20217,132168,28113,2716557,28131,2792169,13907,339736,14168,290649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adair County,3509,1691,2853,6851,1896,151413,2788,102852,1741,3566,806,2120,720,1658,670,5586,697,655,9726,438,4319,699,8091,366,2048,557,5621,0,0,751,13773,608,3024,133,84,622,1077,748,4410,445,2704,551,1452,2696,98189,1188,1484,246,180,581,799,199,94,360,481,533,1003,428,866,29,228,2331,13347,2595,15089,716,3209,2609,6657
