County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,IDAHO,662765,316243,358345,1463491,488594,29548209,547639,21764652,244149,564899,114380,514874,101308,359122,112194,814764,20683,101653,1105782,60485,843461,123517,2414301,95650,589556,76688,821019,2678,49182,219037,4833851,172548,954119,39574,43552,200313,404147,218162,1425163,181558,1717682,175005,799030,483604,18825508,232303,288578,30071,21438,126472,167285,26873,12622,113373,166407,139016,294158,121483,259102,9927,66008,407304,2935357,453131,3160239,116768,434171,515849,1499890
0,Under $1,15066,6784,11566,27053,6084,-1756252,4576,105059,7463,38743,4122,16686,3639,10934,5613,-147869,2190,6332,69900,1240,17111,2159,22107,621,4340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,44,0,0,20,26,0,0,1105,1870,2163,3202,1610,2246,35,703,36,705,2641,5524,1114,2040,6841,80117
0,"$1 under $25,000",274459,58453,133301,446596,129934,3468165,216431,2567992,61751,73672,26879,48279,23186,24817,37173,186228,4456,22866,3368,16632,96330,36392,318625,40258,232415,9745,14850,131,959,25649,387659,8706,12543,14297,11144,20679,32980,25107,58488,16942,131052,16783,34756,121693,704598,37088,13037,1806,623,10456,3618,2426,839,59448,73231,93827,211928,83945,190630,64,116,95988,61806,124262,100843,27272,14661,225993,455841
0,"$25,000 under $50,000",168822,83122,91117,405982,143138,6081817,146621,4750647,55593,74156,22507,51390,19629,28985,26912,182860,4690,18938,26030,14994,135641,31711,518482,31223,201939,27777,158474,226,1431,50926,774663,35426,66231,13581,14082,45040,65130,50692,149448,41471,316349,36112,96796,158234,2810010,81205,70451,7846,4642,47514,43451,7645,3527,42912,75789,43026,79028,35928,66226,49,263,118448,266190,130082,310762,26764,34917,140881,390358
0,"$50,000 under $75,000",93669,69839,53108,257134,92011,5748040,82259,4411582,44830,68357,19575,52176,17257,31705,18140,124415,3745,16461,37246,11259,145263,23345,532358,14645,92860,17977,242311,305,2421,51758,932905,43949,126317,6673,8568,48171,75736,51701,215246,45109,387330,41551,141734,93149,3439808,52339,83671,8217,5571,35533,60328,7496,3600,8661,13659,0,0,0,0,126,168,83989,376093,86760,410096,23367,46234,69989,194044
0,"$75,000 under $100,000",52116,45259,30117,150906,53191,4486545,46071,3386117,30608,55434,14991,46851,13419,30905,10730,90375,2370,12402,51177,7426,129747,14505,418724,5643,35668,10435,187291,315,2947,38049,794927,34863,146621,2576,4234,36070,65857,38031,220719,33488,325117,32432,132327,51998,2993956,29964,54840,5525,4071,19980,38494,4798,2422,1062,1596,0,0,0,0,182,317,50653,365935,51076,391354,14423,40082,37550,122174
0,"$100,000 under $200,000",47448,42831,29768,141458,51024,6193306,42247,4441294,33804,98692,19236,91170,17560,64350,10611,177737,2425,17256,148699,7251,204186,13117,476663,3005,20339,8708,173557,880,14058,41847,1126533,39414,286813,1913,4103,40078,102683,41832,399365,36323,408199,37938,203656,47369,4491510,26529,41919,5544,4948,12933,21339,3963,1953,185,262,0,0,0,0,1602,3753,47044,727235,47153,771104,18024,101135,29278,135218
0,"$200,000 or more",11185,9955,9368,34362,13212,5326588,9434,2101961,10100,155845,7070,208322,6618,167426,3015,201018,807,7398,769362,1683,115183,2288,127342,255,1995,2046,44536,821,27366,10808,817164,10190,315594,534,1421,10275,61761,10799,381897,8225,149635,10189,189761,11161,4385626,5110,24616,1133,1583,36,29,545,281,0,0,0,0,0,0,7869,60688,11146,1137393,11157,1170556,5804,195102,5317,122138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ada County,176614,79327,85839,369165,117910,9677859,147162,7111233,70637,166647,38318,184179,34224,131750,30054,307456,1368,33394,302687,17364,273496,32686,694008,22480,157661,19720,227905,1153,22613,72261,1676452,59650,377534,10520,11186,67283,153760,72016,550533,62179,635363,60452,241211,137554,6456146,66700,84598,8942,6628,32803,44848,8786,4283,22084,30251,29884,57944,25535,50015,4247,28149,119944,1101054,130574,1168660,34739,135419,134467,382208
1,Under $1,3776,1421,2713,6453,1603,-327447,1188,33863,1799,11309,1173,5014,1046,3322,1301,-24722,142,1745,13762,319,6330,446,4842,173,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,535,529,737,400,524,0,0,0,0,633,1353,253,479,1768,6153
1,"$1 under $25,000",65551,10223,27558,94389,24503,831324,51511,617696,14887,16030,7624,14593,6564,7451,8819,53202,215,6252,-2536,4166,25592,8201,68673,9365,61627,2331,3826,41,280,7234,107402,2620,3838,3843,2629,5962,10272,7086,17182,5082,39781,4816,8121,32543,199399,10560,4126,424,163,2183,792,692,262,11418,13636,20470,41959,17984,37088,49,325,25466,17282,32034,26830,7294,4033,53123,97836
1,"$25,000 under $50,000",42404,16756,19733,87985,27618,1533970,36810,1206587,14376,17973,6675,16182,5819,9087,6544,48953,203,5419,3673,4076,39690,7970,126652,6599,49013,6414,38449,83,510,15008,222868,10958,20969,3463,3523,13566,20695,14936,46514,12723,100136,11171,22724,40347,770701,19288,17358,1861,1207,9878,9287,2044,991,8163,13003,8885,15248,7151,12403,0,0,32285,77215,34894,88418,7326,9461,34771,86050
1,"$50,000 under $75,000",25456,16850,13079,64265,21734,1566467,22230,1203190,12361,16989,6182,16512,5490,9874,4834,40224,226,5146,5453,3172,43725,6271,146529,3420,25264,4556,61701,116,838,15788,279843,13685,40924,1749,2123,14848,24994,15775,69528,14099,128942,13225,35156,25309,955080,13968,21808,2214,1547,9058,14842,2079,1027,1897,2665,0,0,0,0,31,52,23257,109135,23938,118710,6439,12654,18925,51612
1,"$75,000 under $100,000",16290,13455,8438,45664,15848,1407347,14440,1078759,9685,14967,5247,16426,4731,10702,3321,33537,178,4359,8322,2377,42867,4394,130735,1663,11607,3012,54382,134,1139,12770,260317,11831,50670,769,1263,12166,23632,12764,76796,11496,115097,11234,36622,16259,941721,9748,17355,1741,1279,6401,11810,1714,883,239,337,0,0,0,0,52,101,15944,117700,16053,125593,4369,11613,11880,38729
1,"$100,000 under $200,000",18345,16354,10527,55341,20590,2420126,16729,1862059,13217,27572,8201,36476,7527,26159,3940,68321,272,7212,35438,2584,68494,4513,168028,1150,8070,2715,54545,386,6316,16744,450803,16026,119367,538,1167,16174,44399,16740,167202,14982,179211,15490,67099,18314,1751280,10772,16268,2159,1794,5283,8117,1916,949,56,75,0,0,0,0,600,1304,18214,287033,18240,301864,6652,31021,11641,52552
1,"$200,000 or more",4792,4268,3791,15068,6014,2246072,4254,1109079,4312,61807,3216,78976,3047,65155,1295,87941,132,3261,238575,670,46798,891,48549,110,806,692,15002,393,13530,4717,355219,4530,141766,158,481,4567,29768,4715,173311,3797,72196,4516,71489,4782,1837965,2364,7683,543,638,0,0,341,171,0,0,0,0,0,0,3515,26367,4778,492689,4782,505892,2406,66158,2359,49276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Adams County,1670,903,1124,3362,818,59929,1192,37037,705,2001,337,2013,296,1444,370,2317,203,336,1648,186,2550,450,9909,422,2572,262,2751,0,0,441,9125,308,1345,124,109,407,670,440,2161,339,3201,314,909,1104,34688,446,508,77,56,204,230,30,11,222,284,386,763,318,635,20,164,957,4662,1126,5224,321,702,1222,3037
3,Under $1,89,46,81,145,0,-2561,21,248,58,149,30,89,26,51,42,-244,39,42,25,0,0,24,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,40,51
3,"$1 under $25,000",737,227,443,1227,307,9327,505,5930,211,356,93,165,87,103,139,522,67,103,97,60,368,141,1387,189,997,27,48,0,0,87,1290,30,39,51,26,72,88,86,156,62,485,51,103,288,1561,62,18,0,0,0,0,0,0,136,153,293,599,242,503,0,0,243,145,353,291,89,44,577,1170
3,"$25,000 under $50,000",438,270,305,992,279,15805,349,10400,185,262,70,334,59,241,96,549,39,74,72,43,401,120,2504,141,932,106,554,0,0,120,2015,75,155,42,38,108,158,120,361,88,645,78,164,413,7137,203,148,32,19,119,92,0,0,86,131,93,164,76,132,0,0,327,678,363,803,80,107,352,919
3,"$50,000 under $75,000",201,169,149,499,129,12275,160,7739,112,297,54,214,47,108,40,339,36,44,65,53,957,75,1988,61,416,59,780,0,0,91,1777,73,183,31,45,87,114,91,325,74,686,66,187,198,7480,91,129,25,17,50,83,30,11,0,0,0,0,0,0,0,0,183,843,186,920,62,104,139,343
3,"$75,000 under $100,000",95,93,68,234,46,8065,73,4371,59,325,38,252,33,161,22,222,0,31,334,0,0,41,1395,31,227,35,729,0,0,50,1071,45,166,0,0,49,77,50,255,42,411,41,221,95,5611,38,56,20,20,35,55,0,0,0,0,0,0,0,0,0,0,94,665,94,711,40,96,55,154
3,"$100,000 under $200,000",90,98,78,220,57,11514,84,8349,80,612,52,959,44,780,31,929,22,42,1055,30,824,49,2305,0,0,35,640,0,0,93,2972,85,802,0,0,91,233,93,1064,73,974,78,234,90,8460,52,157,0,0,0,0,0,0,0,0,0,0,0,0,20,164,90,1334,90,1442,50,351,59,400
3,"$200,000 or more",20,0,0,45,0,5504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,997,20,1037,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bannock County,33465,15677,17564,72033,24242,1429387,28252,1083839,12558,18078,4889,12296,4244,8518,5230,39198,654,4007,22690,2666,33017,6695,126096,4523,24482,3816,41535,115,1963,10829,219789,8785,41420,1689,2132,9841,18766,10787,63403,8871,67343,8842,44032,24358,843820,11780,14694,1877,1081,6325,8898,1319,626,5494,7581,7720,15876,6900,14287,399,2219,20387,120262,22531,129262,5399,15455,26811,71304
5,Under $1,529,231,366,911,188,-18739,176,2843,240,594,121,176,110,111,195,-2025,44,175,4012,35,420,82,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,46,88,92,76,72,0,0,0,0,78,109,27,33,268,473
5,"$1 under $25,000",14672,2969,6677,22459,6354,177993,11942,135709,3238,2891,1157,1454,977,811,1668,7346,132,945,-178,758,4014,2088,19248,2001,10332,528,782,0,0,1187,16745,420,500,633,664,924,1475,1158,2719,742,4725,750,1877,6512,36708,2015,749,113,31,474,173,107,38,2932,3308,5484,11906,5030,10951,0,0,5096,3148,6413,4643,1346,564,12355,25139
5,"$25,000 under $50,000",7907,3979,4198,18468,6425,285171,6841,224069,2816,2815,958,1438,818,867,1232,6596,136,695,395,665,5596,1704,29231,1426,7876,1375,7875,0,0,2465,36098,1758,3181,616,813,2161,3129,2460,7305,1977,12358,1810,5591,7516,133492,3939,3601,489,235,2195,2066,395,180,1940,3266,2148,3878,1794,3264,0,0,5586,12423,6159,14221,1219,1444,6654,18847
5,"$50,000 under $75,000",4885,3576,2886,13589,5077,300596,4315,236427,2485,2946,935,1711,797,1021,933,5526,142,712,1261,540,6502,1257,28673,663,3884,905,12972,46,255,2738,47603,2396,6846,285,352,2522,4095,2736,11532,2336,16360,2268,9320,4866,180645,2795,4648,575,317,1902,3269,385,179,525,868,0,0,0,0,28,43,4319,19686,4474,21237,1096,2147,3779,11221
5,"$75,000 under $100,000",2759,2430,1660,8246,3047,237499,2502,187146,1739,2298,710,1739,619,1184,528,2978,88,539,2418,332,5542,829,21355,283,1501,527,9684,0,0,2034,41799,1911,8207,90,147,1920,3571,2031,12138,1773,13866,1771,8457,2754,157659,1601,3101,331,202,1119,2239,249,128,69,93,0,0,0,0,0,0,2687,19116,2707,20098,673,1580,2083,6632
5,"$100,000 under $200,000",2314,2122,1444,7045,2604,295416,2119,223777,1675,3683,790,2683,728,1969,550,8277,90,715,4440,290,7292,662,23704,150,889,430,9012,31,392,2020,51491,1929,13409,65,156,1945,4827,2019,18620,1741,15478,1877,11751,2312,214862,1275,2082,324,220,635,1151,183,101,0,0,0,0,0,0,84,152,2302,34534,2303,36293,849,3864,1464,5865
5,"$200,000 or more",399,370,333,1315,547,151451,357,73868,365,2851,218,3095,195,2555,124,10500,22,226,10342,46,3651,73,3051,0,0,51,1210,38,1316,385,26053,371,9277,0,0,369,1669,383,11089,302,4556,366,7036,398,120454,155,513,45,76,0,0,0,0,0,0,0,0,0,0,287,2024,397,31355,397,32661,189,5823,208,3127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bear Lake County,2493,1407,1743,5540,1818,96429,1938,73174,1037,1683,347,514,322,281,423,3088,378,395,3347,246,2858,631,11711,283,1429,337,3311,0,0,736,14565,538,2250,185,861,632,716,735,3867,541,3573,608,3971,1654,56651,790,1151,154,136,455,721,55,14,341,538,472,1001,417,824,0,0,1425,7194,1624,7890,366,1024,1962,5091
7,Under $1,94,49,78,169,32,-3296,28,475,49,73,0,0,0,0,25,26,39,35,505,0,0,25,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,97
7,"$1 under $25,000",1061,305,693,1579,396,11474,771,7693,315,375,116,129,110,64,130,709,95,102,150,87,557,218,2111,105,499,44,74,0,0,102,2125,25,22,71,735,74,82,101,843,52,332,76,273,354,1829,90,29,0,0,0,0,0,0,168,199,324,700,297,602,0,0,297,160,426,318,84,39,864,1431
7,"$25,000 under $50,000",527,349,370,1355,474,19258,425,13837,234,346,86,116,80,51,107,670,108,98,233,66,691,152,2601,86,531,129,675,0,0,155,2454,85,161,68,62,134,136,155,361,111,717,132,674,489,8399,240,182,44,23,145,122,30,9,130,259,148,301,120,222,0,0,366,798,419,986,84,122,439,1321
7,"$50,000 under $75,000",437,354,318,1305,509,27456,385,21432,216,212,61,66,53,41,88,387,76,63,333,48,525,122,3048,58,239,90,1245,0,0,207,3627,181,510,23,27,175,157,207,708,168,963,172,1132,437,16547,247,412,44,25,184,342,0,0,43,80,0,0,0,0,0,0,397,1787,411,1913,95,200,342,1096
7,"$75,000 under $100,000",232,216,164,692,243,19827,204,15901,129,156,40,90,37,45,48,-39,40,43,405,45,1085,70,1784,34,160,50,883,0,0,151,2863,136,555,23,37,139,163,151,750,120,784,120,788,232,13504,136,262,40,34,89,189,25,5,0,0,0,0,0,0,0,0,223,1591,226,1647,54,143,177,672
7,"$100,000 under $200,000",142,134,120,440,164,21710,125,13836,94,521,44,113,42,80,25,1335,20,54,1721,0,0,44,1900,0,0,24,434,0,0,121,3496,111,1002,0,0,110,178,121,1205,90,777,108,1104,142,16372,77,266,26,54,37,68,0,0,0,0,0,0,0,0,0,0,142,2858,142,3026,49,520,93,474
7,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Benewah County,3856,1828,2361,7941,2376,140987,3018,100359,1336,2987,509,1613,448,1009,579,3525,179,480,2792,347,3897,842,14259,743,4242,513,4899,0,0,831,15615,599,2421,205,251,748,1205,827,3960,631,5179,526,2003,2751,80612,1166,1248,144,108,660,824,112,46,604,774,896,1879,784,1652,24,136,2358,10340,2609,11318,675,1655,2953,7462
9,Under $1,69,30,53,108,0,-2144,0,0,39,505,20,41,0,0,28,-278,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37
9,"$1 under $25,000",1743,425,981,2767,764,21358,1228,13660,428,577,167,316,161,195,224,1153,71,153,21,131,720,341,3214,258,1517,77,114,0,0,113,1832,28,29,77,91,87,125,111,248,59,461,68,146,754,4141,197,60,0,0,66,23,21,5,353,370,633,1404,559,1251,0,0,611,378,806,650,205,103,1362,2789
9,"$25,000 under $50,000",1017,502,637,2306,761,37028,881,27964,315,486,106,215,93,124,142,889,36,93,113,75,602,221,3739,275,1529,203,1090,0,0,221,3169,155,310,58,58,197,251,220,632,161,1221,113,319,971,18284,445,388,49,23,274,277,34,14,212,340,263,475,225,401,0,0,770,1814,817,2059,157,204,855,2314
9,"$50,000 under $75,000",606,480,389,1610,517,37070,545,28363,287,535,108,328,95,199,90,-43,31,94,426,66,854,152,3380,152,885,129,1809,0,0,232,4089,191,558,38,56,214,320,231,948,190,1545,147,496,605,23035,322,456,56,41,206,339,34,15,39,64,0,0,0,0,0,0,563,2564,570,2690,147,224,457,1265
9,"$75,000 under $100,000",249,226,170,673,194,21170,214,14667,136,357,52,202,46,105,56,307,41,59,678,41,621,73,2033,58,311,60,1046,0,0,137,2754,112,486,32,46,127,200,137,736,118,920,97,325,249,14675,128,224,39,44,84,139,23,12,0,0,0,0,0,0,24,136,243,1746,246,1888,87,260,161,576
9,"$100,000 under $200,000",150,144,131,417,140,19203,150,15705,111,377,56,511,53,386,39,1497,0,58,1454,34,1100,55,1893,0,0,44,840,0,0,107,2782,113,1038,0,0,123,309,107,957,103,1032,101,717,150,14404,74,120,0,0,30,46,0,0,0,0,0,0,0,0,0,0,149,2296,148,2439,79,864,92,481
