County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,ILLINOIS,6042149,2218821,3510463,12271567,3966798,362200925,4992514,260393723,2455824,6026733,1368174,8422089,1236397,6125201,898997,10525680,69589,963241,16718383,565100,9242714,1142059,24362829,685506,6337957,663306,7654606,40221,892812,2072810,51343536,1561199,6751691,444162,691846,1903799,11249481,2066380,19163645,1661869,16568486,1700386,6922408,4565327,252566553,2117229,2988135,383480,301243,997577,1223328,257622,140083,869344,1183547,1042505,2314454,912168,1982822,169259,949722,3990468,46793812,4378021,49066576,922134,4237434,4891661,17105243
0,Under $1,96341,23720,64524,129041,25976,-6822676,26792,769962,39214,239884,32995,166937,29916,105113,23806,-243314,3697,40991,428394,6197,144532,9788,121894,3064,30958,120,1093,176,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,411,35,54,105,103,0,0,5281,8303,10262,12827,7686,9217,260,4283,257,3910,12856,33124,5711,10913,44644,227642
0,"$1 under $25,000",2343814,282204,1285009,3538397,1062617,28666428,1773671,20497122,548779,562575,271637,443164,238654,254896,360185,2493796,11131,173070,-76270,144551,794686,307041,2475032,261499,2052986,83871,139635,1129,5590,194932,2987828,56700,49228,114672,106150,154787,645166,191250,825817,111111,808694,120392,190342,1034180,6059022,330336,127602,15426,6020,97421,32297,22995,7738,540349,669892,768147,1865018,686251,1609503,491,695,791120,518934,1088450,940956,219408,125486,1954896,4134861
0,"$25,000 under $50,000",1392858,397178,805687,2889096,934553,50382571,1207946,39736945,467559,564212,214365,499377,190248,308516,160416,1239992,13092,136336,32641,120931,1129269,262424,4096154,186999,2028589,207076,1287181,2160,14820,374128,5925794,233724,288325,124197,154660,323432,1331817,372557,1821552,279502,2033856,271700,542412,1329498,26184746,620954,583268,75322,48635,330489,302218,70762,43473,274694,438688,264096,436609,218231,364102,399,1021,1053410,2684381,1115349,2970908,165972,230225,1219148,3396510
0,"$50,000 under $75,000",830316,416361,498793,1866597,587944,51128785,733332,39907060,419536,569383,210332,590136,188138,387008,112607,954515,13132,136831,101305,97115,1244888,203487,4641314,105211,1017055,147260,2020713,3053,26695,418041,7920967,320625,594364,86012,138545,382690,1729885,417347,2517909,342595,2771943,334026,784556,825300,33006803,396374,595563,89923,66742,234202,364021,46294,25827,42810,58266,0,0,0,0,1913,2783,778245,4160517,790843,4404140,146499,305088,681634,2236693
0,"$75,000 under $100,000",527428,376194,319048,1358167,445726,45592900,473573,35359441,327044,508067,180716,569344,163287,386694,81686,846203,10879,120039,197422,73219,1270082,143435,4116545,63132,593964,97730,1694030,3655,35173,348501,7267204,287134,728596,54499,110829,331309,1723680,348272,2613442,300171,2746287,296959,800482,526105,31544642,289849,491772,73331,57821,174390,299407,38716,21143,5249,7089,0,0,0,0,3731,5531,519344,4255700,521464,4472600,104053,292998,422479,1673842
0,"$100,000 under $200,000",651176,549015,390417,1872300,666800,86930218,597916,67791369,475939,964377,308974,1346048,284258,965438,114280,2063800,13383,221858,818062,93430,2486600,174484,6681196,57475,535279,99916,1880826,11568,172177,543722,14229104,480300,1901783,55821,146152,526244,3537031,543537,5682386,475562,5323009,494195,1757452,650304,64744025,372150,528725,102936,88924,160886,225207,62692,33220,961,1309,0,0,0,0,28763,56618,648244,11053246,649081,11524969,189001,906029,460972,2312575
0,"$200,000 or more",200216,174149,146985,617969,243182,106322699,179284,56331824,177753,2618235,149155,4807083,141896,3717536,46017,3170688,4275,134116,15216829,29657,2172657,41400,2230694,8126,79126,27333,631128,18480,635998,193486,13012639,182716,3189395,8961,35510,185337,2281902,193417,5702539,152928,2884697,183114,2847164,199940,91027315,107180,660794,26507,33047,84,75,16163,8682,0,0,0,0,0,0,133702,878791,199848,24117124,199978,24719879,91490,2366695,107888,3123120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,31989,13488,22333,61315,18131,1485404,26571,1058872,15542,27509,7979,35555,7375,27766,4071,46282,1403,5072,32152,3883,47387,6684,108458,2773,20322,4335,43903,179,3146,6313,128992,4689,17337,1506,1941,5682,19798,6290,39733,4467,30308,4693,22338,24294,983773,11334,13834,2556,2219,5357,7198,1542,731,3697,4475,5623,11530,4898,10499,428,2092,21481,152881,22971,163926,4934,18750,25652,70000
1,Under $1,375,117,310,516,74,-15043,123,2738,223,451,142,338,132,265,113,-3622,88,170,516,39,408,61,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,49,31,30,0,0,0,0,64,109,34,41,159,609
1,"$1 under $25,000",13667,1901,8556,17799,4604,163490,10827,121321,4343,4817,2091,3133,1899,1853,1187,6120,239,1195,-163,1284,6999,2099,13460,1135,7570,561,787,0,0,696,11831,210,222,455,387,516,1134,685,1759,271,1288,436,981,6596,38614,1867,603,166,68,495,163,139,42,2297,2540,4074,9036,3666,8457,0,0,5351,3478,6321,4706,1153,545,11401,21292
1,"$25,000 under $50,000",7669,2988,5489,15003,4274,278056,6549,212806,3629,4408,1662,3643,1510,2217,955,6473,305,931,1021,947,8597,1741,23196,795,6104,1638,9584,30,233,1290,19226,822,1031,431,458,1098,2509,1279,4073,850,4251,769,1970,7459,150817,3455,3097,681,454,1661,1647,364,182,1153,1633,1502,2445,1201,2012,0,0,6190,15307,6553,17066,1009,1280,6587,17247
