County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,INDIANA,2979725,1206159,1641108,6126492,1972265,143095136,2488671,106709936,1032195,1815589,526798,2008841,472683,1441830,389133,3770949,54135,374486,3311331,287443,3778950,623560,9821677,349887,2655691,348218,3837464,12332,234084,818670,16464004,751057,3635958,45854,54888,748648,1529892,816498,5485138,678979,5266924,646271,2745291,2198159,94182684,1015992,1286628,182271,141639,534311,684545,113610,55749,425081,593306,553009,1182974,489881,1051612,43902,228662,1925206,15182114,2084201,16036870,404824,1581610,2442071,7254700
0,Under $1,39889,11668,26122,57553,10442,-2256244,10394,278323,14829,75821,11374,41301,10330,27795,11218,-212366,3170,14704,89576,2861,41744,5075,45573,991,8129,42,230,53,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,75,0,0,32,37,0,0,1615,2619,3646,3746,2729,2753,58,1207,56,1207,4896,10878,2219,3396,18304,92088
0,"$1 under $25,000",1250426,185548,649216,1884703,559718,14957376,950447,10484383,270292,278289,123330,176221,107869,99017,138365,851985,11398,81728,-28064,87448,436730,220979,1786306,145249,1094739,52686,85309,351,1313,77320,1068991,45114,50332,23543,15850,57396,87195,75977,173785,43846,259499,48108,97331,537191,3166004,161001,58561,10692,3994,50436,18001,9304,3179,262483,312589,400612,927263,365082,835933,175,423,424408,279810,542178,429669,92665,49506,1048859,2112064
0,"$25,000 under $50,000",719490,255783,397788,1552292,506508,25949583,636749,20515112,211178,255388,96067,185260,84975,114001,78980,568171,12076,63487,30226,67229,588119,149637,2264071,100004,798204,124723,764923,751,4408,160261,2158415,144491,261584,11103,12869,139418,189141,159789,499419,127103,754734,108191,261052,692955,13509256,322279,294280,43304,27798,183382,174615,27565,14388,139142,245987,148751,251965,122070,212926,125,183,557094,1372061,586865,1506758,81205,103903,635437,1783356
0,"$50,000 under $75,000",417259,272751,240335,1035176,336038,25716102,379128,20438827,183478,235221,88616,202756,79381,132715,61406,482505,10377,59244,74749,50688,642052,103975,1950046,57352,425419,78624,1128214,1017,7927,176940,2796800,168142,476461,5408,10114,163185,248981,176728,781401,152324,1029748,135055,381414,415888,16684945,216139,338774,46339,34068,138574,225580,25402,12268,19885,29341,0,0,0,0,707,1068,394408,1985626,400216,2110919,75162,148448,341264,1050919
0,"$75,000 under $100,000",254238,212402,145166,705119,235988,21935667,235155,17608699,138857,187642,71281,184200,64267,127739,41260,395311,7329,48293,104116,35077,611685,67622,1492275,28315,200010,45785,863579,1171,10833,152355,2751785,147334,577113,2723,6485,145490,256856,152286,888287,136616,1040544,126283,408353,253923,15483493,145859,261767,35197,28532,94264,166961,22627,11579,1696,2371,0,0,0,0,919,1551,251669,1979964,252300,2085759,50930,136686,202984,742443
0,"$100,000 under $200,000",243657,219265,140709,722442,258006,31696533,227567,24970686,164958,298070,98081,362808,89651,266565,43985,796290,7608,71711,371158,35889,963778,64819,1802384,16816,118615,38045,801012,3833,55962,198740,4498049,194010,1159781,2366,6891,192261,463020,198686,1706161,177755,1579625,178460,766854,243492,24057362,141946,217495,38655,36022,67588,99331,24866,12489,260,399,0,0,0,0,6218,12257,242903,3998681,243061,4191067,76072,369547,167235,769669
0,"$200,000 or more",54766,48742,41772,169207,65565,25096119,49231,12413906,48603,485158,38049,856295,36210,673998,13919,889053,2177,35319,2669570,8251,494842,11453,481022,1160,10575,8313,194197,5156,152958,53054,3189964,51966,1110687,711,2679,50898,284699,53032,1436085,41335,602774,50174,830287,54710,21281624,28632,115676,8084,11225,35,20,3846,1846,0,0,0,0,0,0,35700,211973,54668,5564765,54685,5701820,26571,770124,27988,704161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,14232,7157,9770,32655,12164,590042,10777,398200,5570,10782,2753,5352,2402,3369,2685,30007,1261,1988,7643,1637,15961,3119,37314,1824,12226,1756,18607,36,420,3029,58065,2750,11259,220,213,2703,4165,3021,16358,2193,14031,2451,15193,9956,357621,4682,6047,969,773,2506,3457,482,208,1607,2175,2222,4563,1925,4044,99,357,8706,51317,9449,55413,2000,7377,11291,28168
