County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,KANSAS,1306193,561702,752632,2685349,851749,70671801,1090686,50411364,553439,1099113,279532,1543822,250420,1236413,193222,2142914,58923,210752,3026757,138557,1802796,260273,4271242,117670,860382,161136,1884278,7970,142146,408742,9913313,323891,2122784,75272,121213,372312,1136796,407412,3562069,314708,2468938,332742,1656717,994187,47698742,470569,596864,76793,64439,241705,315497,62163,30796,176499,241612,220972,460380,194234,413782,28166,177472,870292,8021110,936857,8527692,231777,1058538,1011284,3004902
0,Under $1,19554,6640,14170,29096,5185,-1262045,5533,137165,9300,35469,6087,23030,5453,16196,6036,-88102,3653,8205,60910,1618,23691,2517,21790,330,2702,24,157,36,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,37,0,0,0,0,0,0,918,1421,1896,2058,1372,1494,39,544,38,466,2922,6411,1399,2710,7910,33611
0,"$1 under $25,000",510309,78293,272061,738777,208559,6150957,394624,4580205,135776,141813,59279,84872,51750,46919,55261,302429,11835,42023,-1379,38253,188211,77414,589404,42385,298888,20547,33700,226,1290,39807,619688,9841,13440,26201,28320,29233,63005,38985,114682,17918,104257,26455,53556,231467,1385524,72201,26201,3140,1326,21256,7697,4385,1504,100787,120854,153542,344965,139131,316635,113,169,182430,121843,226454,182392,49978,27370,410488,798477
0,"$25,000 under $50,000",317555,116318,180772,671466,216760,11460351,278333,9122706,111406,136736,48995,97294,43256,59177,40542,305793,13059,34386,35507,31426,260758,60095,842620,34725,263451,53591,329140,524,3269,71908,1046516,46689,84344,23017,31942,62027,132517,71595,268358,51538,299807,50442,125360,305168,5967117,144248,129822,15458,10825,82747,78721,14450,7228,63380,103466,65534,113357,53731,95653,85,217,243218,605183,258587,680940,47324,67440,268353,710999
0,"$50,000 under $75,000",185296,121542,112738,459240,148560,11417268,164330,8840238,97590,131739,45959,111855,40793,71149,32803,288336,11393,33208,62358,24562,288926,45827,842990,20257,146740,37292,527836,761,5920,82474,1876285,67025,188311,13991,25841,75668,181940,82357,425084,66425,441113,64442,185249,184433,7328160,96878,152806,18722,15060,61762,102390,14996,7680,10247,14174,0,0,0,0,266,417,173288,860891,176898,935627,43374,99736,141340,406797
0,"$75,000 under $100,000",115849,96861,70067,320159,106469,10010943,104638,7743159,74375,106412,38600,101985,34714,69098,22523,240763,7949,27714,77033,17419,274355,31908,703665,10734,77808,22554,418520,881,8487,74840,1410060,67512,268064,6405,15065,71086,194653,74807,511088,63807,477302,62918,203999,115660,6980050,66770,120546,15199,12894,42569,77481,12513,6584,1012,1468,0,0,0,0,376,727,114287,882154,114774,947430,29265,93474,86382,293626
0,"$100,000 under $200,000",125663,113246,77584,369197,129633,16598725,114901,12485124,95858,186239,57890,229498,52910,167615,26839,517973,8546,43994,275322,19932,486970,35540,1004204,8344,63113,21749,448045,2701,39363,108446,2639907,103077,688443,4342,14069,104340,363587,108412,1127222,91991,810480,98620,435056,125538,12419421,73485,109466,19567,18344,33346,49177,13651,6753,155,229,0,0,0,0,4241,8707,125128,2061729,125300,2186840,44574,257619,80853,358939
0,"$200,000 or more",31967,28802,25240,97414,36583,16295602,28327,7502767,29134,360705,22722,895288,21544,806259,9218,575722,2488,21222,2517006,5347,279885,6972,266569,895,7680,5379,126880,2841,83340,31267,2320857,29747,880182,1316,5976,29958,201094,31256,1115635,23029,335979,29865,653497,31921,13618470,16916,57986,4707,5990,25,31,2168,1047,0,0,0,0,0,0,23046,166691,31903,3488844,31922,3588052,15863,510189,15958,402453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Allen County,6139,2693,4708,12067,3544,233961,4948,164413,2560,4989,1075,3261,987,2530,979,7590,607,834,7452,671,5937,1361,18490,748,4174,811,7932,22,346,939,18968,632,3613,282,419,823,1787,934,6257,575,3264,681,3102,4360,144128,1948,2050,232,171,988,1214,280,138,897,1135,1342,2860,1179,2573,53,315,3786,21192,4192,23135,908,3000,4842,13408
