County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,KENTUCKY,1852914,781646,1145113,3826147,1189861,86578426,1555177,63604867,603348,1191049,283368,1435825,254141,1141388,275300,2670511,82585,231222,2577607,145198,1971235,376717,7381190,206838,1498913,209316,2128831,6912,138200,545770,11342991,469692,3038091,59550,51668,492456,987246,543927,4271833,443568,3349991,443088,1836651,1360563,55615292,616463,741561,102437,82217,332250,405694,70392,33964,293781,378358,410925,890976,363385,786931,30620,193935,1188445,8883465,1309630,9468789,264399,917815,1533156,4581235
0,Under $1,25391,9612,19625,39583,6965,-1611411,6749,170855,10971,47739,6782,40975,6154,20995,8999,-149987,5390,9982,80069,1841,29095,3575,39520,610,5163,34,129,32,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,58,0,0,0,0,0,0,1199,1785,2954,3106,2048,2158,51,398,50,343,3952,7515,1941,2796,11193,50224
0,"$1 under $25,000",799460,145258,477793,1294239,390743,9934794,630575,7312669,144710,176933,60105,92740,52665,55761,109235,706692,21504,50459,17534,38796,211695,108983,970421,82388,615383,27457,43440,203,1064,51914,700183,23655,35391,22080,12382,38986,55762,50771,115023,30138,180282,34612,71233,348229,2034526,103137,36656,6120,2381,33417,11507,5953,1935,195651,227313,308392,716716,279418,639734,126,146,275277,180193,369288,301050,65053,34488,694408,1516663
0,"$25,000 under $50,000",455649,177128,278323,966261,296341,16382251,399134,12945273,132717,179236,53010,107310,46662,71259,55248,375787,19173,42338,51422,35522,308865,99173,1654005,61570,446043,78264,433435,442,3264,116052,1577841,94197,232199,17410,13793,98932,136826,115606,410325,90440,529107,83228,192794,441086,8400316,204706,184461,25505,16889,118508,111300,16899,8335,85386,134219,99579,171154,81919,145039,95,152,355125,841607,374505,929118,54732,68898,398877,1110959
0,"$50,000 under $75,000",251892,169306,161768,616431,189901,15492377,226204,12117168,109808,155325,47800,118549,42553,83943,38941,290739,15405,36763,70402,26500,321361,69057,1541176,34764,239800,48132,631542,544,4376,122831,1988759,110222,426939,9993,9834,112151,176054,122676,650225,104245,694796,97509,262484,251104,9921656,128842,197772,26251,20289,85000,132335,16096,7715,10506,13600,0,0,0,0,420,558,239562,1168194,242908,1245386,49211,93582,202163,610660
0,"$75,000 under $100,000",147789,125733,93158,406310,131036,12741657,134883,9952458,80703,121309,37821,108746,34031,80303,25156,230669,9553,28436,82991,18501,311503,45318,1254584,16707,114249,27491,464616,656,6006,101231,1905682,94072,504372,5530,7123,95717,172003,101171,722610,89703,664819,86483,275175,147605,8834263,84318,147960,19365,15901,56790,95928,14328,7289,894,1232,0,0,0,0,508,911,146286,1116413,146680,1188079,32317,82268,115265,410950
0,"$100,000 under $200,000",139955,125627,88030,405666,139076,18264338,128771,13815344,95584,194795,55404,251489,50687,196605,28017,511472,8928,42419,270690,19094,505649,43225,1565650,10008,71274,22558,433565,2153,33591,121669,3001974,116234,955169,3964,6793,116426,284126,121637,1305044,105259,927301,110964,498144,139799,13577777,79133,119599,20892,20334,38535,54624,14938,7539,145,209,0,0,0,0,5262,11069,139426,2243736,139557,2361360,45473,219062,94269,439771
0,"$200,000 or more",32778,28982,26416,97657,35799,15374420,28861,7291100,28855,315712,22446,716016,21389,632522,9704,705139,2632,20825,2004499,4944,283067,7386,355834,791,7001,5380,122104,2882,89462,32073,2168552,31312,884021,573,1743,30244,162475,32066,1068606,23783,353686,30292,536821,32740,12846754,16250,55055,4304,6423,0,0,2178,1151,0,0,0,0,0,0,24158,180701,32719,3332979,32740,3436281,15672,416721,16981,442008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adair County,6895,3388,5473,14369,4304,214869,5519,166336,2487,4301,552,1073,485,685,1478,8119,1288,921,5027,388,5507,1259,23144,1160,6899,642,5137,0,0,1142,21242,926,4116,189,137,917,1010,1139,5621,829,5674,869,4430,4373,117272,1972,2047,243,201,1046,1165,182,85,1321,1619,2073,4698,1785,3918,42,175,3660,15438,4508,17374,810,2028,5752,15860
1,Under $1,187,115,168,336,36,-6940,61,1159,101,150,23,51,0,0,67,-755,120,66,459,0,0,29,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,41,56,21,12,70,237
1,"$1 under $25,000",3716,1134,2836,6522,1936,46089,2772,33158,935,1483,184,217,177,179,815,5304,463,311,382,153,913,516,4733,556,3384,100,151,0,0,181,2741,85,179,89,39,117,95,179,353,102,591,110,313,1436,7791,413,128,27,10,134,49,0,0,926,1065,1561,3774,1394,3192,0,0,1142,695,1821,1556,310,151,3182,7473
1,"$25,000 under $50,000",1687,1018,1357,3978,1232,60084,1511,48519,636,852,124,118,110,69,327,2084,333,233,352,96,938,334,5738,391,2213,282,1374,0,0,302,4176,245,491,49,37,220,196,301,784,220,1286,205,571,1636,28133,862,729,87,63,460,421,80,37,370,529,483,895,391,726,0,0,1248,2566,1366,2949,159,187,1520,4489
1,"$50,000 under $75,000",719,594,609,1917,600,43764,652,35068,397,527,102,280,91,172,123,692,188,138,464,56,553,193,4815,140,858,142,1714,0,0,258,4379,222,719,30,25,221,195,258,1021,196,1268,210,830,715,27445,405,614,64,48,281,416,57,27,25,25,0,0,0,0,0,0,686,3006,695,3198,141,295,574,1638
1,"$75,000 under $100,000",324,294,273,896,276,27758,289,21253,212,424,47,124,43,95,70,278,101,86,365,37,621,109,3831,49,222,63,981,0,0,194,3527,185,887,21,36,174,188,194,1150,165,1172,156,603,324,19460,170,311,33,27,118,205,45,21,0,0,0,0,0,0,0,0,322,2389,323,2506,71,214,253,1050
1,"$100,000 under $200,000",215,198,185,600,187,27228,195,18558,165,382,72,283,64,170,76,516,83,63,1223,46,2482,78,3756,24,222,55,917,0,0,163,4012,150,1043,0,0,146,224,163,1382,124,1077,150,1104,215,20436,122,265,32,53,53,74,0,0,0,0,0,0,0,0,0,0,215,3270,215,3500,81,496,153,973
1,"$200,000 or more",47,35,45,120,37,16886,39,8621,41,483,0,0,0,0,0,0,0,24,1782,0,0,0,0,0,0,0,0,0,0,44,2407,39,797,0,0,39,112,44,931,22,280,38,1009,47,14007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,175,47,3512,47,3609,27,673,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Allen County,7402,3643,5916,15863,5043,262492,6015,200339,2251,3995,770,2216,686,1683,1411,9757,1058,1006,4774,543,5712,1545,25510,1188,10158,773,6546,0,0,1675,29204,1390,6380,248,194,1460,1938,1669,9064,1299,8451,1312,4562,5081,146891,2308,2702,378,303,1328,1578,225,103,1348,1658,2031,4459,1789,3849,41,198,4276,19062,4975,21203,851,2769,6240,18364
3,Under $1,147,79,134,233,0,-4256,32,417,80,154,33,56,31,36,58,126,74,62,62,0,0,44,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0,0,55,126
3,"$1 under $25,000",3492,924,2720,6015,1894,43699,2582,30365,718,937,219,268,194,130,644,3841,333,322,546,208,1141,522,4439,493,4374,136,238,0,0,222,2989,93,139,110,59,164,176,217,415,113,593,156,337,1392,8092,373,132,31,11,129,46,0,0,855,965,1459,3421,1305,2959,0,0,1108,725,1651,1377,313,176,2974,7045
3,"$25,000 under $50,000",1978,1083,1601,4667,1562,70563,1770,56760,557,929,178,250,156,153,325,1034,255,227,590,159,1450,427,6659,369,3080,325,1639,0,0,439,6075,357,826,75,60,365,376,438,1357,327,1867,297,823,1906,33096,964,883,130,81,574,546,76,31,440,630,572,1038,484,890,0,0,1450,3007,1569,3365,189,211,1777,5677
3,"$50,000 under $75,000",1017,852,839,2761,878,62155,946,50021,424,521,135,210,119,141,200,957,204,171,635,91,1183,295,5519,229,2072,184,2374,0,0,439,7140,398,1502,37,39,399,510,439,2190,383,2335,341,984,1015,38560,544,889,110,93,368,588,74,34,53,63,0,0,0,0,0,0,957,4193,967,4502,162,316,853,2740
3,"$75,000 under $100,000",452,421,365,1303,427,38590,414,31191,253,276,92,175,84,156,94,646,97,101,648,48,546,146,4325,69,430,72,1163,0,0,299,5444,283,1563,26,36,276,361,299,2061,258,1704,265,847,452,26631,267,497,64,63,181,295,52,26,0,0,0,0,0,0,0,0,446,3160,448,3364,74,246,378,1584
3,"$100,000 under $200,000",271,244,217,765,248,34713,232,24956,178,523,81,328,74,246,90,3153,74,93,1243,37,1392,111,4185,28,202,56,1132,0,0,233,5525,219,1682,0,0,218,398,233,2223,192,1638,214,998,271,25970,160,301,43,55,76,103,23,12,0,0,0,0,0,0,0,0,270,4192,271,4528,88,557,183,964
3,"$200,000 or more",45,40,40,119,34,17028,39,6629,41,655,32,929,28,821,0,0,21,30,1050,0,0,0,0,0,0,0,0,0,0,43,2031,40,668,0,0,38,117,43,818,26,314,39,573,45,14542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,198,45,3785,45,4033,25,1263,20,228
