County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,LOUISIANA,1990453,666804,1169067,4065586,1344590,97991227,1692570,71822414,584555,1318203,279407,1741183,247541,1374025,354682,3998178,30387,203649,3010416,131354,1942334,329286,6279175,115360,632544,181970,1929163,10136,229837,467880,10544848,370814,1772078,80992,163259,351205,636316,464194,2657824,353632,3094557,364532,1886708,1443693,67071711,650651,865826,69768,65679,360896,417011,97813,51871,375033,452857,549961,1377605,499006,1225586,32995,157094,1232037,11665681,1381483,12459243,314131,1469231,1622082,5620610
0,Under $1,30082,8716,21629,43908,7848,-3121797,7734,246090,11094,98778,7778,53042,6914,37557,9888,-320234,2180,9347,75418,1685,29143,3103,38519,436,2644,50,432,47,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,283,0,0,41,44,0,0,1563,2402,3130,3941,2166,2512,129,2272,109,1969,4655,12947,2203,4529,15115,84280
0,"$1 under $25,000",887678,99704,502029,1485463,494972,11286969,721082,8906531,125057,135324,54645,83663,46828,46764,155448,861047,5397,36603,-8238,31459,177579,95671,870289,57663,331583,21215,34769,350,1896,42286,615669,17678,17145,19204,24646,22042,26997,40426,79941,22156,160696,26184,64928,385137,2162665,135077,49843,3815,1666,51843,17354,13252,4584,272018,314491,429700,1179601,400672,1060872,234,321,280155,180897,402756,348090,73999,44288,775209,2131500
0,"$25,000 under $50,000",468602,128530,263098,961648,315983,16826439,415969,13965608,119288,148135,47877,100903,41239,62677,64790,352949,5731,31426,22228,30477,276703,82624,1373827,29064,156452,63185,347021,611,4321,97847,1512423,69179,89002,24265,37586,59217,62707,96745,207751,64090,435890,69906,222048,455997,8853139,214040,211642,16728,12562,131036,125930,28030,16359,90700,121728,117131,194063,96168,162202,279,570,362165,887450,380586,984207,68623,102043,398226,1127133
0,"$50,000 under $75,000",242157,132034,145585,563634,179543,14870684,217841,11970811,99791,136482,42358,110293,37210,72045,42326,347561,5032,28695,45711,23359,300955,55764,1215254,14313,71855,40740,518914,742,7087,93680,1678879,74685,155668,16345,33802,67673,81879,93261,286089,72201,537408,70646,261067,241099,9721471,112825,176798,15809,13873,78203,120922,17043,9071,9577,12667,0,0,0,0,1209,1756,230514,1205602,233529,1290036,52913,124968,188789,595278
0,"$75,000 under $100,000",147666,112987,90080,393875,130326,12769647,135495,10269061,77740,112327,35510,102853,31593,71158,29043,323298,4010,24611,66276,16976,298202,37633,935191,7535,37901,24482,403369,839,9754,74132,1470490,63055,186200,9565,25896,60176,86020,73969,308716,62411,523700,58746,240789,147438,9076236,77754,137338,12198,11630,55129,91389,15538,8629,948,1274,0,0,0,0,1478,2701,145961,1212609,146484,1287519,35389,112300,112064,424811
0,"$100,000 under $200,000",168578,145552,108717,485288,169257,22207220,155800,17235924,111561,216657,60822,236321,55086,171766,37734,828662,5586,45131,244675,20848,545138,44332,1371461,5911,29384,24294,447288,2830,47936,117396,2768917,106212,519420,9428,32167,103617,201630,117278,772200,102160,986261,100143,494485,168396,17112934,88394,148451,16868,18204,44644,61372,20534,11331,227,295,0,0,0,0,5655,13238,167630,2923022,167937,3085924,59260,333528,108961,540605
0,"$200,000 or more",45690,39281,37929,131770,46661,23152065,38649,9228389,40024,470500,30417,1054108,28671,912058,15453,1604895,2451,27836,2564346,6550,314614,10159,474634,438,2725,8004,177370,4717,157974,42539,2498470,40005,804643,2185,9162,38480,177083,42515,1003127,30614,450602,38907,603391,45626,20145266,22429,141471,4350,7744,0,0,3416,1897,0,0,0,0,0,0,24011,136236,45503,5254132,45536,5450520,21744,747575,23718,717003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acadia Parish,24313,9662,15622,53414,19355,1068924,20956,821755,7621,13515,2993,9749,2644,6764,4058,44057,860,2095,35648,1422,16923,3269,50770,1217,6417,1931,18354,100,1921,3378,73272,2690,13381,597,1133,2255,2127,3345,17335,2365,17279,2399,12645,17222,700390,8018,11012,681,575,5220,6763,648,312,4816,5842,7140,17701,6413,15851,249,1007,14815,109074,16681,118110,3339,15223,20282,67507
