County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MASSACHUSETTS,3201679,1152448,1827403,5877846,1718428,233302326,2672105,164119564,1604457,3837786,816202,6228091,739335,4546803,479523,8746667,4751,597978,13510969,308420,4937231,575872,11801999,364483,3926525,361557,4356748,37212,715987,1283565,36184212,1167361,8957690,78175,59055,1155730,5911139,1279246,15277751,1005696,11432341,1054938,4251144,2576095,168766259,1098495,1528154,198854,157153,457286,570711,148401,75946,254781,293654,395239,740361,332392,642957,150223,1011228,2358262,33183741,2492661,34731558,587731,2838619,2487373,8807944
0,Under $1,49259,10225,33117,61398,11209,-2725835,13334,337173,21879,87987,18071,85833,16519,55879,13212,-149257,421,22092,59177,3107,54387,4353,43962,1501,17846,85,642,109,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,428,0,0,50,61,0,0,2291,3419,5363,5135,3897,3624,104,1846,105,1482,6525,14970,3052,4483,20395,88929
0,"$1 under $25,000",1090589,112108,580856,1300694,306028,12862259,825291,9160261,329181,308019,146888,259175,129368,152549,134589,1000409,964,95089,-48964,76454,402367,151238,1250473,112784,871035,40189,68506,1051,5816,109230,1670723,57938,70017,37206,16871,81679,318166,106695,425664,55948,450253,67100,79879,539841,3343370,150507,61318,6098,2369,36700,13622,9571,3372,152116,163728,287157,574997,248338,511426,258,491,435408,298318,529964,459258,129306,80940,868671,1471059
0,"$25,000 under $50,000",736211,155315,401608,1222804,317876,26859508,632975,21100895,302741,280383,122578,296922,108698,185547,84144,1023667,821,77951,13836,63801,557157,125565,2056163,98932,1166954,108830,657586,2407,18196,199032,3157553,169668,325128,19782,14522,162384,570045,197856,953286,137308,1125095,143833,216953,715670,15490148,273639,253444,29019,18708,127518,123966,28168,15810,82592,104989,102719,160229,80157,127907,183,458,624488,1726047,649661,1905648,106765,156825,624901,1512807
0,"$50,000 under $75,000",449821,188989,265384,886708,242856,27663224,396294,21417248,264741,289753,119365,356792,107159,230700,66790,915980,776,79284,59501,52218,649805,100352,2309152,57109,683674,81891,1099555,3169,28955,233417,4256603,217071,657762,11140,10094,209989,773247,233110,1497873,185992,1700586,185445,296614,446776,18382795,188217,256065,39680,28512,102327,152851,20668,10142,14994,18026,0,0,0,0,855,1652,429263,2467250,435620,2635219,89017,189674,359435,1094021
0,"$75,000 under $100,000",291520,195841,176689,706793,217316,25266160,263735,19694685,202183,247875,99988,340540,90292,228258,52358,836200,541,68849,123877,38507,659471,70823,1896358,39529,486213,53424,929765,3478,36976,204558,4371412,196579,832702,4668,5779,191397,814883,204435,1686639,173835,1778393,171977,306552,290563,17498251,152843,244252,36712,27634,88565,145664,21611,11079,2294,2854,0,0,0,0,1966,3303,287165,2437765,288404,2594863,62738,174398,228141,877203
0,"$100,000 under $200,000",430077,355202,258874,1220139,433025,58257665,400746,47059964,342266,518455,196575,883467,180300,630358,87895,2124093,774,149713,574042,54208,1387495,95750,3048272,46075,586158,58341,1151949,11437,168825,384949,10415088,376121,2592310,4183,7307,365177,1911282,384816,4619310,330984,4053874,343396,802621,429293,42940846,245854,330345,66436,54664,102086,134524,50396,26287,494,638,0,0,0,0,25845,53666,427889,7408733,428477,7780185,123616,555196,305578,1532215
0,"$200,000 or more",154202,134768,110875,479310,190118,85119345,139730,45349338,141466,2105314,112737,4005362,106999,3063512,40535,2995575,454,105000,12729500,20125,1226549,27791,1197619,8553,114645,18797,448745,15561,455609,152379,12312833,149984,4479771,1196,4482,145104,1523516,152334,6094979,121629,2324140,143187,2548525,153952,71110849,87224,382302,20909,25266,40,23,17987,9256,0,0,0,0,0,0,121012,949812,153944,18844146,154010,19341415,73237,1677103,80252,2231710
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barnstable County,121426,47086,72804,208233,47435,7015991,87923,4216773,65794,145576,38962,260447,35241,182761,24766,427887,218,30219,249502,20404,346919,32884,834690,14096,134318,25898,332304,1386,23374,53029,1297854,44748,246177,6569,4984,49379,196252,52842,461465,40327,448190,43619,116574,94284,4836287,38165,46593,9154,7692,13211,16905,3889,1974,7546,8733,13126,21343,10017,16999,3780,23201,86670,849108,93836,915229,27698,113970,86867,249018
