County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MAINE,624972,257744,310992,1160963,313999,29961839,519370,21678495,256682,465278,129393,649370,115067,478802,109893,1263600,4707,93450,941393,63614,826597,121593,2274379,59281,392536,76689,772389,4147,65490,196837,4274362,174877,1072637,15726,9832,184743,661446,196160,1824895,160382,1330725,147477,433212,484464,19387495,208096,247339,41914,29192,93707,116418,26569,13572,61909,72232,104693,194171,86812,165429,12762,87609,433924,3046704,470645,3278975,104761,339195,497568,1281342
0,Under $1,9865,3110,7015,14217,2155,-416441,2797,56996,4351,33569,3068,10284,2737,6968,4092,-46933,414,3755,21349,720,7667,1076,10717,235,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,0,0,0,0,0,0,408,569,1273,1128,842,777,0,0,0,0,1571,3198,790,1382,4118,11665
0,"$1 under $25,000",251643,39749,107608,333039,78205,3117557,194902,2230281,65598,61308,30387,56755,26330,33747,38191,248901,1366,20688,-1497,18060,95767,35507,314947,26454,167133,9089,14007,241,1312,19409,287670,9295,10734,7853,2811,15922,48647,19022,66549,11934,81132,11109,14859,125625,779486,33603,11915,2536,952,8420,3157,2192,783,36887,39224,75804,147619,64583,129064,34,26,103269,71122,129426,113945,27472,17823,208152,351096
0,"$25,000 under $50,000",159531,57365,77639,297252,79445,5759394,138388,4452232,59643,76341,26390,66961,23138,42914,25339,249356,1069,17312,18914,15879,131857,31873,529440,17252,118689,28474,151371,445,3142,41500,600054,35405,68511,4581,2746,37965,100468,41317,183074,32964,219419,26093,38982,155542,3114158,64855,55902,10730,6265,31508,30324,6607,3393,21215,28438,27616,45424,21387,35588,29,170,131959,327578,139491,374912,24225,35006,134227,312736
0,"$50,000 under $75,000",91371,60889,50551,211555,58878,5615664,81504,4313745,47951,58017,23035,73683,20462,49963,17681,191516,797,15558,34490,11962,141591,22916,502371,8817,59244,18510,231632,569,4772,44288,753575,41405,133017,1804,2158,42129,123282,44214,274896,37517,284972,32364,56448,90945,3606765,45498,64622,11279,7469,25646,39573,6663,3460,3062,3569,0,0,0,0,125,236,87218,429375,88410,467500,19944,41079,71150,194981
0,"$75,000 under $100,000",52420,43992,29621,137307,40668,4514697,47690,3495593,32636,44641,16972,65501,15139,47284,10598,133896,504,11779,42989,7523,122451,14438,372534,3952,26710,10041,165324,539,5452,36329,704678,34983,163844,690,825,35059,118259,36309,298031,31730,259083,28910,56927,52320,3128927,29299,47981,7882,5491,16725,27898,5264,2915,286,371,0,0,0,0,223,344,51730,396918,51898,424053,11620,31250,40671,137549
0,"$100,000 under $200,000",48446,42536,29032,134446,43318,6323575,44006,4704225,35876,73048,21378,128914,19558,97077,10650,239668,416,16674,140633,7524,205809,13258,435037,2364,17353,8307,159688,1296,19525,43778,1094593,42517,343647,619,925,42493,178349,43767,547608,37440,353121,38189,105957,48363,4666345,28314,41562,7866,6519,11408,15466,5006,2602,51,61,0,0,0,0,2766,6058,48107,765268,48195,811218,15236,76597,33083,155926
0,"$200,000 or more",11696,10103,9526,33147,11330,5047393,10083,2425423,10627,118354,8163,247272,7703,200849,3342,247196,141,7684,684515,1946,121455,2525,109333,207,1744,2268,50367,1057,31287,11533,833792,11272,352884,179,367,11175,92441,11531,454737,8797,132998,10812,160039,11669,4091814,6498,25331,1621,2496,0,0,837,419,0,0,0,0,0,0,9585,80775,11641,1056443,11654,1084149,5474,136058,6167,117389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Androscoggin County,48301,19081,23094,91514,26269,1986895,42197,1643162,16645,44645,7181,20223,6317,14751,6334,46619,201,4746,32854,4331,43975,8536,130437,4812,33000,4862,42967,139,1989,13977,255428,12741,63478,822,460,13141,39989,13941,109494,11925,87722,10235,20819,37610,1269878,16490,18414,3077,2060,8072,9796,2551,1324,6075,6970,9448,19164,8316,17113,556,3255,33267,181398,35696,192899,6730,15727,40225,100824
1,Under $1,591,176,384,848,114,-74752,160,3270,224,21970,123,235,110,149,222,-2680,26,170,6995,48,237,65,486,22,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,56,49,42,0,0,0,0,79,704,37,448,262,924
1,"$1 under $25,000",20158,2991,8639,28938,8055,258339,16518,198235,4295,4084,1670,2142,1445,1255,2244,13409,58,1045,-88,1393,7727,2617,20727,2262,15172,630,966,0,0,1298,17315,711,785,434,160,1042,2881,1274,4056,815,5104,705,981,10325,65140,3022,1114,164,59,906,333,297,113,3944,4200,6912,15120,6253,13724,0,0,8299,5900,10053,8495,1685,937,17473,33268
1,"$25,000 under $50,000",13043,4330,6001,24322,6848,468189,11830,387383,4211,5376,1694,2639,1482,1549,1514,10132,37,1007,1000,1181,9698,2345,34086,1381,9811,2040,10329,46,312,3275,42724,2896,5526,271,164,2996,7177,3266,13752,2723,16875,1984,2840,12800,256504,5573,4943,822,473,2838,2744,711,382,1853,2456,2462,3988,2014,3347,0,0,10796,26956,11300,29347,1795,2099,11209,26717
1,"$50,000 under $75,000",7127,5027,3782,17195,5003,437082,6678,363500,3267,3293,1387,2144,1205,1354,1123,8084,55,850,1612,837,8454,1656,30273,680,4743,1179,14653,0,0,3487,55384,3349,10493,73,67,3350,8961,3485,20738,3110,22463,2535,3673,7106,280629,3721,5608,925,625,2230,3446,693,364,278,314,0,0,0,0,28,95,6820,32685,6903,34628,1388,2270,5730,15823
1,"$75,000 under $100,000",4029,3560,2193,10830,3228,345416,3852,292404,2253,2409,968,2058,846,1383,655,4370,0,619,1432,462,7130,1000,21112,329,2116,576,9084,22,201,2817,51314,2742,12716,24,36,2743,8230,2817,22305,2601,19824,2250,3782,4029,240935,2250,3886,642,444,1354,2253,495,290,0,0,0,0,0,0,0,0,4011,30251,4016,31527,785,1680,3244,10522
1,"$100,000 under $200,000",2853,2569,1657,8077,2644,362955,2703,293220,1962,3530,1003,4038,919,3142,461,7728,25,750,5454,356,8157,753,19678,138,1000,355,6193,39,520,2606,60305,2554,20121,20,33,2534,9417,2605,31165,2309,18860,2303,5544,2852,270049,1668,2444,459,336,744,1020,326,160,0,0,0,0,0,0,124,265,2844,43982,2846,45741,816,3542,2031,8764
1,"$200,000 or more",500,428,438,1304,377,189666,456,105150,433,3983,336,6967,310,5919,115,5576,0,305,16449,54,2572,100,4075,0,0,82,1742,32,956,494,28386,489,13837,0,0,476,3323,494,17478,367,4596,458,3999,498,156621,256,419,65,123,0,0,29,15,0,0,0,0,0,0,404,2895,497,41624,499,42457,224,4751,276,4806
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aroostook County,31220,14062,17785,60009,16570,1206708,26372,902893,11955,16355,4627,9956,4034,7293,4706,47180,666,2831,17198,2801,27026,5998,108269,3697,22893,3685,29629,135,2198,5087,92422,4542,27335,413,387,4659,11053,5066,41097,3831,20840,3559,12136,23528,736471,10249,13845,2420,1558,4725,5852,894,491,3654,4356,6187,11989,5309,10594,328,2021,20732,99034,22457,108453,4552,12188,25640,61292
3,Under $1,456,201,346,761,128,-13080,129,2901,197,467,104,429,92,293,193,-2051,59,126,328,35,399,39,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,53,51,34,28,0,0,0,0,73,166,36,49,190,447
3,"$1 under $25,000",13980,2858,7103,19839,4899,176737,11176,128904,3476,2857,1193,1212,996,722,1670,9340,181,719,550,948,5091,2048,20342,1725,10748,489,648,24,157,481,6335,226,308,201,74,359,731,469,1224,241,1028,259,512,6924,42067,1886,639,216,77,519,197,98,33,2237,2344,4475,8981,3943,8177,0,0,5740,3860,6913,5709,1365,745,11879,21062
3,"$25,000 under $50,000",8395,3885,4952,17078,4752,301065,7361,232613,3232,3527,1093,1347,950,806,1216,10157,149,580,1498,783,6119,1751,31896,1238,7911,1640,7588,0,0,1132,14703,974,2046,130,128,995,1783,1127,4289,801,3687,653,1557,8231,159473,3674,3113,793,463,1762,1664,251,140,1249,1793,1659,2957,1332,2389,0,0,6833,16332,7245,18449,1079,1409,7271,17809
3,"$50,000 under $75,000",4576,3653,2848,11491,3243,280462,4196,220540,2413,2561,970,1430,853,895,816,7104,123,509,1906,557,5677,1146,25671,541,3037,904,10514,43,445,1129,17906,1058,3610,52,83,1065,2166,1127,6311,913,4733,773,2364,4565,183385,2431,3702,761,487,1337,2144,290,167,143,180,0,0,0,0,0,0,4403,20920,4458,22675,1013,1968,3554,9393
