County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MICHIGAN,4605761,1795041,2630532,9020275,2775308,227528957,3685779,162422266,1823815,3411834,908437,4828946,812141,3603294,681230,6842748,43141,695779,4261630,488814,7067149,1082281,21652831,660415,5304065,607501,7045088,20736,382535,1457468,30808130,1191962,5617618,217810,199500,1351916,4822747,1453180,11085063,1198527,9976189,1218454,4699470,3357137,151744692,1544649,2138865,322534,228108,704151,911713,158178,74938,565408,716986,846709,1822361,743274,1565593,83427,452055,2962774,25391120,3275131,26466064,706764,2350026,3648760,10697830
0,Under $1,76748,20286,50302,106930,19336,-4418134,18254,419905,28624,153461,21561,102435,19369,60764,19388,-239530,3678,30292,95536,5155,93718,9085,93282,2253,20007,134,777,84,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,159,35,35,58,68,0,0,3168,4994,7495,8698,5459,6295,163,1774,158,1629,9393,19594,4122,5794,33963,173312
0,"$1 under $25,000",1999701,282287,1067478,2871037,795024,23463412,1448899,15092523,499658,461737,217129,332755,188947,175496,277830,1773419,10310,155682,-113116,137974,718774,360890,3280446,262507,2179899,94454,153994,819,3606,154436,2052997,59118,59484,76966,40525,124079,333313,151676,463789,92312,558767,101154,179111,864072,5077157,261737,105336,22086,8086,64105,22350,10698,3633,365895,419879,642080,1476791,576332,1279151,342,471,679499,435659,923863,735709,170315,85340,1625451,3218789
0,"$25,000 under $50,000",1015344,364591,587739,2031393,607775,36724164,866326,26288394,367441,443859,164164,359723,145039,209105,127390,870282,9760,117530,-5212,114466,1049493,265910,4957171,182022,1507061,210341,1340183,1549,9958,283172,3966283,208759,346781,62998,51444,251890,646440,282263,1109196,221629,1377996,211835,468554,982435,19293658,446896,408040,78557,47705,213902,203374,34184,17464,165347,250280,197134,336872,161483,280147,191,612,808206,1972125,856573,2183614,143770,180842,866791,2276443
0,"$50,000 under $75,000",619349,371456,375351,1454934,454472,38188375,542884,28208515,312749,397136,148504,390088,132244,240991,92852,706373,7754,107697,52289,87351,1156857,182607,4380859,109107,829366,133203,1981809,2001,16904,313776,5181330,267821,695879,38418,41625,292881,819862,313432,1642951,266572,1911357,260071,663197,617097,24698766,314870,473824,78753,53634,182358,292789,32813,15096,27749,37183,0,0,0,0,1027,1323,586352,3002143,595239,3183530,128586,247392,489508,1464704
0,"$75,000 under $100,000",384646,303919,230127,1033128,341101,33202279,343227,24901185,233256,327063,118556,349919,106545,225782,63056,611295,5159,87545,97587,61581,1129328,118968,3445420,58611,431926,81312,1595991,2104,19942,258289,4887664,232382,824831,21289,29558,248197,787419,258148,1723887,229471,1870024,227145,658699,384091,23168048,221324,382990,58687,43025,131981,232471,29850,14405,2797,3966,0,0,0,0,1877,2798,380289,3016023,381387,3168266,84877,213523,299278,1078236
0,"$100,000 under $200,000",414622,367632,246586,1229412,444650,54452826,380041,41910005,297371,547311,172552,716160,157449,496416,75951,1372368,5141,135559,405196,66881,1919125,122681,4400369,42693,308097,72473,1592560,6579,97399,354914,8587260,333830,1834375,16211,29550,345186,1435207,354822,3424518,315953,3091677,329665,1253413,414221,40717817,248806,376693,70571,58575,111715,160625,43921,21092,452,684,0,0,0,0,14321,28212,413156,6795807,413501,7089042,131334,567446,282575,1280548
0,"$200,000 or more",95351,84870,72949,293441,112950,45916035,86148,25601739,84716,1081267,65971,2577866,62548,2194740,24763,1748541,1339,61474,3729350,15406,999854,22140,1095284,3222,27709,15584,379774,7600,233335,92881,6132596,90052,1856268,1928,6798,89683,800506,92839,2720722,72590,1166368,88584,1476496,95221,38789246,50814,391823,13845,17048,32,36,6712,3248,0,0,0,0,0,0,65506,416865,95114,10167734,95175,10086309,43760,1049689,51194,1205798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alcona County,4997,2583,3109,9216,1822,177894,3234,87244,2621,3970,1181,3506,1055,2114,777,4079,154,910,2969,913,12789,2096,46593,728,5677,1317,13976,0,0,1006,18405,614,1933,349,361,959,2839,1004,5507,757,5685,797,1975,3362,106051,1248,1189,390,281,424,508,68,30,395,472,821,1478,655,1235,27,107,3066,14460,3506,15515,866,1532,3724,8007
