County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MINNESOTA,2559715,1049544,1421476,5024478,1519923,152332257,2160988,112357215,1112359,2315891,611684,2921578,544767,2217893,384489,3924106,72264,465035,5590946,271348,3851340,473108,9029395,275279,2308855,304983,3598990,18692,297982,1021267,24644470,911626,6022726,84395,97137,948323,3083128,1018482,9479093,838448,8181311,858395,3081921,2025399,104128112,939536,1281810,188796,155979,429060,578502,143562,65302,257157,349115,349298,665706,298481,581743,75407,496184,1813582,18212248,1936977,19158023,486523,2069736,1968489,5572476
0,Under $1,37721,11398,27012,54677,10676,-2670381,12463,315101,16551,100358,12194,49805,10774,35628,11003,-133322,5103,16868,120066,2849,56925,4085,42467,954,7844,49,312,77,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,117,0,0,42,59,0,0,2109,3394,4946,5782,3577,4155,107,1540,99,1364,6329,14312,2946,5461,16413,62455
0,"$1 under $25,000",915591,106861,449695,1167405,285824,10883663,717328,8030234,239781,228757,115545,177105,99566,92769,110054,533979,14426,85313,-12166,69591,386799,124669,987529,89101,649715,36344,57657,647,2774,83564,1225016,34749,43255,40118,33408,64402,145549,81894,233994,47033,333018,56858,95240,443433,2694311,134040,52901,7495,2893,30384,11038,8933,2793,141107,165396,247180,500039,217237,447471,207,441,352524,235921,433193,353949,106036,56899,729746,1249816
0,"$25,000 under $50,000",607371,177362,333747,1144783,325692,22098165,527795,17365466,221923,247541,103000,199788,89592,116301,79141,581415,16197,73433,57819,61758,556476,111507,1701207,78875,695399,99866,619176,1568,9957,190100,2766101,157920,291736,26162,27833,169128,361439,189420,711408,148976,1067966,137445,251190,585926,11982053,249549,225449,37224,24296,120013,114036,27102,13157,91798,149416,97172,159885,77667,130117,164,354,490907,1273956,518309,1422190,97853,133070,505361,1193426
0,"$50,000 under $75,000",379648,223427,228549,876040,268411,23431166,336114,18051836,199437,239179,100390,220203,88321,137803,65062,569378,14153,70915,99555,49207,599160,89003,1908241,50819,451832,71678,1006904,2109,16047,216581,4023563,202320,596869,9897,15726,202476,493528,216308,1151829,182956,1523379,176655,368641,377570,14905455,188660,291197,45008,33761,109638,177806,30107,14320,19403,27006,0,0,0,0,511,851,355900,1801253,363499,1946221,85872,175325,292611,805521
0,"$75,000 under $100,000",252146,203454,152426,681022,224066,21803785,228096,16926645,156305,199455,86067,209273,76777,138982,45715,473510,9789,61268,143984,36668,608298,63017,1669202,30250,269861,46291,852462,2339,21021,188006,3783212,181330,760534,3888,7233,180114,516466,187929,1333653,164486,1531110,165301,410939,251681,14855699,147185,268512,38401,31370,89515,160787,29524,14100,2320,3302,0,0,0,0,930,1863,248436,1880852,249508,2005250,59917,165967,191813,622016
0,"$100,000 under $200,000",288363,256496,171042,854745,308968,38116344,267268,30146256,208256,364634,136806,471586,124954,338827,55236,928870,9645,103862,519023,40293,1011415,66339,2125128,22936,210064,40892,834808,6055,82720,265304,6961197,259323,1860950,3125,8942,257055,971140,265248,2935802,232347,2589108,247562,848735,288050,27789887,176321,270110,48508,45324,79420,114734,39610,17414,420,601,0,0,0,0,11639,24485,287000,4563527,287367,4784653,94599,447031,193269,823494
0,"$200,000 or more",78875,70546,59005,245806,96286,38669515,71924,21521677,70106,935967,57682,1593818,54783,1357583,18278,970276,2951,53376,4662665,10982,632267,14488,595621,2344,24140,9863,227671,5897,164567,77712,5885381,75984,2469382,1205,3995,75148,595006,77683,3112407,62650,1136730,74574,1107176,78739,31900707,43617,173524,12160,18335,48,42,8286,3518,0,0,0,0,0,0,61849,466650,78716,8455375,78772,8631448,39300,1085983,39276,815748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aitkin County,6950,3420,4231,13222,3177,269234,5015,161148,3197,5913,1435,3695,1269,2049,1204,7473,370,1176,7091,1140,15221,2125,46561,1066,8051,1476,16153,23,163,2006,39573,1636,6985,321,319,1835,3165,1994,10960,1508,12891,1565,4077,4955,163449,1977,2054,428,334,846,1040,228,93,742,903,1303,2422,1077,2088,68,257,4388,22900,4863,24628,1271,3281,5269,11952
1,Under $1,218,108,168,368,41,-10107,61,801,103,182,46,33,40,23,94,-575,41,77,-18,0,0,34,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,22,27,0,0,0,0,33,27,0,0,98,158
1,"$1 under $25,000",2983,756,1567,4411,1025,37090,2085,21933,983,1018,398,647,346,318,469,2312,112,324,86,357,2333,679,6429,439,2855,164,243,0,0,296,4389,127,219,150,110,232,299,289,660,179,1381,184,270,1284,7344,345,123,31,11,100,41,28,7,441,464,959,1800,807,1605,0,0,1052,657,1377,1087,332,196,2376,4043
1,"$25,000 under $50,000",1808,956,1155,3721,944,65229,1353,39319,835,1071,337,708,297,372,301,2544,83,248,393,312,3139,606,12568,324,2515,606,3645,23,163,546,8420,417,769,110,106,490,654,542,1627,412,3118,383,783,1737,31616,715,542,126,73,328,297,70,31,260,385,313,585,248,456,0,0,1452,3203,1556,3694,341,408,1454,3513
1,"$50,000 under $75,000",966,726,653,2277,572,59251,749,35647,564,885,262,682,232,347,168,1355,78,206,487,205,3079,380,10824,181,1624,345,4981,0,0,451,8212,403,1152,61,103,420,605,450,1921,356,2951,354,846,961,37095,448,615,121,87,232,389,55,21,41,54,0,0,0,0,0,0,921,4343,931,4646,274,524,690,1778
1,"$75,000 under $100,000",545,488,370,1367,333,46998,416,25810,379,894,187,587,163,346,95,936,35,150,819,159,3463,251,8656,83,712,225,4442,0,0,344,7199,327,1374,0,0,333,632,344,2129,270,2284,305,894,545,32449,262,440,94,98,126,235,42,20,0,0,0,0,0,0,0,0,536,4042,538,4245,141,404,404,1278
1,"$100,000 under $200,000",374,336,268,928,218,47653,305,28387,282,909,165,699,154,392,77,901,21,135,1481,107,3207,175,7661,39,345,136,2842,0,0,313,8182,306,2076,0,0,306,752,313,2973,251,2640,285,920,372,35543,176,299,56,65,60,78,33,14,0,0,0,0,0,0,27,37,372,5798,373,6020,157,793,217,889
1,"$200,000 or more",56,50,50,150,44,23120,46,9251,51,954,40,339,37,251,0,0,0,36,3843,0,0,0,0,0,0,0,0,0,0,56,3171,56,1395,0,0,54,223,56,1650,40,517,54,364,56,19402,31,35,0,0,0,0,0,0,0,0,0,0,0,0,41,220,55,4857,55,4909,26,956,30,293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
