County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MISSOURI,2687551,1090996,1525025,5348569,1649657,135366855,2228807,98317152,1046466,2273182,551558,3294279,499849,2679136,404123,3958623,99725,397619,3801452,264789,3649289,557519,10365351,272156,1692034,331316,3560180,13151,242706,829613,18312223,708123,3910679,98026,127005,754090,1981397,826833,6401698,669072,5574783,656128,2838901,2016488,89822581,908162,1103474,146359,117313,454904,570500,120766,58674,369741,462767,533479,1154459,469258,1026489,48597,320639,1771384,15109247,1931064,16025296,440579,1640676,2132742,6323356
0,Under $1,43717,15065,31399,65166,10959,-2591348,11555,325362,18693,92979,12566,44454,11357,30097,14740,-336640,7401,16588,112625,3325,57161,5831,59841,1066,7656,88,650,58,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,101,0,0,31,36,0,0,1827,2775,4453,4764,3095,3397,91,887,91,816,6288,12772,3108,4593,18561,105454
0,"$1 under $25,000",1111241,173286,589488,1663397,484018,13689310,861110,10068419,263227,303755,121845,193026,107729,113600,144684,863463,25199,84424,-7079,72050,376887,167665,1375777,116251,731020,43879,72047,453,1926,81928,1193960,29882,30997,42353,41683,61607,118852,80212,216633,45844,293208,51261,101978,506677,2988246,152743,53738,7459,2893,46413,16063,9869,3323,236142,271033,390496,911120,352879,823334,166,212,399513,264257,515358,421800,107347,57271,917590,1926041
0,"$25,000 under $50,000",657853,236230,368451,1319913,403665,23705742,573109,18732959,225884,294877,103931,218841,93095,139541,85611,635286,23800,70380,64885,62838,554763,139070,2173450,75373,471333,117563,690200,897,5737,169365,2400364,133153,207087,30706,37013,145735,261707,168676,558728,130484,826990,116484,275256,637368,12469987,286034,256860,33334,21845,155415,148484,30006,15118,113599,165799,138530,238575,113284,199758,129,213,520563,1275974,551591,1425345,94409,125196,559593,1466173
0,"$50,000 under $75,000",370799,236907,223788,884345,271634,22807945,327454,17605686,187289,267734,93525,245623,84431,164079,60396,493015,18534,62896,96820,47885,588834,100538,2167365,42363,254219,75823,1022775,1101,8819,178510,2968736,161732,413207,13343,21067,163769,332482,178301,835909,149553,1083064,137365,376578,369238,14662156,185533,282370,36168,27631,116526,186273,28613,14008,16259,20580,0,0,0,0,554,829,351194,1751669,356739,1877218,79967,161399,289843,839133
0,"$75,000 under $100,000",220406,179042,132034,592147,191056,19013363,198122,14644402,135302,213502,73557,215732,66900,152972,38982,402450,11228,49596,127865,33075,559311,64740,1739423,21003,125125,44624,777375,1350,12893,147585,2804889,139767,510054,5699,11237,140162,325989,147513,916634,129243,1045648,122172,379099,220025,13246996,123263,213264,27671,22872,78252,136088,22743,11657,1659,2214,0,0,0,0,910,1526,217654,1706174,218397,1807645,52133,142105,167901,576805
0,"$100,000 under $200,000",226839,200330,136335,653088,224754,29861007,207243,22690983,165451,353431,104830,462073,96887,348963,44491,860080,10461,75969,407892,36208,982463,66664,2236175,14596,92219,39624,771159,4114,60614,196672,4796540,190087,1169211,4264,11028,189432,593716,196604,1889466,171050,1635206,176318,732958,226574,22349069,130057,190827,33901,31722,58227,83512,25195,12502,255,366,0,0,0,0,7380,16029,225816,3734125,226098,3925210,76202,379856,150215,681658
0,"$200,000 or more",56696,50136,43530,170513,63571,28880836,50214,14249341,50620,746904,41304,1914530,39450,1729884,15219,1040969,3102,37766,2998444,9408,529870,13011,613320,1504,10462,9715,225974,5178,151856,55553,4147734,53502,1580123,1661,4977,53385,348651,55527,1984328,42898,690667,52528,973032,56606,24106127,30399,106314,7826,10350,40,44,4340,2066,0,0,0,0,0,0,39367,300943,56553,6376232,56593,6555306,27413,770256,29039,728092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adair County,9386,3974,6113,18186,5411,376288,7575,257394,4101,7709,1972,9693,1828,8252,1687,20339,856,1387,14446,865,8820,1835,34391,714,3211,1101,10651,53,974,1707,36349,1430,6722,248,238,1489,2279,1699,9834,1204,8162,1328,9435,6563,234410,3004,3729,482,381,1446,1788,396,179,1265,1621,1967,4053,1719,3615,109,561,5631,34640,6286,38259,1390,5853,7439,19144
