County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MISSISSIPPI,1282099,419722,781093,2693481,913149,52262193,1073570,39157226,318249,676675,136435,590496,120705,450080,212243,1988138,39080,101912,924657,76614,1013605,213417,4156247,101237,518504,126744,1387899,5018,85335,298398,6401628,213906,954317,74022,105342,245203,430712,296830,1625775,220165,1683934,248481,1400670,871876,32318667,410028,479698,42512,33131,232752,252492,60528,33535,297636,372556,421192,1077765,384777,969730,14160,66765,711225,5235745,816663,5337361,183372,664537,1060528,4219992
0,Under $1,37538,6265,14542,44571,4828,-1491049,4316,124912,6675,33716,4178,20921,3765,14988,6705,-95701,2310,5179,42771,1082,15202,2018,26592,306,1937,45,147,20,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,81,0,0,0,0,0,0,882,1317,1870,2373,1263,1559,49,571,45,485,2881,7067,1415,3228,22126,42567
0,"$1 under $25,000",620870,75918,371303,1121818,394831,8078464,512161,6484230,72078,94330,27130,42660,23294,25782,101999,600704,7857,19502,4783,19759,111140,62053,541656,60557,308417,15695,26857,836,3173,31483,440236,9067,10911,18746,15416,19432,24689,30641,61552,16251,97902,22200,60846,259375,1392309,95782,34472,3017,1438,39545,12983,8114,2935,216015,254363,328563,920955,307811,836934,111,145,182028,113431,267694,224765,44985,26366,553565,1655633
0,"$25,000 under $50,000",302913,96113,184596,679883,236658,10744972,270537,8974949,70130,95895,24849,49225,21434,32178,39675,215605,8089,17169,22847,18334,157409,56152,900304,22454,111685,45387,260179,563,2712,72085,1105114,43990,65087,24980,30806,52296,62003,71632,183883,48154,286071,56783,202602,292661,5248918,152058,147520,12113,8112,93940,86658,21411,13062,73291,107516,90759,154437,75703,131237,83,262,218057,490198,232333,550039,42034,58251,259678,784459
0,"$50,000 under $75,000",142654,88734,90947,349843,112643,8748108,126742,6906843,57887,85856,22544,57210,19774,39396,24125,185040,6915,15699,35496,14042,164511,38168,846098,9845,51796,29098,391963,348,2887,64669,1163258,48284,114701,14687,23758,53798,71953,64516,236782,49475,334182,53323,229552,141970,5525874,70626,111833,10418,8218,49127,75247,12316,6892,6758,8444,0,0,0,0,474,717,134620,652923,136826,702528,33664,73091,108684,323752
0,"$75,000 under $100,000",80814,66318,51544,219535,71012,6973931,72671,5402089,42962,68445,18685,51954,16565,37101,15541,158014,5087,13212,41066,9805,158301,24868,683618,4686,25466,17195,305601,359,3470,49273,991883,40379,135144,7913,15662,44446,72091,49209,243508,40721,308134,42593,213277,80669,4835191,42807,76259,7290,6072,29782,49496,9002,5127,566,760,0,0,0,0,573,1062,79793,624356,80081,664335,21986,65055,58687,202367
0,"$100,000 under $200,000",79222,70402,52750,225555,75017,10350077,71664,7655162,52689,115530,27572,114260,25009,86675,17885,369702,6459,20655,148986,10982,268995,25803,937764,3127,17502,15759,320645,1173,17807,63463,1571693,55845,298193,6753,16453,59257,125074,63412,476464,53144,475146,57314,373399,79148,7779002,40583,68785,8048,7302,20358,28108,8605,4873,124,156,0,0,0,0,2493,5985,78704,1298131,78846,1374716,30369,166537,48691,225183
0,"$200,000 or more",18088,15972,15411,52276,18160,8857690,15479,3609041,15828,182903,11477,254266,10864,213960,6313,554774,2363,10496,628708,2610,138047,4355,220215,262,1701,3565,82507,1719,54918,17425,1129444,16341,330281,943,3247,15974,74902,17420,423586,12420,182499,16268,320994,18053,7537373,8117,40748,1626,1989,0,0,1080,646,0,0,0,0,0,0,10377,58023,17978,2056221,18002,1813911,8919,272009,9097,986031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,13262,3625,9122,26502,8823,525938,10860,344004,3597,8117,1669,9165,1414,6906,2439,32004,216,1321,15227,919,11743,2414,45286,1024,5115,1457,16961,63,1439,2590,59002,1760,9779,708,928,2043,3563,2571,15709,1700,12411,2233,12513,8547,323408,3774,4330,340,256,1969,1889,427,220,3097,3480,4964,12500,4548,11441,184,858,7002,55191,8096,60758,2100,10461,10706,37060
