County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,MONTANA,474205,197377,279114,896027,249250,21536619,383169,14466216,206247,454747,104628,520463,90191,363023,81274,760932,19878,87580,1072565,45092,588151,92549,1747028,53610,312733,59065,623772,2498,41746,146829,3174285,131442,631066,1492,2121,132019,319014,144804,1000229,111221,998026,113480,494053,348671,14167616,149448,192358,26164,19655,70355,91734,16724,7443,54195,67792,86616,166613,73639,146151,7282,57304,308009,2254168,338112,2427652,88885,345848,357512,934452
0,Under $1,11644,4690,9406,18707,3174,-764054,3740,70437,6493,19795,3618,14247,3179,9346,4234,-37834,2458,5253,46297,907,12958,1499,16025,343,2343,0,0,21,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,582,857,1620,1825,1135,1296,0,0,0,0,2009,3413,952,1191,5084,14463
0,"$1 under $25,000",204587,34070,105783,279894,67020,2464828,157500,1807924,57416,65706,28573,67098,22220,24628,26533,139064,4734,21250,9159,12484,63666,27978,239077,22468,114384,7169,11837,118,477,19131,283206,10968,9674,394,257,14771,28224,17792,42286,10241,76350,12395,20472,95276,583610,25586,8783,1524,546,6221,2245,1355,429,31959,35547,63459,127342,55374,114798,325,208,78381,53449,98283,81677,21383,12233,162472,290102
0,"$25,000 under $50,000",113860,45748,65782,223846,63314,4102517,96689,3067428,46860,67862,20821,52906,18131,30711,18821,148604,4539,17168,37744,11023,89675,23684,388354,16760,106232,21341,122090,260,2072,33599,500225,29976,46362,335,497,29139,54223,33204,108458,24614,179279,23106,47428,109724,2127414,46940,39347,6714,3914,23948,23040,4257,1892,17811,26157,21537,37446,17130,30057,27,38,90847,218404,97370,252755,20209,27956,92692,227075
0,"$50,000 under $75,000",64871,44376,42007,156885,47139,3990362,56107,2905455,36944,62375,17470,52042,15481,33894,13184,113173,3280,14344,49734,8418,93327,17052,390869,8329,52230,13885,184379,287,2275,33442,580215,31718,85047,281,371,30655,62891,33271,158047,26939,222869,25329,61610,64554,2516573,32972,48034,7112,4837,19842,32334,4562,2077,3385,4573,0,0,0,0,106,127,60573,293111,61935,320888,17432,37398,47192,129545
0,"$75,000 under $100,000",37539,31604,25136,100555,31213,3238223,32994,2333327,24936,47998,12962,45805,11609,31393,7997,81223,2035,10460,59481,5553,91940,10827,302542,3589,22544,8075,138995,319,3016,24921,493220,24121,95372,170,274,23514,54124,24865,158737,20963,188248,20465,56936,37471,2239467,20884,35139,5064,3877,12452,22321,3342,1545,370,550,0,0,0,0,157,262,36818,280991,37024,301783,11252,32735,26189,86094
0,"$100,000 under $200,000",33477,29757,23777,93144,29776,4386273,29370,2891867,26004,81842,15509,83796,14192,61632,7968,153584,2142,13408,181630,5349,148344,9648,327121,1955,13667,6789,129044,791,12878,27862,696368,27018,178654,230,518,26498,77702,27813,269520,22961,238251,24781,101723,33430,3288204,18848,28634,4773,4589,7892,11794,2780,1281,88,108,0,0,0,0,1082,2872,33190,537601,33281,572043,13477,83829,19893,96967
0,"$200,000 or more",8227,7132,7223,22996,7614,4118470,6769,1389778,7594,109169,5675,204569,5379,171419,2537,163118,690,5697,688520,1358,88241,1861,83040,166,1333,1806,37427,702,20865,7874,621051,7641,215957,82,204,7442,41850,7859,263181,5503,93029,7404,205884,8216,3412348,4181,32417,977,1892,0,0,428,219,0,0,0,0,0,0,5585,53797,8200,870612,8210,895093,4180,150506,3990,90206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Beaverhead County,4358,1942,2932,8064,2071,157011,3388,106614,2137,4253,1107,5045,984,3646,885,3775,317,983,15520,444,5113,874,18027,400,2171,584,6072,0,0,1176,22054,1026,3959,0,0,1047,2058,1161,6428,804,6066,927,3260,2954,102734,1235,1317,204,147,521,662,90,38,477,651,806,1527,685,1319,49,309,2550,14002,2893,15346,776,2879,3245,7791
