County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NORTH CAROLINA,4199864,1637064,2345247,8862890,2771513,207609586,3513439,154646147,1577116,2756933,755055,3909000,687849,2962733,674671,5986632,47800,575550,5361086,381510,5552028,801076,15544015,463293,3895686,480455,5647771,20258,370764,1451499,33346022,1225598,7871677,178451,231263,1305789,3255630,1446206,11740445,1183000,10706030,1222125,5282444,3066863,132077398,1454997,1680118,217361,189598,745440,844494,208436,103632,774543,1057067,930959,2097101,829660,1861390,93596,596642,2608245,22146826,2878739,23482681,690520,2436904,3357015,9969598
0,Under $1,61668,20181,43516,91407,17474,-4186273,17126,478066,26453,177971,19939,77804,18344,52017,22062,-360102,3631,25321,184308,4781,85820,6680,77610,2106,22758,88,322,104,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,142,0,0,53,55,0,0,3380,5079,6783,7511,4974,5539,116,919,116,804,8943,18179,4334,6719,25985,116894
0,"$1 under $25,000",1763782,266620,972781,3037082,934118,22677905,1389907,17054882,348481,328608,147326,260472,131336,160418,263625,1545593,10880,108557,-10423,97595,549672,217103,1828671,211258,1494970,59395,103782,795,3089,157224,2256930,67490,83369,71220,69586,119567,221681,154032,402069,95598,650328,111472,235680,742943,4293749,258544,89631,11362,4678,90726,29624,21219,7119,504222,630820,682608,1680635,623499,1509740,261,376,554231,367915,759215,646041,152988,89166,1499378,3480730
0,"$25,000 under $50,000",1068360,357594,572160,2333485,736987,38085021,940760,30562991,347605,343528,131017,310197,117066,203551,140983,919014,10344,92323,61548,87955,794985,200818,3040413,128398,1195369,163191,991223,1488,8658,322984,4828192,256319,524719,53778,62970,273193,461454,321691,1114416,249936,1688910,249808,666687,1022454,18785817,502794,449242,51206,36893,293147,263804,59998,32227,239697,386765,241568,408955,201187,346111,222,488,784920,1845978,831496,2052101,150488,199319,911739,2493558
0,"$50,000 under $75,000",532347,332399,303020,1255031,376891,32702247,469311,24985465,283654,316568,121001,364146,109044,248917,90811,680518,8342,85784,112078,68651,863666,146533,3128586,62969,593061,110301,1560650,1720,13195,305663,5439383,271103,907806,27202,36957,279213,527398,305139,1545583,258117,1971118,255824,808509,529183,20441343,262882,387810,51155,42908,163254,250244,41989,20967,24334,30678,0,0,0,0,998,1444,501995,2437319,510323,2614095,125967,243896,404781,1125205
0,"$75,000 under $100,000",320584,259625,180629,843363,259544,27691572,285288,20931731,210112,270413,101101,347143,91997,247359,59971,552488,5941,72443,160643,50377,867887,99961,2708720,31091,306158,68145,1286944,1878,16998,243668,5003211,225913,1084470,13658,28720,229319,496085,243513,1672087,213457,1827895,213473,771577,319807,18774327,177525,296705,39483,35285,111037,183702,34607,18001,2417,3060,0,0,0,0,1539,2705,316021,2413602,317192,2556436,83937,215749,235946,775340
0,"$100,000 under $200,000",354671,312191,200592,1003092,334188,47022401,322338,35735443,272018,490924,163637,789027,151963,591886,71930,1212526,6389,125539,603734,57243,1548726,107996,3749990,24370,250650,64441,1357541,6261,89249,324590,8829920,310000,2455458,10664,26221,310940,936459,324482,3524458,285455,3068471,298801,1394698,354162,34216845,200888,280321,50629,51274,87223,117065,41494,20763,493,665,0,0,0,0,15024,31589,352727,5688553,353260,5958009,124188,568414,229803,1036528
0,"$200,000 or more",98452,88454,72549,299430,112311,43616713,88709,24897569,88793,828921,71034,1760211,68099,1458585,25289,1436595,2273,65583,4249198,14908,841272,21985,1010025,3101,32720,14894,347309,8012,237737,97370,6988386,94773,2815855,1929,6809,93557,612553,97349,3481832,80437,1499308,92747,1405293,98314,35565317,52174,176267,13526,18560,0,0,9129,4555,0,0,0,0,0,0,75436,559121,98235,9392655,98310,9637820,48618,1113641,49383,941343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alamance County,66322,25211,35771,139523,43933,2912619,55908,2196252,24269,40402,11053,47087,9975,35857,9304,78100,756,7984,57769,6887,85425,12445,210545,7908,64984,8203,94743,225,3667,21616,440126,18665,100555,2338,2445,19518,37980,21551,145811,17608,141146,17944,72615,48230,1765032,23058,25028,3270,2713,12321,13926,3749,1727,12775,17176,15299,34749,13829,31315,884,5610,40728,265873,44798,283541,10603,30442,53389,144826
