County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NORTH DAKOTA,329946,135864,199887,618185,174237,18567235,282909,12238798,146832,306727,68139,268428,59026,201689,48613,609691,28014,55413,1023040,29661,326294,51333,791174,20331,108568,41181,456732,2414,46133,68834,1461080,50521,216542,16292,16362,57631,186887,68441,426306,49650,393239,51174,241869,269264,13388007,118137,153344,22593,18218,54564,76840,19135,9621,29366,36545,44934,85274,38515,76217,5305,26918,243322,2263954,258191,2446224,75197,522876,244295,668393
0,Under $1,4342,1612,3486,7091,1459,-268530,1674,36501,2093,8395,1018,2259,866,1553,1196,-13039,1756,1733,24437,253,3470,381,4273,83,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,484,694,1042,459,729,0,0,0,0,1086,2753,545,1374,2099,8306
0,"$1 under $25,000",122021,13660,63636,144845,31992,1515822,101117,1199953,33494,36184,13339,16946,11120,8250,11972,66552,4814,10046,11545,7462,33719,12906,95151,5587,25835,4293,6616,54,223,6486,101971,1357,1271,4334,2760,3734,8097,6281,13067,2224,12985,3874,7543,67501,432835,19451,7435,974,363,3618,1370,1319,500,16775,18349,31879,64109,28321,59110,33,39,55341,39075,64546,53871,15177,9398,98954,167388
0,"$25,000 under $50,000",80940,24330,46928,142588,36546,2929834,70809,2309584,31024,41053,12547,22972,10520,11196,10360,87692,5507,9664,23891,7250,51112,12790,169869,6891,38656,14028,82063,141,928,12679,178929,7399,6648,4815,3257,9850,21955,12572,32492,8410,48692,7696,18431,79359,1697426,31876,28442,4685,2919,15135,14940,3858,2006,10010,14753,12361,20123,9735,16378,65,152,68310,184275,71801,208867,14386,25364,65994,157796
0,"$50,000 under $75,000",48600,32066,32154,115736,34770,3006909,43138,2276955,26212,37535,11487,23807,9827,12853,8987,93928,4855,8862,35627,5532,56162,9846,171547,4302,23599,9570,127947,243,2055,13152,211157,9568,12799,3264,3746,11132,29193,13109,46551,9889,68575,8989,25300,48432,2017451,24794,39123,5728,4010,15088,25194,4886,2613,2029,2587,0,0,0,0,62,175,46143,242110,47047,269405,13729,39274,34721,95921
0,"$75,000 under $100,000",33341,28098,22619,91546,29986,2880534,30275,2180448,21395,30731,10107,21600,8857,13597,6593,77694,3983,7818,46169,3905,53252,6992,140562,2177,12295,5880,99969,314,4082,12234,216656,10125,17902,1915,2922,10993,33516,12218,55292,10148,80580,9295,28266,33298,2098675,19345,35600,5035,3938,12197,22253,4530,2356,221,326,0,0,0,0,123,186,32967,266250,33105,293627,10612,46149,22662,73691
0,"$100,000 under $200,000",31934,28554,23286,92251,31661,4258915,28537,2806042,24506,52033,13845,57450,12476,45243,7034,140661,5091,11505,208043,3995,78782,6845,166085,1214,7140,5520,102433,919,15725,17191,364970,15395,51482,1601,2960,15827,58637,17176,114740,14440,126217,14874,63621,31912,3392191,18395,29818,5017,5011,8526,13083,3926,1861,37,46,0,0,0,0,552,1332,31805,565261,31846,616699,15360,138081,16512,73486
0,"$200,000 or more",8768,7544,7778,24128,7823,4243751,7359,1429315,8108,100796,5796,123394,5360,108997,2471,156203,2008,5785,673328,1264,49797,1573,43687,77,549,1890,37704,743,23120,7092,387397,6677,126440,363,717,6095,35489,7085,164164,4539,56190,6446,98708,8762,3749429,4276,12926,1154,1977,0,0,616,285,0,0,0,0,0,0,4470,25034,8756,966983,8760,1001002,5388,263236,3353,91805
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,1075,505,861,1962,459,45653,839,31755,549,1002,214,511,192,384,216,2973,220,240,2149,121,1262,169,2627,29,183,190,1816,0,0,150,4123,82,251,66,733,89,167,149,1159,65,390,96,322,831,31871,346,380,82,60,136,186,54,26,82,100,117,212,90,167,0,0,743,4584,828,5318,298,1404,700,1545
1,Under $1,40,0,35,66,0,-2496,0,0,21,14,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"$1 under $25,000",399,94,302,467,75,4863,288,3521,172,275,60,90,53,53,75,233,43,72,135,38,203,56,345,29,183,26,56,0,0,33,1676,23,34,27,704,0,0,33,748,0,0,20,55,204,1211,47,15,0,0,0,0,22,9,38,39,77,137,61,119,0,0,170,113,229,235,79,84,288,422
1,"$25,000 under $50,000",291,119,225,529,121,10484,241,7352,141,297,49,85,40,50,45,377,56,52,157,57,434,51,663,0,0,81,465,0,0,38,798,0,0,39,29,36,57,38,60,0,0,23,49,282,5753,122,88,34,20,48,36,0,0,44,61,40,75,29,48,0,0,238,614,262,753,76,119,211,426
