County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEBRASKA,852823,360771,500267,1717996,543498,45164318,730354,32411981,355840,723779,190278,1023328,170325,830547,127632,1136813,45845,146971,2216833,85609,1021607,144863,2407611,59710,304222,99880,1146774,4790,76786,264820,5966334,223943,1254847,33744,45758,236388,859514,263132,2293303,203027,1518543,219043,1030711,664883,30421766,320062,400929,57123,45911,156594,213825,53326,25919,105626,142206,137575,282848,119600,252687,17309,108868,584023,4947812,629243,5273322,153212,730067,667292,1883081
0,Under $1,13899,5022,11226,21490,3956,-885437,4440,98366,7045,20018,4341,13989,3870,10313,4156,-41017,3769,5924,48187,1164,14499,1649,13941,238,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,0,0,0,0,0,733,1219,1728,2364,1213,1653,24,113,29,113,2676,5714,1334,2808,6238,21097
0,"$1 under $25,000",327293,43849,173745,440398,119971,4020284,265426,3130109,84268,90282,40420,57218,35352,30333,37924,199579,9162,29495,7863,24192,123769,40173,286475,28471,142406,12137,19500,148,861,24562,376833,8200,10264,13732,11788,16155,40661,23987,70029,10640,59105,16103,29820,161458,981662,50211,18054,2663,1074,11689,4243,4345,1460,58451,68504,94617,210192,84719,192389,55,87,128927,86891,157721,128026,34962,19596,268562,495106
0,"$25,000 under $50,000",214460,73810,123672,434080,135626,7751000,190912,6358204,75547,90676,35606,66436,31369,39562,28007,196799,10467,26260,41545,20135,159523,34829,463350,15816,84040,34143,205212,368,2431,51399,753662,38992,64689,10229,14368,43002,110101,50385,203706,36538,207582,36800,92749,207050,4100859,96669,85288,12650,8422,50230,48114,12603,6336,38467,61602,41230,70292,33668,58645,36,51,167810,420001,178469,474538,30239,46117,182808,468892
0,"$50,000 under $75,000",124070,84726,78054,314108,103297,7650128,111541,6025197,64956,85983,32833,70241,29164,44490,22608,172545,8619,24196,63782,15178,164182,26764,492632,8613,43801,23267,321898,555,4037,55138,920228,49128,129709,5065,8255,50327,147338,55076,306066,44370,292945,44201,109395,123484,4870395,68217,108373,14975,11454,42328,70884,13134,6725,7100,9661,0,0,0,0,156,210,115718,556997,118337,609988,28840,69164,94784,266318
0,"$75,000 under $100,000",78318,67385,49366,222751,76532,6782618,71556,5281695,49520,71477,27324,66742,24506,46563,14885,134940,6127,20077,89293,10863,157900,18393,417474,3985,19392,14169,259627,623,6005,50333,949610,47381,177390,2307,4947,47638,159284,50318,365859,43255,317245,43754,124362,78199,4706245,48047,88451,11698,9641,30257,56189,11071,5716,729,987,0,0,0,0,231,398,77164,577820,77525,624614,19966,74931,58186,190952
0,"$100,000 under $200,000",76263,69369,48839,229176,83277,9997290,70003,7380435,57421,116584,36361,139370,33328,106479,15267,236558,5863,28301,227708,11155,248343,19266,580286,2364,12071,12827,263396,1619,23709,65583,1645733,63355,410913,1597,3918,62661,267813,65566,723342,55470,468321,61056,255068,76191,7443833,47073,72912,12472,11724,22090,34395,10722,5015,146,233,0,0,0,0,2791,5114,75882,1208618,76012,1284745,27995,188696,48147,208114
0,"$200,000 or more",18520,16610,15365,55993,20839,9848435,16476,4137975,17083,248759,13393,609332,12736,552807,4785,237409,1838,12718,1738455,2922,153391,3789,153453,223,1316,3337,77141,1477,39743,17805,1320268,16887,461882,814,2482,16605,134317,17800,624301,12754,173345,17129,419317,18501,8318772,9803,27845,2665,3596,0,0,1451,667,0,0,0,0,0,0,14016,102895,18493,2097372,18503,2145697,9876,328755,8567,232602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,14044,6052,8562,27889,8683,686860,11840,461776,6101,14859,3497,17109,3162,13311,2190,18715,605,2247,16085,1517,17327,2273,32685,1068,5779,1840,20929,85,1069,3462,75976,2923,17194,477,501,2992,9182,3452,28274,2257,14515,2840,16203,10807,451535,5246,6181,978,743,2466,3330,875,407,1841,2410,2465,5104,2152,4594,242,1300,9422,72830,10151,78469,2446,12996,11017,29814
