County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEW HAMPSHIRE,662998,270166,308730,1232753,346174,41303623,560368,30112256,295164,1105677,161122,881089,143851,629941,104547,1826251,2146,115988,2208869,68893,1106318,123713,2443189,61392,474548,82823,989203,6084,104060,240442,6371789,99013,433332,3981,3151,227483,1440020,237228,1984380,201072,2052104,181765,515698,532254,28964169,230352,294037,47751,37321,102482,133069,29567,15028,49343,57873,80970,144460,66620,123561,16318,84784,488824,5041657,517857,5351228,112040,479939,528177,1577090
0,Under $1,9796,2534,6268,13313,2312,-467082,2651,59098,4112,17041,3254,14281,2918,9699,3605,-68985,157,4053,19759,636,11255,849,8097,201,1945,0,0,23,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,0,0,0,0,0,0,386,572,1071,966,708,639,21,191,23,157,1436,3128,658,944,4197,16075
0,"$1 under $25,000",231043,27382,92594,268946,57497,2736922,181001,2012567,63158,54286,30459,55269,26468,31995,28431,205895,473,20368,-8298,16468,90761,31180,260325,20884,129409,9565,16127,244,1216,21131,343924,5092,4078,598,311,17631,87605,19756,99440,12589,91323,12181,15800,115302,724336,29188,11336,1644,625,6982,2738,1804,686,28013,29881,58065,109676,49427,96717,41,60,95823,66417,115421,101089,23451,15424,191499,304080
0,"$25,000 under $50,000",154941,42802,69085,265260,66848,5641021,134652,4448935,56943,57268,27060,65178,23697,39772,20668,253632,421,17437,8049,14960,136703,28091,436590,16625,133924,26129,159368,516,3848,40741,643698,11389,14529,787,506,36899,176340,39685,203741,31698,244328,25867,35569,150584,3190081,57425,51235,8337,5204,27093,26612,5401,2815,16988,22428,21834,33818,16485,26205,35,62,131736,350834,137905,397994,20478,32917,133459,324836
0,"$50,000 under $75,000",96747,54471,48882,211376,59683,5967398,85953,4626155,50570,57665,25626,75357,22687,49127,17010,240421,355,16823,20367,12382,157692,22266,470997,10473,87659,19252,267492,684,6194,47500,1254936,16661,33133,759,498,45155,233261,47080,283952,40838,364033,33695,53376,96213,3889387,45694,63685,10726,7421,25828,39309,5488,2686,3452,4343,0,0,0,0,140,184,92104,489192,93615,535305,18731,42540,77731,237148
0,"$75,000 under $100,000",65393,51054,33221,168879,52159,5661133,59487,4439535,40342,51227,21954,74378,19579,51041,12544,203795,231,15014,32307,9392,163029,16426,415546,6571,59619,12420,225134,767,8053,42549,860947,17750,49172,634,485,41195,234506,42366,302433,37977,380164,32804,60156,65218,3943387,36643,60181,9518,7039,21706,36292,5784,3039,420,539,0,0,0,0,283,498,64524,519258,64770,559922,13532,38167,51703,191427
0,"$100,000 under $200,000",83949,73312,43775,241606,84080,11185943,77759,8967796,61237,103930,38091,178975,34588,128444,16842,427106,341,28606,140778,11871,322765,20327,637979,5931,54563,12327,249757,2088,32364,68643,1691547,35022,149291,941,854,67118,472630,68492,659621,61892,711925,58829,145217,83832,8453218,50041,69848,14383,12172,20873,28118,9343,4917,84,110,0,0,0,0,3029,6312,83527,1432917,83612,1511587,25055,112208,58700,273104
0,"$200,000 or more",21129,18611,14905,63373,23595,10578288,18865,5558170,18802,764260,14678,417651,13914,319863,5447,564387,168,13687,1995907,3184,224113,4574,213655,707,7429,3130,71325,1762,52004,19878,1576737,13099,183129,262,497,19485,235678,19849,435193,16078,260331,18389,205580,21105,8763760,11332,37711,3143,4860,0,0,1747,885,0,0,0,0,0,0,12769,77477,21087,2182882,21098,2242203,10135,237739,10888,230420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belknap County,32091,13504,14874,58754,15170,1681674,26094,1189420,12994,29131,7559,49174,6713,36314,5659,85195,113,5501,48042,3920,65361,6488,136026,3131,20215,4940,59475,262,3713,10365,226738,2603,11593,223,183,9837,58913,10191,75263,8453,85786,7519,22528,24966,1155486,10753,14021,2398,1843,4758,6070,1242,631,2796,3210,4704,8581,3827,7229,578,3707,22629,191620,24394,206953,5422,20958,25446,73706
