County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEW JERSEY,4285099,1573692,2771998,8414025,2691138,308527527,3525869,229683841,1924312,5004898,1131366,6366268,1026120,4554560,601083,10509501,9348,827885,9375472,390310,6274465,773730,16666914,628282,6784039,528671,7312115,41388,938740,1862238,58084724,1486962,13297430,317668,298430,1661497,14860701,1855860,27852368,1377165,15715552,1568938,5084655,3387615,215204881,1482863,2033641,254012,237027,655120,770931,223264,130247,465811,584892,580826,1216790,499623,1034969,274550,1940110,3032844,43541975,3248563,45550229,729433,3403753,3380124,12794259
0,Under $1,67768,15909,50489,84559,18993,-4974976,18938,683907,30989,154539,28518,99824,25990,63263,14955,-327281,641,36081,122864,4123,75962,5952,70883,2172,24927,131,1176,133,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,398,0,0,79,105,0,0,3807,6114,6211,8242,4598,5855,207,3536,197,3284,8531,23810,3668,6979,27380,216870
0,"$1 under $25,000",1466697,166066,916162,1990893,555496,17813139,1074989,12286244,384208,400967,201057,346189,176792,202902,195790,1433706,1278,134030,-87248,88041,470401,182649,1509916,223421,1851593,60612,111186,866,4609,169244,2739325,43177,51315,103058,56145,135395,873656,165202,996685,79482,603777,105819,133083,687281,4048778,204516,88044,6028,2365,62619,21743,14304,5649,282457,329788,416897,957556,367043,824779,494,683,525856,345603,682567,590987,161733,94897,1177498,2318758
0,"$25,000 under $50,000",946657,214745,591048,1743290,528085,34420940,808304,26797577,321179,407153,151699,392597,133857,247779,95151,1013319,1272,99959,-17058,75719,687970,156838,2429869,157271,2043406,144849,992249,1877,15797,288222,4981280,175372,232952,99487,80016,234770,1455106,286832,1809499,181472,1465186,217960,373221,904232,18498911,377987,380305,33317,22758,193941,180192,52063,34411,147594,206540,157718,250992,127982,204335,331,934,748762,1957271,786125,2161549,120970,175105,818922,2359932
0,"$50,000 under $75,000",575306,231391,375437,1171705,351005,35412918,499864,27183177,297538,429904,154185,479789,138086,318644,71465,863745,1351,104424,11075,66150,832328,132913,2957421,82714,991812,115384,1741925,2753,27631,327859,6493501,260056,582015,60040,65900,284790,1855793,327342,2557971,237466,2119960,271902,541781,570063,22647712,246853,354985,47229,37357,140513,201693,31482,18076,25884,34152,0,0,0,0,1990,2575,540613,2968782,550527,3152836,104010,221744,469580,1559836
0,"$75,000 under $100,000",389351,242311,259752,937651,300414,33767210,345680,25853596,243433,395107,138507,463871,125089,321447,59259,835343,1231,95196,56087,52171,877468,101666,2806160,61342,727446,82307,1609195,3336,37814,292233,6735390,256098,841296,31110,44467,266349,1917767,292032,2854947,230679,2316167,254204,566204,387966,22694943,198281,323237,46494,40766,116701,185249,27895,15850,4901,6678,0,0,0,0,6064,8594,381557,3178567,384002,3360226,77189,217415,311362,1292574
0,"$100,000 under $200,000",613828,502789,410857,1764679,642565,83695301,569554,67368906,447874,824519,291846,1139189,268807,835068,113129,2440105,2275,211874,450398,77864,1935546,151730,5095659,84535,956872,99423,2206318,12788,200570,561313,18750956,533692,3287671,20989,40379,528104,5597265,561153,8064848,467628,5758746,509625,1420536,612884,59886349,339788,472843,91553,91056,141170,181872,71193,41513,1168,1620,0,0,0,0,70381,137901,610696,10334176,611571,10809089,155794,697098,456925,2464675
0,"$200,000 or more",225492,200481,168253,721248,294580,108392995,208540,69510434,199091,2392709,165554,3444809,157499,2565457,51334,4250564,1300,146321,8839354,26242,1394790,41982,1797006,16827,187983,25965,650066,19635,650076,223367,18384272,218567,8302181,2984,11523,212089,3161114,223299,11568418,180438,3451716,209428,2049830,225189,87428188,115180,413829,29391,42725,97,77,26327,14748,0,0,0,0,0,0,195083,1785887,225163,24754292,225240,25451732,106069,1990515,118457,2581614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atlantic County,138274,43995,90651,271695,85711,6650474,115880,4924779,50341,82649,25573,84744,22906,56929,15993,224341,402,18642,69304,11686,165304,25178,528940,26854,247547,17023,208376,686,16056,51257,1156546,39118,169860,10648,10057,47527,278410,51108,465663,40945,376926,42026,95505,105848,4151623,47896,54494,8326,7679,24074,26409,6794,3895,22937,29611,26610,58858,23694,52749,2998,17851,90156,668957,96806,711384,19239,65733,114336,348059
