County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEW MEXICO,912801,327405,465864,1859701,608582,41421348,746049,29591287,297483,617199,137098,744349,119794,530613,132753,1216163,15326,108255,1460496,67938,1014981,179294,4105576,73381,654563,101445,1134936,3695,60684,234833,5088063,188270,795357,36156,52878,208599,466995,233223,1347216,191376,1886648,178691,705475,654961,26965412,291016,318365,35193,35135,161229,187622,28039,13334,164110,207202,223730,491131,199136,443205,11378,56430,559958,4387514,615152,4651964,147953,500966,724068,2132333
0,Under $1,16691,4994,10406,24373,3752,-979118,3586,84929,6659,30233,4011,13724,3457,8320,5869,-96573,1408,5338,61137,984,12980,1548,18872,245,2368,22,125,25,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,17,0,0,0,0,0,0,535,751,1627,1441,1128,951,37,316,34,290,2197,4528,1153,2041,6351,22398
0,"$1 under $25,000",407223,62070,203777,684559,224642,5078513,318022,3840332,73810,74655,28710,54960,24241,28653,52534,303224,4182,21898,-4523,16069,88058,49669,461213,37267,313742,11231,17488,227,1017,25267,371703,8123,7641,13159,16213,18946,33042,24337,59553,16523,133090,14737,24501,175541,1031505,58719,20324,2271,979,23058,8038,3101,981,109101,126552,165783,391429,151010,357787,79,94,134190,89615,176486,145749,34497,18773,342964,784860
0,"$25,000 under $50,000",224235,74760,111259,486443,171073,8017629,194364,6370369,62891,77466,24684,62676,21107,35352,26366,188573,3186,18200,15295,15155,131556,44138,800209,20528,200696,34119,194044,416,3468,50423,747944,35860,46575,11906,14306,42513,69291,50037,135455,40037,311298,33591,68856,215603,4068038,104476,93550,8795,6194,66920,63592,8485,4116,48661,72479,56320,98261,46998,84467,57,137,168633,407073,177688,450797,33662,43757,189465,520445
0,"$50,000 under $75,000",112226,63268,57690,263742,84992,6893073,96458,5216424,50537,75086,22113,68867,19167,41033,17275,141341,2436,16596,30293,12380,147627,31809,814498,8375,75219,23061,304298,424,4140,49581,863469,42219,89908,5741,7817,44122,79939,49420,183310,41592,362714,36908,94318,111681,4461126,52995,80418,8420,7323,35234,57735,5943,2895,5243,6642,0,0,0,0,240,357,105935,551857,107290,586599,26543,54163,85359,247970
0,"$75,000 under $100,000",64918,48267,33342,167111,52928,5604116,56583,4173746,37141,64616,17840,62362,15634,39534,11482,118071,1563,13235,38135,8995,149826,21345,661276,3746,33969,14212,244388,416,5416,38222,763268,34802,104753,2477,4951,35399,72368,38155,187401,33246,322755,30751,97157,64769,3950875,32808,54676,6049,6484,21233,36977,4328,2208,486,663,0,0,0,0,359,745,64069,535628,64280,564448,17528,47387,47243,161327
0,"$100,000 under $200,000",71257,60239,37584,190998,58851,9432165,63186,6742446,51769,125621,29044,144182,26170,98627,14705,270429,1903,23020,145118,11446,296307,25812,1053083,2939,25972,15077,292824,1186,17786,55841,1400140,52525,269730,2273,7153,52989,140933,55785,426545,48426,557596,48628,214499,71149,7170771,34527,48530,7996,10332,14784,21280,5274,2675,84,115,0,0,0,0,1759,4477,70901,1233842,70995,1289661,26734,128704,44347,198861
0,"$200,000 or more",16251,13807,11806,42475,12344,7374970,13850,3163041,14676,169522,10696,337578,10018,279094,4522,291098,648,9968,1175041,2909,188627,4973,296425,281,2597,3723,81769,1001,28449,15499,941539,14741,276750,600,2438,14630,71422,15489,354952,11552,199195,14076,206144,16218,6283097,7442,20850,1662,3823,0,0,908,459,0,0,0,0,0,0,8847,50304,16196,1569209,16216,1610182,7836,206141,8339,196472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bernalillo County,306721,101734,135344,593502,181197,14883430,252612,10849180,112693,217384,55343,229159,48486,153031,41834,413746,1033,41923,271546,25681,368422,61422,1450938,24595,229097,34893,409905,1593,25957,98338,2054597,81014,321313,13141,16305,89482,232673,97781,583574,82979,809122,76812,258754,230730,9790725,100292,107684,11961,12867,50515,58188,11567,5430,46959,59512,62054,126256,54368,113536,4869,23584,201020,1627581,216567,1714303,53012,174381,240617,660214
1,Under $1,4916,1111,2665,6705,1115,-195449,1100,28557,1772,7813,1224,3679,1077,2079,1539,-38912,62,1588,8962,287,4025,340,4165,82,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,219,499,426,362,291,0,0,0,0,605,1108,302,455,1977,7815
1,"$1 under $25,000",127684,15360,53522,199805,59349,1606239,99768,1213438,25785,23534,10643,19509,9027,10005,14944,88887,185,7792,-3185,5854,30182,15553,136162,12080,107599,3674,5778,88,591,9931,135822,3314,2452,5002,4870,7701,15671,9610,24073,7001,54106,5718,8537,59512,363554,20379,7205,556,279,6812,2363,1201,377,30597,36147,45307,98909,40642,90285,58,189,45895,31781,57643,47874,11925,6576,105899,217439
1,"$25,000 under $50,000",77465,20615,32980,153418,49891,2773613,67256,2214750,23632,27378,9624,22633,8224,12788,8346,65933,170,6720,1799,5662,47550,14773,262654,6766,67502,11149,65717,179,1512,21954,311485,16479,20626,4421,5310,19168,35914,21833,63950,18385,140153,14902,26073,74867,1470339,34076,30238,2606,1814,20270,19168,3412,1659,14517,21071,16248,26921,13364,22960,0,0,60738,153179,63416,167503,12030,15665,65081,162031
1,"$50,000 under $75,000",38858,19410,17759,84065,24856,2388974,33217,1793788,19415,27198,9011,26187,7789,15359,5792,50202,166,6519,5942,4701,53399,11261,287721,2877,27091,8012,107359,173,1705,20794,354064,18148,38699,2012,2460,19016,40367,20728,83824,18013,156930,15977,35485,38675,1561504,17281,24977,2758,2407,10729,17013,2318,1103,1500,1814,0,0,0,0,53,113,37018,200065,37435,211690,9300,18399,29456,81907
1,"$75,000 under $100,000",23114,16252,10563,56606,16977,1998049,20093,1476179,14499,26289,7404,24288,6463,15206,3888,42592,128,5264,8832,3456,53374,7717,244923,1446,13785,5101,88987,165,2269,15665,309761,14437,43156,840,1362,14735,36027,15642,82588,13877,134234,13059,38136,23054,1406148,11455,18502,2131,2584,7053,11839,1764,874,161,220,0,0,0,0,99,200,22830,194709,22895,204462,6159,15740,16910,55576
1,"$100,000 under $200,000",27894,23155,13226,74462,23229,3722905,25100,2732124,21425,48891,12805,56560,11565,38161,5604,99007,211,9837,43448,4542,109887,9757,398355,1218,10924,5617,111605,526,7678,23412,588427,22294,114618,698,1704,22506,70501,23390,190962,20546,235371,21049,87564,27846,2815915,13901,18839,3190,4188,5651,7805,2398,1190,29,41,0,0,0,0,677,1746,27764,487784,27791,507067,10076,44162,17756,76388
1,"$200,000 or more",6790,5831,4629,18441,5780,2589099,6078,1390344,6165,56281,4632,76303,4341,59433,1721,106037,111,4203,205748,1179,70005,2021,116958,126,1208,1340,30459,462,12202,6582,355038,6342,101762,168,599,6356,34193,6578,138177,5157,88328,6107,62959,6776,2173265,3200,7923,720,1595,0,0,474,227,0,0,0,0,0,0,3982,21336,6775,560063,6782,574599,3220,73384,3538,59058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Catron County,1501,750,880,2793,573,47185,806,23257,674,2031,293,992,254,576,408,2093,178,299,5609,166,2138,507,11509,129,1220,279,2454,0,0,250,4656,152,569,83,105,206,243,246,958,163,1273,193,900,886,31020,307,282,78,75,125,142,0,0,139,167,293,511,222,411,0,0,775,4508,937,5022,302,660,989,3148
3,Under $1,118,51,94,176,0,-4567,22,441,48,231,21,87,0,0,50,-379,38,37,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,99
3,"$1 under $25,000",753,269,400,1234,253,8788,359,3815,278,365,107,275,110,175,186,877,54,112,179,69,575,243,2925,72,696,47,70,0,0,59,755,0,0,54,40,44,38,57,92,33,225,38,63,270,1410,54,16,0,0,0,0,0,0,88,98,239,400,177,317,0,0,218,127,357,315,115,62,504,885
3,"$25,000 under $50,000",321,188,182,675,163,11533,218,6152,147,361,63,147,53,63,90,598,59,54,166,32,359,123,2967,34,327,102,522,0,0,56,834,49,70,0,0,47,39,55,115,34,229,46,198,308,5733,112,80,36,24,69,50,0,0,51,69,54,111,45,94,0,0,255,597,277,730,83,100,234,630
3,"$50,000 under $75,000",164,122,107,360,74,9972,106,4863,99,167,53,170,47,117,39,415,0,43,80,32,418,74,2592,23,197,71,845,0,0,51,1007,35,83,29,65,42,46,50,148,36,259,41,128,163,6446,74,76,22,15,29,44,0,0,0,0,0,0,0,0,0,0,157,781,158,872,53,114,109,304
3,"$75,000 under $100,000",81,67,51,193,45,6976,57,3960,57,194,26,62,24,44,43,582,27,23,283,33,786,38,1493,0,0,33,568,0,0,40,823,35,153,0,0,33,40,40,219,31,244,33,203,81,4979,40,63,20,36,27,48,0,0,0,0,0,0,0,0,0,0,81,637,81,663,26,52,54,548
3,"$100,000 under $200,000",64,53,46,155,38,14483,44,4026,45,713,23,251,20,177,0,0,0,30,4569,0,0,29,1532,0,0,26,449,0,0,44,1237,33,263,0,0,40,80,44,384,29,316,35,308,64,12452,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2366,64,2442,25,332,39,682
3,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chaves County,25621,10089,14287,56432,20212,962243,21278,726154,7172,14835,3025,17766,2662,13646,3250,25669,558,2462,28885,1742,20159,4640,88092,1899,16103,2758,28375,104,1852,4320,99593,3383,15547,684,1054,3671,5830,4287,23028,3083,26128,3240,21773,17395,611407,8141,8967,1077,857,5146,5928,750,345,5945,7702,7655,18118,7009,16798,250,1140,14255,95740,15725,103221,3487,13038,21012,68312
5,Under $1,463,209,325,794,138,-69876,112,2722,227,1058,129,472,102,252,147,-1719,76,156,7880,25,297,58,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,21,18,24,71,0,0,63,161,30,49,191,758
5,"$1 under $25,000",12501,2396,6663,22701,8091,157827,10109,124528,2018,2223,782,1324,685,721,1227,6412,127,577,142,498,2615,1444,12465,1088,8830,346,557,0,0,529,9649,171,209,251,493,377,472,510,1234,267,2689,336,820,5130,28951,1651,566,103,44,808,289,117,36,3882,4456,5566,14276,5205,13403,0,0,3896,2547,4944,3893,858,417,10806,27660
5,"$25,000 under $50,000",6550,2782,3604,16280,6339,231588,5789,188385,1625,1944,573,1219,493,732,707,4268,98,437,532,440,3205,1245,21254,508,4795,1041,5769,0,0,898,13681,608,799,219,199,684,790,887,1890,566,3667,600,2028,6193,109078,3335,3012,378,236,2360,2196,244,111,1856,2971,2059,3815,1783,3377,0,0,4501,10153,4802,11318,838,1044,5682,17491
5,"$50,000 under $75,000",2952,2028,1666,7971,2834,180764,2576,140186,1244,2228,475,1534,415,1077,422,2435,90,346,693,315,3010,827,19045,194,1586,627,8347,31,353,915,16388,768,1616,106,130,799,1030,912,2891,687,4844,664,3031,2926,114239,1498,2535,265,209,1113,1946,174,89,207,275,0,0,0,0,0,0,2736,13139,2784,13927,676,1202,2270,6703
5,"$75,000 under $100,000",1496,1244,866,4200,1432,128835,1298,97057,804,1684,336,1156,296,724,303,2725,55,280,1194,205,3299,476,13107,62,493,324,5642,0,0,694,13427,631,1986,46,97,620,883,694,3058,573,4411,529,2412,1493,91205,828,1432,149,140,576,1046,122,60,0,0,0,0,0,0,0,0,1475,11782,1482,12615,389,1113,1104,3988
5,"$100,000 under $200,000",1293,1138,844,3540,1090,169182,1117,109639,919,2232,492,2484,444,1881,285,6075,74,433,4166,204,4995,504,17875,47,399,321,6085,35,576,938,24026,880,4435,62,135,876,1629,938,6286,767,7206,800,5355,1289,129251,655,938,155,190,289,451,93,49,0,0,0,0,0,0,41,115,1284,21873,1287,23465,513,3048,777,4332
5,"$200,000 or more",366,292,319,946,288,163923,277,63637,335,3466,238,9577,227,8259,159,5473,38,233,14278,55,2738,86,3770,0,0,99,1975,38,923,346,22422,325,6502,0,0,315,1026,346,7669,223,3311,311,8127,364,138683,174,484,27,38,0,0,0,0,0,0,0,0,0,0,185,954,363,36246,363,37842,183,6165,182,7380
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cibola County,9461,3067,5545,20096,7310,325499,8039,257857,1981,2730,698,1634,566,1048,1200,8606,275,500,4653,408,4449,1737,29953,751,6824,899,8073,0,0,1038,18588,783,2555,198,246,839,1137,1022,4103,738,5507,761,2750,6433,188277,2942,3086,341,280,1866,2051,172,75,2117,2539,3208,7214,2891,6664,34,102,5320,25537,5934,27374,1342,3642,7731,21549
6,Under $1,125,43,69,187,25,-2618,22,423,41,110,23,85,20,79,37,-92,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,111
6,"$1 under $25,000",4720,715,2816,8647,3222,58519,3784,45891,634,704,179,185,134,79,513,2856,87,121,31,132,686,618,5248,397,3452,140,218,0,0,130,1738,45,48,67,59,87,81,124,203,62,384,70,175,1883,10536,719,232,24,12,350,121,0,0,1494,1668,2390,5824,2212,5460,0,0,1375,903,1867,1476,316,165,4113,10752
6,"$25,000 under $50,000",2539,809,1450,5855,2293,89601,2302,74589,481,549,145,201,109,123,280,1809,67,93,57,107,876,500,8009,220,2096,379,1925,0,0,224,3108,152,221,57,59,161,167,221,474,145,853,157,430,2475,45564,1254,1149,94,61,888,869,88,39,577,817,818,1390,679,1204,0,0,1918,4440,2030,4886,382,527,2150,6184
6,"$50,000 under $75,000",1131,692,662,2828,963,69130,1044,56808,358,423,126,293,110,157,166,741,61,86,77,73,594,318,7025,89,896,197,2654,0,0,243,3992,186,395,44,69,199,242,236,732,180,1136,180,457,1130,45926,530,823,94,77,377,631,58,25,46,54,0,0,0,0,0,0,1084,5676,1094,5940,292,574,838,2264
6,"$75,000 under $100,000",522,424,284,1421,462,44738,492,37036,216,198,85,160,74,88,109,856,32,64,193,45,862,155,3477,45,380,94,1668,0,0,199,3697,176,510,30,59,174,234,199,813,162,1263,158,636,522,32292,251,434,74,62,166,305,0,0,0,0,0,0,0,0,0,0,520,4311,520,4521,158,442,364,1180
6,"$100,000 under $200,000",376,340,225,1031,312,48033,352,35676,211,497,113,391,94,247,95,2436,28,78,775,51,1431,146,6194,0,0,89,1608,0,0,203,4751,189,897,0,0,185,335,203,1294,168,1660,162,693,375,37737,188,448,55,68,85,125,26,11,0,0,0,0,0,0,0,0,375,6391,375,6662,164,724,230,1058
6,"$200,000 or more",48,44,39,127,33,18096,43,7434,40,249,27,319,25,275,0,0,0,24,3504,0,0,0,0,0,0,0,0,0,0,39,1302,35,484,0,0,33,78,39,587,21,211,34,359,48,16222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,102,48,3816,48,3889,30,1210,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Colfax County,6025,2373,3156,11426,3209,218021,4741,150240,1938,4746,1040,4371,942,3365,934,4801,204,822,6964,534,6482,1459,30006,557,4599,865,8908,21,254,1059,22832,756,2899,265,396,926,1697,1053,5120,787,7663,758,3029,4205,136962,1571,1541,211,148,886,1014,75,32,876,1011,1430,2937,1252,2713,51,240,3672,19805,4035,21394,1023,2788,4683,11782
7,Under $1,173,68,121,256,20,-11189,36,763,80,246,44,111,37,67,76,-2788,24,57,433,0,0,21,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,20,25,63,183
