County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEVADA,1263489,427660,699770,2599633,799879,66673773,1043556,46031867,376903,1533254,172615,1850972,149245,1451839,173982,1686671,3743,157837,5364682,91338,1789506,226806,5303069,169286,1531995,139417,1562242,4553,81081,382239,10050551,24558,279436,314282,449327,329499,931109,376803,1834321,310986,3791080,303539,1208056,962032,46781519,408182,540854,37423,33461,226323,263115,49324,28367,219029,316295,237983,519739,210214,457193,15646,106701,822521,8401580,892740,8515777,205979,938954,1013044,3482123
0,Under $1,26152,7980,17682,39950,7073,-4262366,6745,261018,10513,205907,6547,96487,5586,57204,8354,-344761,545,9703,431007,1782,46041,2936,53137,1128,11998,62,542,53,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,139,0,0,29,41,0,0,1526,2393,2678,3065,1850,2104,104,4159,97,4022,3929,11377,1789,6291,12222,86956
0,"$1 under $25,000",490776,62792,257791,839962,240197,6637978,380423,4920361,81358,106378,32638,64828,27184,33446,69272,466815,584,28978,-18812,19800,127596,53776,481708,72186,621751,15916,28608,316,1180,41957,651050,1459,3152,32798,27940,30822,65940,40124,108327,27975,257089,26265,36617,232862,1454115,78914,31251,1636,713,28906,9549,4524,1721,132596,174227,164226,396818,148020,350654,116,150,175681,125480,226985,203486,43010,28206,418829,947605
0,"$25,000 under $50,000",346109,94710,188293,731618,240184,12352566,306601,10100083,82632,154867,30543,76649,25831,42460,33695,247056,582,27469,9262,19947,197398,55624,909428,48678,462291,44255,265122,638,3583,89728,1429569,3518,6849,73429,78189,70564,131048,87708,244998,67880,608197,66229,117373,330636,6313202,150181,143076,8364,6031,92154,84567,16916,10578,74788,125453,71079,119856,60344,104435,86,258,259558,645471,271778,702599,47237,66956,296878,860849
0,"$50,000 under $75,000",171910,87947,96232,395149,126243,10553228,150242,8201289,66547,96913,27994,84737,24043,50145,21733,183688,542,24347,24145,16750,231831,42852,1063693,24700,232736,31945,420007,507,4463,84039,1584085,4263,11557,69737,89055,72900,150476,83124,283900,69934,728450,66647,147729,170820,6731927,75167,118489,8939,7144,51745,83358,9940,5607,9072,12798,0,0,0,0,461,516,161074,851433,163382,897982,38574,83942,132751,411003
0,"$75,000 under $100,000",96620,67808,54787,242701,75685,8336014,84652,6301655,47462,80391,22515,79826,19538,49694,14592,148788,459,19161,36138,12723,237101,29819,926005,12441,113051,20660,343202,441,4234,60674,1347715,3788,14167,50756,72737,55430,133240,60332,248633,53014,639570,50584,135761,96282,5751798,45161,77581,6878,6093,30626,53216,7076,4092,894,1219,0,0,0,0,675,1202,95099,795540,95437,833136,25298,73331,71082,264612
0,"$100,000 under $200,000",104660,85171,63336,279408,88298,13812662,92641,10156303,65179,171544,35552,181477,31584,121201,19378,347081,674,30979,162007,15744,480660,34444,1415258,9278,81374,20620,377482,1261,20380,81182,2303510,6970,41275,68388,125833,76420,241112,80929,457597,72501,1082971,71632,261766,104357,10253008,47389,68972,9515,9542,22863,32384,9484,5521,153,205,0,0,0,0,3033,7518,104000,1772184,104163,1847184,37364,191121,66963,330112
0,"$200,000 or more",27262,21252,21649,70845,22199,19243691,22252,6091158,23212,717254,16826,1266968,15479,1097689,6958,638004,357,17200,4720935,4592,468879,7355,453840,875,8794,5959,127279,1337,46404,24659,2734622,4560,202436,19174,55573,23363,209293,24586,490866,19682,474803,22182,508810,27075,16277469,11277,101346,2091,3938,0,0,1384,848,0,0,0,0,0,0,11171,92898,27012,4207450,27066,4020013,12707,489107,14319,580986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Churchill County,10988,4887,5980,22755,6938,475675,8762,352456,3659,8416,1592,4540,1401,3078,1359,10355,448,1279,12871,826,10837,2962,74331,1402,11363,1565,15221,0,0,2695,52351,174,746,2181,2777,2434,4780,2660,9431,2229,22272,1969,6682,8378,317700,3468,3888,387,264,2058,2604,372,195,1490,2056,1905,3846,1690,3516,58,191,7406,46311,7862,49363,1846,5027,8713,24710
1,Under $1,281,110,196,426,54,-28013,61,1066,136,480,78,261,66,121,94,-1419,72,98,4858,0,0,55,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0,0,0,0,27,37,0,0,131,447
1,"$1 under $25,000",4079,741,2121,6408,1807,52027,3067,36768,821,1177,342,515,295,267,400,2129,84,255,47,207,1369,684,7785,562,4281,168,237,0,0,283,4325,0,0,227,209,226,421,272,695,182,1438,171,306,1868,11284,534,174,23,9,176,63,30,10,835,995,1270,2738,1161,2557,0,0,1529,1035,1840,1474,374,235,3447,6780
1,"$25,000 under $50,000",2821,1161,1523,6157,2044,102290,2329,75449,782,1578,281,667,247,384,295,2073,89,261,344,184,1582,699,14804,394,3497,545,2998,0,0,533,8807,38,56,418,385,453,755,522,1341,401,3423,356,703,2714,51925,1234,1095,74,41,793,739,113,58,570,923,613,1091,529,959,0,0,2177,5284,2276,5977,399,650,2406,7214
1,"$50,000 under $75,000",1772,1095,986,4211,1313,109188,1491,78084,722,1431,308,787,274,507,218,1272,81,238,551,172,2123,621,18225,245,1990,421,5118,0,0,686,12045,31,60,561,607,626,1086,676,1970,586,5588,477,1230,1762,71202,752,1171,103,74,526,893,80,43,85,138,0,0,0,0,0,0,1677,8863,1693,9291,391,789,1377,4209
1,"$75,000 under $100,000",1055,884,563,2821,873,91088,939,66982,548,853,236,494,204,359,172,1538,52,173,439,121,1660,472,14495,120,989,230,3434,0,0,539,10516,47,178,424,565,502,943,536,1971,476,4812,414,1443,1054,64528,495,842,83,58,340,596,87,48,0,0,0,0,0,0,28,53,1044,8566,1046,9033,278,628,776,2720
1,"$100,000 under $200,000",881,815,505,2486,781,112040,799,80837,562,1353,288,672,261,527,150,2100,70,194,2745,119,2881,394,15707,81,606,173,2918,0,0,577,13293,58,452,485,872,552,1235,577,2712,522,6216,488,2068,881,86207,416,553,104,82,223,313,62,36,0,0,0,0,0,0,0,0,880,14315,881,14942,351,1596,530,2290
1,"$200,000 or more",99,81,86,246,66,37055,76,13270,88,1544,59,1144,54,913,30,2662,0,60,3887,23,1222,37,2483,0,0,28,516,0,0,77,3365,0,0,66,139,75,340,77,742,62,795,63,932,99,32554,37,53,0,0,0,0,0,0,0,0,0,0,0,0,30,138,99,8248,99,8609,53,1129,46,1050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Clark County,914853,290131,516601,1908755,593318,47206415,762822,33085615,255061,1023793,109268,1244395,93684,1010758,127235,1127342,889,103210,3998661,58930,1110225,153590,3460193,121670,1124238,92081,1039055,2814,46591,276761,7280916,15620,163077,229649,335165,233799,637296,272558,1264996,223209,2703315,223237,875845,691589,32785620,297506,391836,25274,21911,167116,188798,37037,21836,176264,260834,183035,410796,162358,358717,10614,64615,582348,5915807,637686,5909041,145321,641301,739538,2565240
3,Under $1,17955,5340,12356,27750,5176,-3104423,4801,197437,6941,157591,4167,62508,3519,44453,5682,-276671,116,6427,365616,1133,29129,1904,37142,806,8574,37,300,40,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,129,0,0,25,34,0,0,1162,1820,1942,2337,1358,1613,87,3842,79,3717,2778,8555,1264,5132,8404,64916
3,"$1 under $25,000",360257,43763,194655,643561,186009,4943475,280091,3696205,55149,69194,20292,39676,16719,20225,55922,391929,119,18736,-13073,12898,82914,36441,319625,51960,459459,10688,19320,249,821,30622,468273,1063,1987,23959,21076,21859,45696,29230,77341,20375,188194,19513,27709,168371,1051148,59882,24247,1142,506,22841,7400,3671,1420,107533,144724,125998,315438,113860,275733,80,112,123988,89213,165524,152603,31108,20986,309753,734754
3,"$25,000 under $50,000",260882,66571,144872,558691,184715,9266160,234619,7744414,58237,102788,19761,45125,16583,24897,24554,173186,91,18605,1913,13053,128881,38523,595261,35362,341282,29614,178522,502,2628,69223,1095165,2440,4346,57067,62615,52998,95510,67621,185417,51631,457438,52388,95023,248807,4695415,115928,112242,6057,4499,71325,64415,13960,9010,59922,103374,55095,93021,47140,81371,58,193,192262,475328,201339,515211,34458,49554,225033,668022
3,"$50,000 under $75,000",120903,59612,68776,278944,90586,7410745,106953,5867391,44735,59458,17583,48318,14945,28146,14554,117969,103,15870,12115,10765,149287,28845,688671,17595,168749,20842,278095,341,2676,61108,1155422,2698,7165,51206,67356,52016,104879,60409,204209,50327,521283,49571,112592,120156,4702337,53343,85969,6144,4891,37021,59511,7360,4276,6895,9910,0,0,0,0,377,355,112841,593854,114484,624541,27132,60324,93381,293169
3,"$75,000 under $100,000",65496,44308,37824,163397,51426,5647566,57794,4322134,31366,49570,14186,44876,12221,27542,9419,91890,117,12451,17968,8085,151076,19880,603960,8718,81034,13592,230066,261,2393,42555,959833,2328,8782,35994,53079,38393,91252,42304,173879,36958,444490,36304,100371,65258,3876067,30118,52861,4492,4025,20665,35839,4784,2820,637,855,0,0,0,0,542,954,64472,540903,64699,564352,17384,51280,47954,181788
3,"$100,000 under $200,000",70736,56324,43367,187844,59771,9341232,63121,6987248,43052,99858,22362,104680,19712,69803,12514,205960,192,19876,85773,10117,307539,23116,923347,6605,59132,13594,253071,687,10919,56278,1627621,4224,24975,47997,90117,52548,160672,56075,311015,50191,754364,50223,188311,70517,6884397,30942,45348,6114,5873,15239,21599,6290,3707,115,151,0,0,0,0,2193,5053,70279,1196619,70396,1241848,25281,130858,45235,223143
3,"$200,000 or more",18624,14213,14751,48568,15635,13701660,15443,4270786,15581,485334,10917,899212,9985,795692,4590,423079,151,11245,3528349,2879,261399,4881,292187,624,6008,3714,79681,734,26574,16975,1974602,2867,115822,13426,40922,15985,139287,16919,313135,13727,337546,15238,351839,18480,11576256,7222,71040,1325,2117,0,0,972,603,0,0,0,0,0,0,7277,54106,18427,3016173,18466,2801931,8694,323167,9778,399448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Douglas County,24541,11043,13429,46442,11635,1771289,17757,883178,11177,75133,6641,82418,5870,60275,4449,73733,177,5787,230978,3516,131677,6425,189843,3489,30279,4930,60658,214,4985,9587,336425,1586,28340,7141,9177,8786,31000,9518,73352,7824,108058,7729,55450,19066,1330907,7474,10591,1106,1076,3283,4151,844,413,2088,2565,3107,5410,2556,4651,544,5691,17304,262020,18586,274413,5227,29779,17834,77897
5,Under $1,838,320,609,1295,190,-134724,218,7656,465,7220,315,3786,281,2124,335,-5800,45,407,2734,79,1935,139,3406,38,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,61,95,86,58,65,0,0,0,0,140,337,69,114,365,3975
5,"$1 under $25,000",8257,1382,3978,11250,2461,104434,5649,66649,2363,3783,1352,3224,1167,1717,1182,6772,0,1114,-527,690,4716,1365,13295,1352,10682,484,989,0,0,1177,21110,60,304,916,676,977,2664,1149,3964,790,8186,756,983,4016,25302,997,341,34,22,261,97,46,16,1054,1141,2055,3752,1716,3274,23,43,3361,2355,4137,3629,980,616,6349,10971
5,"$25,000 under $50,000",5824,2203,3031,11204,3110,212084,4507,143079,2200,4935,1197,4337,1040,2498,907,7484,36,968,708,759,8823,1425,26703,1030,9635,1400,8701,30,202,1876,33519,182,350,1492,1293,1631,3643,1852,5871,1462,14989,1376,2094,5508,107565,2152,1777,212,144,1116,1078,206,93,844,1180,957,1572,782,1312,0,0,4642,11367,4914,13102,1067,1458,4683,12090
5,"$50,000 under $75,000",3631,2221,2031,7933,2041,224243,2778,140792,1931,4368,1056,5389,925,3188,629,7309,0,880,914,651,9913,1255,36638,533,4628,1139,15432,23,287,1918,40600,247,861,1485,1656,1779,4317,1912,7842,1616,18789,1532,3171,3586,139441,1519,1994,265,218,851,1296,198,100,151,183,0,0,0,0,0,0,3410,17327,3483,18858,992,2149,2614,7543
5,"$75,000 under $100,000",2348,1850,1310,5741,1534,202752,1824,127044,1403,3344,820,5261,732,3525,493,6660,28,672,2382,500,9983,858,31895,295,2652,769,13336,25,336,1592,37620,266,932,1202,1608,1512,4155,1585,7446,1399,19033,1333,3308,2331,136308,1088,1694,219,186,607,1047,171,92,0,0,0,0,0,0,0,0,2281,17959,2296,19288,650,1821,1678,5927
5,"$100,000 under $200,000",2730,2341,1710,6886,1807,361480,2151,214676,1980,9688,1257,9708,1121,6398,613,13730,36,1095,9091,600,19840,1068,54977,241,2275,805,14995,61,1255,2180,66814,494,3029,1568,2723,2088,7595,2177,14657,1925,31633,1958,6513,2721,264844,1276,1643,297,390,448,633,197,99,0,0,0,0,0,0,67,203,2705,44726,2710,47282,1032,5211,1685,9505
5,"$200,000 or more",913,726,760,2133,492,801020,630,183282,835,41795,644,50713,604,40825,290,37578,32,651,215676,237,76467,315,22929,0,0,333,7205,75,2905,844,136762,337,22864,478,1221,799,8626,843,33572,632,15428,774,39381,904,657447,442,3142,79,116,0,0,26,13,0,0,0,0,0,0,454,5445,905,168286,906,171917,437,18410,460,27886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Elko County,22014,9665,12486,48079,17000,1309530,19802,1063615,6456,11594,2659,11163,2385,8787,2498,24258,456,2437,66039,1353,20213,3459,75320,1965,14086,1889,19049,72,957,5469,108517,312,1108,4406,6593,4875,8055,5390,18464,4577,45533,3626,13885,18099,935414,8152,12797,1286,1184,5243,7642,647,323,2655,3575,3139,6691,2794,6230,234,875,16280,146917,16955,152830,3258,14462,18262,58282
7,Under $1,266,119,195,446,87,-21478,77,1738,121,521,73,376,64,292,94,-289,64,108,3134,0,0,33,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,40,0,0,21,28,0,0,42,120,0,0,132,454
7,"$1 under $25,000",7089,815,3693,10042,3131,89611,6107,74504,1058,1473,418,598,361,340,523,2231,71,358,45,268,1651,646,5771,663,4567,208,359,0,0,320,4896,0,0,227,220,215,302,290,612,174,1272,175,299,3600,22093,952,367,31,16,389,146,45,16,1545,1816,2168,5074,2003,4844,0,0,2913,2004,3331,2546,537,316,6235,12624
7,"$25,000 under $50,000",4517,1544,2530,9677,3424,166437,4010,137711,1057,2391,405,944,362,629,421,1950,76,356,1472,262,2763,710,12145,603,4624,576,3363,0,0,663,10317,71,133,502,406,508,718,643,1434,456,3931,400,906,4379,89870,2001,1899,170,116,1318,1313,138,72,872,1379,942,1577,791,1386,0,0,3501,9271,3657,9946,515,672,3976,11719
7,"$50,000 under $75,000",3808,2000,2229,9259,3348,238562,3558,208019,1244,958,420,721,365,485,456,2208,77,357,1057,254,2833,703,15539,330,2303,459,5659,25,228,1138,18894,68,137,895,1008,987,1328,1125,2894,944,7904,688,1924,3791,161212,1765,2958,272,234,1360,2352,121,60,203,319,0,0,0,0,0,0,3584,20772,3632,21632,580,1233,3220,10430
7,"$75,000 under $100,000",2857,2118,1642,8056,3018,246900,2721,217937,1094,1482,386,744,353,472,384,2582,62,328,1544,223,3414,573,13643,179,1328,326,4563,0,0,1229,21876,61,168,971,1333,1140,1641,1223,3745,1085,10642,772,2379,2856,178709,1592,2900,284,237,1203,2283,123,60,35,61,0,0,0,0,0,0,2815,24175,2825,25123,485,1255,2371,9710
7,"$100,000 under $200,000",3036,2670,1858,9299,3534,392937,2929,337464,1521,2194,715,1893,652,1190,518,6964,76,651,4149,295,6993,713,22113,190,1264,267,4133,47,729,1790,37313,79,360,1527,2938,1716,3040,1780,7539,1655,18161,1326,5471,3032,308136,1652,2891,458,452,973,1548,220,115,0,0,0,0,0,0,58,155,3028,52340,3028,54319,894,3712,2136,9806
7,"$200,000 or more",441,399,339,1300,458,196561,400,86242,361,2575,242,5887,228,5379,102,8612,30,279,54638,51,2559,81,5630,0,0,53,972,0,0,329,15221,33,310,284,688,309,1026,329,2240,263,3623,265,2906,441,175394,190,1782,71,129,0,0,0,0,0,0,0,0,0,0,155,692,439,38355,440,39144,247,7274,192,3539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Esmeralda County,381,154,236,715,188,15142,281,9670,123,414,55,276,45,142,80,421,0,64,743,36,489,106,2180,45,424,65,669,0,0,51,963,0,0,34,48,39,76,50,188,22,133,37,147,275,9978,86,94,0,0,52,68,0,0,39,54,57,95,43,83,0,0,242,1394,268,1531,79,172,281,641
9,Under $1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"$1 under $25,000",166,39,103,253,60,1348,109,1069,35,81,32,61,0,0,50,102,0,32,128,0,0,55,674,24,248,22,109,0,0,0,0,0,0,0,0,0,0,0,0,22,133,0,0,64,355,0,0,0,0,27,22,0,0,39,54,57,95,43,83,0,0,50,30,69,46,20,5,126,208
9,"$25,000 under $50,000",89,33,54,179,56,3234,72,2397,26,109,0,0,45,142,0,0,0,0,0,36,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1741,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,175,77,186,38,63,67,195
9,"$50,000 under $75,000",74,41,46,171,72,4555,59,2930,32,118,23,215,0,0,30,319,0,32,615,0,0,24,713,21,176,23,244,0,0,51,963,0,0,34,48,39,76,50,188,0,0,37,147,73,3059,41,62,0,0,25,46,0,0,0,0,0,0,0,0,0,0,68,407,70,443,0,0,57,162
9,"$75,000 under $100,000",52,41,33,112,0,6005,41,3274,30,106,0,0,0,0,0,0,0,0,0,0,0,27,793,0,0,20,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,782,52,856,21,104,31,76
9,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Eureka County,813,379,448,1700,548,38557,685,32779,286,470,110,153,99,85,131,60,84,96,577,46,959,146,3311,83,699,89,784,0,0,117,2080,0,0,99,129,85,108,117,311,75,570,74,273,618,27535,247,340,30,29,164,256,0,0,75,114,92,180,79,157,0,0,573,4038,606,4373,155,498,619,1763
11,Under $1,36,0,30,57,0,-1858,0,0,0,0,0,0,28,11,0,0,0,0,0,21,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"$1 under $25,000",269,68,132,387,118,3190,221,2620,89,97,32,29,0,0,48,-217,39,49,112,0,0,48,613,24,169,0,0,0,0,24,394,0,0,21,15,0,0,24,40,0,0,0,0,117,646,21,8,0,0,0,0,0,0,44,57,64,134,58,116,0,0,99,60,125,109,27,19,242,447
11,"$25,000 under $50,000",146,61,76,303,95,5507,123,4326,45,132,24,24,22,14,26,94,25,0,0,0,0,25,493,27,210,41,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3046,53,45,0,0,41,36,0,0,31,57,28,46,21,41,0,0,122,335,127,392,32,62,113,406
11,"$50,000 under $75,000",169,89,89,400,137,10663,154,9008,58,96,28,49,25,34,20,-36,0,22,81,25,786,31,842,32,320,23,265,0,0,35,610,0,0,29,35,55,61,35,81,46,345,48,191,168,7319,72,119,30,29,58,102,0,0,0,0,0,0,0,0,0,0,159,967,161,1007,28,55,139,434
11,"$75,000 under $100,000",108,82,63,286,95,9282,104,7974,41,18,0,0,0,0,37,219,20,0,0,0,0,42,1363,0,0,25,338,0,0,23,419,0,0,22,28,0,0,23,49,0,0,0,0,108,6918,55,90,0,0,41,72,0,0,0,0,0,0,0,0,0,0,108,956,108,1026,26,86,82,292
11,"$100,000 under $200,000",85,79,58,267,103,11773,83,8851,53,127,26,51,24,26,0,0,0,25,384,0,0,0,0,0,0,0,0,0,0,35,657,0,0,27,51,30,47,35,141,29,225,26,82,85,9606,46,78,0,0,24,46,0,0,0,0,0,0,0,0,0,0,85,1720,85,1839,42,276,43,184
11,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
