County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,NEW YORK,9269139,2947321,6082232,17395617,5384764,628186383,7499430,436675561,4036478,13928120,2060053,16776658,1847564,12239367,1546945,23187433,29365,1531504,42858007,741451,11330362,1614030,36059018,930822,7736684,1024156,13687283,84812,2134037,3337687,112016524,2829755,37708884,411957,613365,2505958,18409669,3323965,57408175,2135374,22717574,2818464,14833290,6987160,440309081,2915956,4570560,440503,360497,1277484,1489973,453994,271949,1174872,1426120,1753574,3737751,1477439,3105310,493347,4432406,6223798,91143946,6931073,95149631,1535324,6717542,7358986,29546823
0,Under $1,151114,32195,108479,193151,38688,-15621044,38829,1139568,67614,962848,55929,405533,50507,231735,34001,-501752,3181,70669,1341038,8137,187666,12996,168556,3123,30730,308,3256,306,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,1197,33,30,157,215,0,0,7619,12272,16092,18819,11806,13338,491,41241,500,40435,19558,68737,8975,38970,61605,477519
0,"$1 under $25,000",3636081,488359,2287777,5398994,1592665,43907134,2571841,29960670,875453,744186,412119,691436,356852,399117,720457,5567834,7517,283507,-130387,191624,985846,441943,3870426,402777,3237916,126647,232850,2666,14971,270890,4097373,103406,165856,131803,114324,181233,951335,262062,1265946,129536,1025611,169526,255207,1593811,9553915,481896,197078,17304,6609,130117,46044,50013,18902,782418,894714,1350537,3090287,1151601,2579233,1003,1705,1235650,826184,1824200,1690279,452998,266245,2908623,6256909
0,"$25,000 under $50,000",2173960,495142,1364335,3957577,1197205,78885007,1920370,64760299,766483,745798,322154,744518,281921,462762,239122,2313605,6254,218235,20578,153889,1319425,349409,5708478,235645,2055545,300405,1998797,5295,44144,577476,9171053,445295,1056187,110233,126302,371734,1843293,574798,3101417,308505,2355725,447943,908960,2100436,43545255,872099,877753,76953,51441,443281,414637,150163,104100,327810,442889,386945,628645,314032,512739,756,2301,1760867,4624117,1839108,5066269,270085,390604,1892265,5413222
0,"$50,000 under $75,000",1208597,475793,806108,2436207,723147,74254798,1070946,58979571,679611,756041,305905,838457,271359,549887,159512,1652566,4690,209265,116300,124672,1495380,275987,6364836,118358,966149,222973,3335482,6323,68064,664184,12373599,576410,2313144,72918,103988,461624,2419030,663066,4929425,396649,3201042,554493,1229657,1199576,48639247,505771,731163,94353,69566,291996,427499,71882,43345,47103,61988,0,0,0,0,5726,7385,1146824,6442795,1162780,6790932,223914,475500,981497,3147902
0,"$75,000 under $100,000",753317,435692,519500,1743556,543009,65175914,674221,50940660,519112,664505,253237,785797,227268,539997,116684,1439648,3064,175883,195836,91829,1480076,198896,5885052,72675,599754,149281,2890465,6901,81432,564322,12128034,510226,2861138,44774,77142,429552,2546491,563852,5550851,376867,3381308,489023,1190380,750599,44796758,361233,577973,83769,66143,209360,331505,53013,30535,8008,11340,0,0,0,0,18102,24863,740423,6458634,744006,6766454,152499,429719,599417,2425468
0,"$100,000 under $200,000",983002,733057,702353,2630495,905543,132410920,900112,103755812,792839,1433189,447334,1923734,410197,1396488,187581,3924436,3353,333531,1060355,125135,3021347,264181,10270863,82251,696744,172353,3807885,23352,387498,901471,27108643,846887,7741340,43661,104500,757308,5765440,901050,13731798,666547,7515926,821649,2537438,980687,95211591,508774,708670,134082,118949,202408,269930,96033,55250,1914,2917,0,0,0,0,151154,329288,977373,16835542,978996,17582884,259243,1230073,721823,3888163
0,"$200,000 or more",363068,287083,293680,1035637,384507,249173654,323111,127138981,335366,8621553,263375,11387183,249460,8659381,89588,8791096,1306,240414,40254287,46165,2840622,70618,3790807,15993,149846,52189,1418548,39969,1532104,359344,47137822,347531,23571219,8568,87109,304507,4884080,359137,28828738,257270,5237962,335830,8711648,362051,198562315,185571,1476726,34009,47759,165,143,32890,19817,0,0,0,0,0,0,316115,4025623,362161,55916239,362425,57184076,167610,3886431,193756,7937640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Albany County,147777,48970,74819,263034,73311,8826905,122245,6298938,74352,106482,38719,263032,34756,221417,17816,317889,340,25779,201000,14143,173500,33967,826570,11655,87303,20901,269578,1637,35515,52843,1252652,43825,330934,7146,10916,48127,283432,52624,631143,41295,323504,43721,133982,119986,6151986,50433,58381,10947,8594,20451,25267,6749,3295,12502,14514,20089,38859,17579,34701,5135,35826,109641,1082829,114715,1136069,23854,91797,119027,350244
