County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,OHIO,5435756,1937786,2796629,10418475,3221600,266967976,4512659,196163066,1952183,3268696,1102046,5133354,990566,3921303,742429,8368345,72354,742930,5912359,530689,7207961,1158905,22791497,508851,4180948,620630,6269233,28667,520793,1704293,35064312,1506969,8900414,145093,183544,1534445,5352060,1697569,14620766,1391555,10507892,1329217,4787507,4151700,176233118,1825691,2208669,342821,264427,886261,1131906,164929,80293,665110,832138,978979,2101798,863634,1855705,126086,750781,3702457,29260111,3988676,30937989,831000,2746701,4412596,12533750
0,Under $1,70738,17048,44311,92812,16061,-3260968,17040,390746,24138,110329,20936,84064,19089,59899,20084,-243496,3647,26232,143653,4314,72521,7622,79295,1342,13081,117,572,104,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,276,20,35,51,65,0,0,2739,4217,6505,6636,4683,4680,137,1633,135,1469,8531,17846,3966,6112,31605,108650
0,"$1 under $25,000",2206725,288881,1023418,3160882,900183,27021724,1701536,19127670,470507,448666,236399,352051,206504,203278,269662,1766777,15284,148503,-70829,150220,797456,352761,3176545,211451,1673212,89105,151282,978,4737,147304,1979153,64199,77677,63510,57632,110333,283124,143029,433149,87078,505983,88464,151738,1031966,6272767,300688,111337,19822,7910,84790,31637,15105,4736,434284,494738,731273,1693260,663433,1515424,367,437,827422,559984,1044082,861726,200686,107470,1860208,3722024
0,"$25,000 under $50,000",1400107,415684,738902,2658205,787954,50842758,1208627,39379073,448252,491463,218899,427117,193831,270959,153906,1204034,18125,133232,28396,135884,1186497,319433,5633162,146907,1255300,232886,1378152,2086,13758,376982,4792021,317759,597488,46910,52935,319581,748345,375454,1424117,295406,1672678,251909,485950,1365517,28194163,580559,533972,88078,57079,309348,309337,39488,19948,195169,290353,241201,401902,195518,335601,292,589,1159326,3000201,1208874,3266915,197587,240895,1195265,2976477
0,"$50,000 under $75,000",775945,422529,432565,1757263,549258,47603197,688146,36753903,363574,444738,196303,485759,175927,325589,112424,1011256,14246,123436,99628,96728,1221800,209193,4978896,80128,667524,140702,1843912,2925,24389,395295,6096362,366999,1129409,19582,30505,358222,980003,394766,2177433,332986,2191707,300982,686771,773276,31347608,380024,564684,86885,64909,228327,360655,32831,15321,29564,38404,0,0,0,0,2539,2579,740040,3918381,749966,4152898,152746,293123,621282,1841977
0,"$75,000 under $100,000",444292,337495,243658,1170158,385373,38322229,403807,29945884,253426,341634,148437,429412,133771,302542,74173,842598,9461,95855,170069,62751,1107905,127065,3566067,40586,334198,77698,1314393,3265,32887,302020,5591236,288717,1278304,7954,15963,285515,918614,301818,2233874,265794,1999754,250242,665750,443568,26914887,249286,430955,63380,51352,148893,260640,31176,15954,2870,3756,0,0,0,0,4672,5368,439471,3566962,440705,3764963,96288,256807,347220,1251653
0,"$100,000 under $200,000",430167,363110,233048,1252370,457017,56220178,396560,43491506,297170,549765,201584,919218,185412,689701,83090,1751843,9060,144117,594620,63954,1755019,119199,4212029,25957,214641,63963,1210725,9211,140700,376899,9221514,365674,2684465,5811,20914,359899,1540510,376741,4285298,328003,2933195,337723,1227757,429717,41853633,256734,389209,69022,63068,114779,169519,39539,20774,484,670,0,0,0,0,32501,64636,428444,7042587,428858,7407052,128544,621605,300836,1414496
0,"$200,000 or more",107782,93039,80727,326785,125754,50218858,96943,27074284,95116,882101,79488,2435733,76032,2069335,29090,2035333,2531,71555,4946822,16838,1066763,23632,1145503,2480,22992,16159,370197,10098,303030,105793,7384026,103621,3133071,1326,5595,100895,881464,105761,4066895,82288,1204575,99897,1569541,107656,41650060,58150,178236,15614,20074,73,53,6790,3560,0,0,0,0,0,0,85578,675539,107619,11170527,107660,11466589,51183,1220689,56180,1218473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,11104,4994,7880,23771,7806,392458,8743,285032,3594,5671,1173,3029,1048,2348,2132,20431,1247,1265,6846,676,6523,2319,43465,1777,15326,1125,8661,0,0,1887,33293,1545,5287,294,355,1581,2634,1880,8385,1428,9007,1138,4384,7717,221574,3208,3654,542,451,1962,2395,213,91,1988,2444,3026,6927,2625,5854,66,255,6677,29048,7782,32687,1402,3373,9352,27397
