County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,OKLAHOMA,1587566,674043,920793,3334388,1067945,79386920,1322626,56129198,554602,1218714,231174,1139409,206569,882107,266542,2747876,79475,184130,3143195,127843,1823411,302910,5599751,114021,806571,189356,2085138,5131,93737,425700,9853052,334415,1721246,78436,121388,367962,779812,423611,2687088,319738,2443903,339354,2030350,1178915,52334851,529359,653323,67861,59338,296802,362074,60314,29817,271594,361632,358982,803459,316977,711729,24986,143743,1018327,8839600,1123457,9389431,278861,1174103,1255875,3979173
0,Under $1,24294,9770,18106,39097,6622,-1654125,6460,200187,10860,47161,5519,28327,4945,19180,9191,-142976,6095,7851,78613,1714,24604,3385,38670,446,3362,39,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,36,0,0,0,0,0,0,1090,1624,2404,2818,1694,1934,76,1103,73,990,3770,8664,1906,3369,10228,55549
0,"$1 under $25,000",662740,119834,360575,1095680,345159,8444564,522376,6402761,126915,129959,46432,67956,40293,40083,95616,617477,17067,34693,10168,31966,180485,83964,757707,53191,371931,23053,37704,198,1052,42214,614389,12880,14251,24745,32468,28710,41368,41045,93476,21287,130583,27393,69268,296137,1760750,92474,31935,3764,1555,32066,10975,5668,1823,170682,204311,257528,625560,233796,562718,121,677,233084,157213,309807,266109,62452,36862,562794,1277065
0,"$25,000 under $50,000",403223,160038,229700,890427,296550,14467824,352103,11678884,120667,132808,42370,80506,37206,51208,55924,417013,17541,31283,40063,30366,266264,77084,1245143,32307,231307,66518,383305,353,2133,86305,1256419,57233,88411,25904,33132,68941,96300,85761,226821,60147,351235,61017,190049,386923,7291108,185924,169253,16375,11726,116617,110986,16491,8241,88363,140633,99050,175081,81487,147077,106,211,302360,723335,323047,815964,61363,85097,339838,950627
0,"$50,000 under $75,000",213138,141434,128992,528606,168688,13096193,187669,10223529,100092,126829,38189,90618,33843,59885,38468,310430,14626,28779,65500,23515,293459,55238,1159527,15380,107720,43259,579919,460,3558,89155,1509901,72902,176874,14255,24406,77435,123523,88968,335563,69498,454404,69113,256791,212229,8391201,106349,168490,17041,13934,73198,119599,14488,7226,10457,13748,0,0,0,0,450,654,200919,994721,204256,1070192,51897,113796,160705,471989
0,"$75,000 under $100,000",124596,102850,75887,335876,106964,10743098,111497,8284284,73894,108947,30222,83099,27109,58537,25870,259796,10008,23283,80346,16501,277709,36638,898615,7135,50030,25412,450372,540,5534,73833,1420973,65942,222462,6565,12820,67620,124117,73738,370060,61547,452125,61635,261493,124339,7539145,66078,116796,12694,11597,44824,77733,11042,5886,831,1105,0,0,0,0,595,1202,123097,977461,123547,1039261,34572,104063,89801,307383
0,"$100,000 under $200,000",125066,110168,79312,347882,111714,16400690,112654,12007367,91212,185407,46304,184492,42300,138249,29666,538465,10430,37084,251168,18509,493122,38668,1173227,5022,37751,24116,477314,1645,24828,100985,2475564,94360,530444,5195,12594,94491,230904,100911,792053,84264,727508,89417,502508,124878,12391460,63165,96691,14433,14354,30072,42754,10933,5744,171,211,0,0,0,0,3621,8992,124432,2091624,124627,2202041,49356,274325,75470,354426
0,"$200,000 or more",34509,29949,28221,96820,32248,17888676,29867,7332186,30962,487603,22138,604411,20873,514965,11807,747671,3708,21157,2617337,5272,287768,7933,326862,540,4470,6959,156222,1935,56632,33208,2575806,31098,688804,1772,5968,30765,163600,33188,869115,22995,328048,30779,750241,34409,14961187,15299,70122,3554,6172,25,27,1692,897,0,0,0,0,0,0,20017,130904,34362,3894256,34403,3987200,17315,556591,17039,562134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adair County,8294,3683,6631,19625,7259,252012,7100,203095,1605,2528,544,1740,478,1534,1486,9973,1087,589,6617,442,5133,1234,18081,961,6070,695,5655,0,0,984,19148,688,2294,272,294,687,616,981,3327,619,3914,680,3524,5194,124608,2621,2694,260,201,1679,1736,127,49,2478,3276,3343,8471,3026,7551,31,92,4064,14881,4980,16987,929,1704,7142,22204
