County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,OREGON,1742844,719016,839869,3475118,1028202,88443944,1391165,62180526,675064,1560495,359674,1981729,317751,1401831,269511,3129268,34125,302441,2956506,181490,2755637,335410,7360149,268243,2171885,224776,2613409,12394,221247,689902,16771910,618899,4152314,5934,9301,621822,2103345,680497,6347559,547830,5770298,550060,1908206,1307956,56298310,550190,663415,66120,60772,267591,329718,64054,29572,218243,294732,286863,549361,245353,481817,43378,328447,1153858,9323258,1252186,9972227,331302,1146829,1321622,3618175
0,Under $1,35721,12160,24885,54745,9875,-2167381,9720,220785,16244,97206,10711,45337,9387,31430,12549,-134199,3442,14900,139266,2943,47740,4204,45485,1319,13262,53,267,77,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,37,0,0,0,0,0,0,1763,2592,4700,4804,3337,3327,52,488,51,439,5604,11534,2763,4700,14590,48693
0,"$1 under $25,000",685808,113297,286164,1042409,284608,8628477,512405,6016214,158909,188329,78848,161753,67183,81321,89431,559863,6406,64452,-16198,48404,286166,95220,830544,111624,769142,26976,45795,591,2777,82445,1274910,48100,55367,1662,1218,64651,171040,76373,233470,48355,390911,54029,89261,311484,1899122,89943,32724,2749,1086,23626,8156,5456,1719,125161,151476,205644,413314,179106,368594,182,280,249872,170285,317043,271579,72370,44380,548001,982511
0,"$25,000 under $50,000",426447,156323,198189,876723,272227,15396535,358520,11594705,140106,191379,63760,171209,55298,95245,57078,527848,6471,51013,48084,41267,396014,80237,1342313,79364,719719,72790,443679,1084,7594,141031,2280641,123800,261706,1436,1825,122752,311629,139017,587742,108416,900018,100619,200662,404158,7723222,169929,144516,13523,9572,92775,85369,16068,7663,76204,120308,76519,131243,62910,109896,125,241,329715,806417,349956,916429,76154,103692,346395,818719
0,"$50,000 under $75,000",246362,149365,128627,571004,170231,15159816,208686,11155427,120801,187935,59003,180107,51916,107535,41446,419961,5945,46806,79025,32989,435964,61779,1527394,40617,352772,52526,722233,1385,13232,155857,2954759,146545,532159,1116,1580,142554,393701,155047,944946,129713,1205057,122640,278872,244583,9278811,112633,162715,16398,13901,69614,109264,13980,6348,13321,17841,0,0,0,0,396,639,229610,1126082,234005,1219743,62975,128622,182327,495887
0,"$75,000 under $100,000",149101,115546,80325,379205,112979,12873062,127845,9383250,88802,155739,47404,160392,42076,102233,26623,330153,4540,37681,110104,23555,425480,41965,1337556,20016,175704,33767,605171,1434,16113,122021,2687618,117049,621167,677,1125,112840,354653,121751,993229,103174,1065252,102209,272963,148693,8517263,75239,122513,13171,12177,45945,78248,11295,5542,1531,2180,0,0,0,0,696,1129,146390,1115152,147058,1189138,41071,111684,107602,351433
0,"$100,000 under $200,000",158775,136905,90760,433278,136720,20927938,139024,15024111,113925,277076,71748,333777,65326,233588,32154,705730,5472,60375,381637,26016,740921,43814,1848733,13789,125017,31654,638737,4088,67301,148530,4357978,144239,1286234,807,1863,140753,577212,148330,1887348,126308,1583030,133144,486027,158496,14889348,82639,117460,16371,18086,35631,48681,14132,6818,263,335,0,0,0,0,8626,19239,157699,2460582,157963,2605161,56020,275850,102283,471473
0,"$200,000 or more",40630,35420,30919,117754,41562,17625497,34965,8786034,36277,462831,28200,929154,26565,750479,10230,719912,1849,27214,2214588,6316,423352,8191,428124,1514,16269,7010,157527,3735,113417,40018,3216004,39166,1395681,236,1690,38272,295110,39979,1700824,31864,626030,37419,580421,40542,13990544,19730,83450,3908,5950,0,0,3123,1482,0,0,0,0,0,0,33301,306431,40521,3644301,40557,3758643,19949,477901,20424,449459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Baker County,7045,3378,4442,13808,3657,261710,5201,168777,3216,8100,1355,3974,1170,2752,1274,5495,675,1378,17359,821,9712,1815,40865,979,5556,1181,11942,0,0,2047,39379,1808,9101,0,0,1804,3708,1999,12991,1436,9834,1542,5383,4813,161238,1917,1964,276,209,919,1116,195,72,917,1210,1437,2913,1228,2574,70,479,4176,22188,4717,24018,1343,3437,5165,12491
