County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,PENNSYLVANIA,6122190,2336663,3269997,11507090,3363034,339234428,5001493,245069916,2607969,5099068,1467813,7956398,1309841,6066728,773613,11262002,43417,947774,11042815,656406,8666490,1295292,22754155,852695,7599570,767375,8970343,39535,746655,1905328,44103161,1643453,9318503,196763,219926,1731523,7676420,1897527,17479219,1516611,13400754,1550130,5806221,4705762,234148355,2058826,2668560,439610,373103,934835,1181112,223109,115599,615589,738795,928941,1855884,809963,1649678,157324,912110,4218516,41050737,4475664,43058522,875034,3519633,4954278,15290554
0,Under $1,85179,19996,55310,108453,19416,-4421944,19826,557409,33300,132316,30132,129228,27248,94119,21622,-523516,3903,37628,196674,5260,74180,8373,73195,1562,16085,127,857,119,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,457,43,24,53,68,0,0,3087,4694,7347,7580,5369,5330,154,1850,152,1562,9338,19382,4054,5561,35792,199470
0,"$1 under $25,000",2393293,311574,1184191,3124243,779101,28175178,1761846,19139833,666380,641273,344026,523661,297312,285846,245292,1651261,10776,199951,-96027,203922,990324,427139,3320495,315340,2260447,103591,165905,1268,5412,159980,2372659,75388,93539,62170,47871,117682,399136,155209,559026,82018,529068,100197,167287,1104848,6745518,311264,117553,21068,8298,87866,32034,18759,6430,375706,409573,669460,1439753,599506,1303819,450,567,884203,604176,1068398,877487,196867,105929,1962906,3593240
0,"$25,000 under $50,000",1480579,424216,769042,2715824,767351,53521304,1275522,41286589,524985,608286,257512,565151,226329,342053,152455,1507038,9874,150044,49065,146560,1256415,298472,4425221,244595,2446432,258776,1591665,2579,17325,345687,5033886,275581,530635,54153,52537,293528,886657,343878,1514270,255421,1636904,244040,496393,1443430,29805077,591795,547872,93595,60297,290256,282356,53749,30195,200456,277721,252134,408551,205088,340529,333,810,1222275,3185125,1273255,3477328,171992,222943,1299866,3423731
0,"$50,000 under $75,000",858043,489430,484198,1923795,565588,52815531,757731,40593883,447290,557633,233528,616761,207076,397497,116037,1308772,7171,139459,130608,109734,1334805,218527,4421795,141762,1343494,173116,2469591,3636,29857,390817,6603353,344459,1002663,35645,37458,355482,1182164,390098,2274379,319250,2338328,306759,705417,854440,34704167,409896,602986,105790,78794,233294,365252,39552,19635,31816,40770,0,0,0,0,1429,2053,816905,4329650,827403,4595519,150445,290728,705006,2161391
0,"$75,000 under $100,000",533291,415171,303669,1383583,431416,46064507,480518,35746713,335530,460739,188105,568250,168418,387154,82622,1128493,4367,114515,196259,77208,1280453,146384,3677499,78969,772565,106011,1991146,3850,38365,337429,6590780,309158,1224953,21395,37456,318370,1224085,337158,2518686,290612,2412713,283820,729412,532165,32334831,297242,504476,84914,70803,172952,293304,37343,19617,3755,4981,0,0,0,0,2765,4421,526366,4260682,528019,4488948,102311,259802,429959,1614631
0,"$100,000 under $200,000",601977,526034,347526,1732896,602174,79744563,553064,62287544,447851,802564,287741,1215589,262878,879250,110578,2615553,5070,194824,780441,88607,2261882,160400,5251675,61955,655383,100138,2131626,12487,183194,506119,12835532,478300,2942608,20066,36210,487305,2433004,505925,5480219,439791,4364495,458454,1542227,601267,59751441,354608,527569,107616,109749,150321,208025,59663,32255,769,1056,0,0,0,0,27849,53108,599087,10061435,599666,10533325,170477,754711,430449,2069155
0,"$200,000 or more",169828,150242,126061,518296,197988,83335289,152986,45457945,152633,1896257,126769,4337758,120580,3680809,45007,3574401,2256,111353,9785795,25115,1468431,35997,1584275,8512,105164,25616,619553,15596,471100,165296,10666951,160567,3524105,3334,8394,159156,1551374,165259,5132639,129519,2119246,156860,2165485,169612,70807321,93748,367647,26584,45138,93,73,14043,7467,0,0,0,0,0,0,124344,849301,169528,18608107,169585,19066533,78888,1879959,90300,2228936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,49644,22449,26713,96548,27198,2430954,41167,1800012,20290,32761,10744,33240,9442,22960,6571,74380,900,6464,28696,5601,62216,11068,227756,7525,58631,6823,75526,232,3519,16963,358647,14553,60594,1874,1573,15883,54877,16900,119969,14331,147379,12757,38589,38686,1572692,16751,20539,3340,3078,8621,11314,1599,833,4900,6413,6325,12031,5407,10585,579,2993,34792,235736,36798,250982,6896,19323,40522,112212
1,Under $1,676,213,494,954,144,-26794,165,3107,304,551,224,650,199,337,223,-1629,89,249,199,59,417,86,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,73,81,45,49,0,0,0,0,89,125,47,40,273,802
