County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,RHODE ISLAND,509074,175326,307564,929493,268949,28277799,424145,20534455,228672,398388,107506,712628,96766,535252,70220,1031035,720,74086,683449,47606,616768,92828,1999040,74781,701446,59854,717586,3847,69030,185675,4475669,166053,984960,14566,12494,171718,832983,185210,1933730,151267,1456099,154143,436264,398600,19097572,167292,199312,30082,22597,76066,90939,18739,9729,54979,63325,81048,168812,70502,147148,14124,92372,358469,3343604,382956,3520930,74876,280166,416713,1301808
0,Under $1,7034,1552,4896,9064,1504,-363981,1908,50285,2950,11474,2307,8152,2133,6021,1871,-28219,69,2900,22506,482,7910,692,6398,322,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,356,516,830,909,601,665,0,0,0,0,950,2146,425,835,3142,13382
0,"$1 under $25,000",195745,20681,112102,258939,69594,2398372,149623,1712489,53341,42508,21291,34049,18623,20048,24126,188104,137,13537,-6722,13283,65730,25235,207709,28534,211353,6963,11676,140,664,16202,240156,7204,7239,7046,3506,12881,49453,15900,64503,9611,70013,9955,11528,96221,591047,27937,11049,1015,361,8568,3107,1587,540,36278,39623,60691,137056,54192,121000,31,36,76385,52388,95000,81668,18161,10837,164608,317014
0,"$25,000 under $50,000",123930,28685,70649,213717,58147,4466414,108342,3551096,46936,41879,18053,37570,15968,24049,12268,133241,123,11209,2315,10128,83957,20707,329576,20835,226438,18567,112155,280,1830,32980,515000,27803,45206,4144,3550,29117,106496,32875,167455,25507,193042,24286,34281,120641,2512805,46961,42612,5340,3349,23704,22836,4185,2342,15565,19901,19527,30847,15709,25483,24,47,103759,275654,107632,300465,14842,21073,108487,292645
0,"$50,000 under $75,000",69801,33591,44679,144262,40134,4304163,61445,3309878,40223,44815,17422,47348,15557,31541,9718,111747,121,11190,8987,8241,91645,16771,404142,11113,116226,13953,191754,375,3238,39192,707184,36773,100014,1656,2114,36387,142686,39161,264256,32528,275155,31959,51477,69386,2799207,30414,41990,7020,4937,16966,25491,3092,1547,2451,2880,0,0,0,0,117,170,66573,363882,67422,385745,12051,23994,57566,180325
0,"$75,000 under $100,000",43863,31684,28504,108871,33009,3794789,39563,2932358,29841,37689,14407,39887,12940,27334,7298,97210,89,9225,12575,6006,89175,11518,339442,7001,71354,8919,160810,408,4155,32961,685064,31612,121441,796,1394,31278,136889,32950,279846,28543,266066,28451,52860,43741,2598840,23307,37272,6058,4484,13598,22047,3116,1640,278,352,0,0,0,0,249,365,43321,352019,43448,371013,8290,21909,35487,133727
0,"$100,000 under $200,000",55312,47518,36094,155393,52335,7351847,51168,5730934,43174,70116,24487,97197,22471,70459,11278,236016,128,17491,73075,7446,172629,14945,574175,6303,65357,9260,188911,1303,19168,51068,1353461,49696,323784,714,1389,49285,267393,51052,630935,44450,478622,46799,119982,55245,5386977,31604,43353,8960,7233,13230,17458,5754,3112,51,53,0,0,0,0,3028,5824,55066,909102,55133,950741,14952,65709,40243,191713
0,"$200,000 or more",13389,11615,10640,39247,14226,6326195,12096,3247415,12207,149907,9539,448425,9074,355800,3661,292936,53,8534,570713,2020,105722,2960,137598,673,7418,2192,52280,1341,39975,13272,974804,12965,387276,210,541,12770,130066,13272,526735,10628,173201,12693,166136,13366,5208696,7046,23024,1689,2233,0,0,1005,548,0,0,0,0,0,0,10675,85930,13365,1390559,13371,1429152,6155,135809,7180,173002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol County,23498,10153,14281,44413,12861,2069213,18912,1257256,13372,51051,7409,189447,6753,152552,3942,86743,30,5370,96103,2939,45831,5018,115129,2987,29686,3403,46167,373,8026,10780,380688,9584,87308,906,782,10244,68223,10752,163255,8636,96479,9389,72129,18841,1481900,8332,11879,1724,1388,3265,4261,1163,569,1306,1491,2197,3576,1800,3049,1510,12672,17459,300712,18356,313760,4321,24530,18014,76193
