County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,SOUTH CAROLINA,2050743,756379,1223576,4221422,1325063,94043888,1713682,68290748,651548,1289173,332663,1713904,297349,1278690,308376,2613439,21823,250489,2670982,181774,2903063,422433,8462144,210520,1447922,250714,2968457,7356,138399,622331,14004169,524418,2931886,77769,87848,560477,1017354,620040,4320810,508156,4583909,529235,2514402,1480553,58924725,679518,789399,106336,94239,350931,393846,97612,52231,382125,496250,506059,1166781,455426,1045395,32172,194912,1255221,9456606,1388619,10057247,344711,1198880,1638286,4844904
0,Under $1,29403,10224,21084,45089,8161,-1740631,8095,220034,12061,50492,8910,39449,8074,27435,11345,-171339,1480,11243,62771,2313,39760,3558,48289,708,5983,59,325,53,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,78,0,0,26,37,0,0,1613,2441,3176,3697,2316,2660,61,656,52,561,4324,9148,2053,3366,12735,73685
0,"$1 under $25,000",915515,130025,539126,1542385,486081,11743653,734062,8929914,147366,156017,65991,115019,57475,69238,125517,735374,4253,48150,-14136,44024,261250,114992,979902,116496,762724,31246,56385,307,1134,64093,932552,27882,32549,28654,26326,48623,64753,62748,140644,40425,290035,45830,104335,397425,2276829,134455,48689,6647,2919,49669,16367,10936,3951,260174,308497,382443,959323,352894,870006,124,153,295524,193754,397033,329637,77239,43178,789506,1883399
0,"$25,000 under $50,000",513066,166520,297067,1104014,353749,18238733,450347,14665879,142176,167675,61391,144844,53584,93673,62824,357227,4286,42768,22453,42609,409856,107018,1656797,49567,353635,84064,513289,552,3499,140384,2090955,110450,212633,24231,24672,119267,141910,139750,422281,109115,744330,110325,318212,492339,9128504,235871,220464,27075,20615,136917,124108,30475,17656,108025,169555,120440,203761,100216,172729,103,333,383596,896911,406601,992262,81610,105157,428582,1216434
0,"$50,000 under $75,000",249216,153810,150996,588918,178589,15299818,217166,11514602,116543,154228,55879,163395,49472,108667,40720,282208,3797,39396,51416,33349,451379,76705,1674996,22987,169663,56685,801811,695,5641,134241,2373167,118756,375290,12495,14052,122436,163788,134073,604470,113133,870412,113601,392611,247886,9635741,122312,187462,25056,22248,76370,117385,20335,10904,10998,14072,0,0,0,0,479,628,235520,1147883,239335,1228751,63159,124514,185369,517481
0,"$75,000 under $100,000",148552,121899,89330,393651,121297,12829446,130690,9479977,86971,129657,45590,156995,40824,110180,26469,226749,2927,32484,66774,24413,445805,52511,1445687,11390,83676,35748,675453,671,6286,106743,2247678,98392,444682,6471,11054,100732,154429,106670,659484,93570,805768,94652,379461,148205,8754352,81180,138898,18877,17532,50702,84692,16189,8971,1094,1398,0,0,0,0,666,1330,146556,1122082,147087,1185014,42093,106952,106160,347089
0,"$100,000 under $200,000",156738,139672,95422,437177,139622,20590923,139933,14908993,112457,234963,68624,355958,62841,263145,30819,514417,3617,51854,289663,28123,818398,56822,2090524,8494,64877,34761,731539,2266,33580,139367,3729602,132888,961469,4757,8547,133530,289822,139304,1344561,121941,1299372,129070,684320,156512,15079409,86102,123515,23265,23613,37247,51257,17061,9310,221,287,0,0,0,0,4751,11164,155848,2495325,156086,2611588,59495,275770,96914,433748
0,"$200,000 or more",38253,34229,30551,110188,37564,17081946,33389,8571349,33974,396141,26278,738244,25079,606352,10682,668803,1463,24594,2192041,6943,476615,10827,565949,878,7364,8151,189655,2812,87418,37503,2630215,36050,905263,1161,3197,35889,202652,37495,1149370,29972,573992,35757,635463,38186,14049890,19510,70293,5416,7312,0,0,2616,1439,0,0,0,0,0,0,25988,180648,38125,3600090,38153,3700847,19062,539943,19020,373068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abbeville County,9905,3809,6766,21126,6911,356607,8170,269760,2869,4311,1161,2700,1019,1924,1692,10700,492,815,3259,883,12466,2031,34407,1479,8016,1128,11573,22,249,2172,41780,1819,7504,273,323,1920,1853,2159,10686,1641,10726,1917,10184,6929,196658,3405,3817,626,545,1733,2055,435,247,2043,2433,3103,7728,2831,6727,53,183,5647,25059,6569,27683,1384,3142,8224,23522
