County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,SOUTH DAKOTA,391703,163154,226473,760781,226509,19711863,329388,13254940,157151,474453,79854,362506,70446,267236,61178,619478,31896,69650,1031953,38812,444525,69655,1242027,17980,88124,49758,546503,2028,34428,80147,1729965,5752,47129,66804,96649,70435,227750,79006,379672,60789,521429,61793,397123,303612,13772622,142511,190689,24697,20168,66120,91102,25079,12803,46373,61036,66581,132970,57670,119652,4309,19288,265982,2265677,288620,2447875,76419,402028,301324,895297
0,Under $1,7601,2949,5846,12268,2251,-526471,2662,52829,3468,11821,1819,13191,1580,9159,2252,-21709,2746,3133,33564,519,8542,795,7502,81,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,396,664,1119,1591,728,1104,0,0,0,0,1744,3201,834,1529,3867,11271
0,"$1 under $25,000",153725,20387,79037,202757,52499,1867553,125960,1472177,38141,55529,17077,28545,14541,14117,16718,81845,6881,14282,14646,10300,50445,18607,140427,7430,34883,5430,8365,63,305,8294,132179,248,340,6894,6370,5642,12618,7938,20242,3826,23295,5096,9990,76216,473140,23568,8931,1324,513,5200,1867,1969,692,26119,29756,46543,99572,41844,92462,111,51,60494,41557,73796,60617,15977,9650,127826,247378
0,"$25,000 under $50,000",102384,34918,56467,196695,56499,3702151,88675,2907339,36492,99770,16266,31967,14060,17487,14624,112706,7341,13472,37190,9752,70705,17927,258886,5708,28366,17736,102169,134,998,18162,262874,817,1386,14608,14233,14847,32341,17605,49294,12800,81008,11373,27099,99705,2043021,45206,41597,6247,3839,21541,21012,5964,2982,16272,25704,18919,31807,15098,26086,32,48,82181,210455,87913,240949,16033,25629,85592,237938
0,"$50,000 under $75,000",57263,42007,35666,146254,46383,3533159,50204,2635212,29082,54563,14468,31448,12778,19226,11459,106925,5689,11908,49636,7341,74404,13907,281412,2922,14418,11802,157458,217,1602,16785,280944,1040,2447,14057,16578,15022,38256,16630,58383,13389,101841,12588,36750,57025,2293799,31481,52438,6945,5051,19279,32633,7560,4135,3200,4325,0,0,0,0,70,126,53355,256985,54873,288452,15592,39396,41463,118489
0,"$75,000 under $100,000",33924,29824,21878,96108,32182,2920667,30040,2120752,21109,44214,11241,27325,9988,17173,7265,84160,3962,9218,58019,4938,70252,8787,225562,1165,5996,6961,123091,287,2914,13807,253978,1013,3285,11711,17303,12936,38756,13759,60403,11832,102829,11473,38731,33881,2090544,20232,39023,4846,4037,12530,23641,5244,2820,307,446,0,0,0,0,86,124,33362,254673,33614,282333,10652,41513,23190,77309
0,"$100,000 under $200,000",28758,25907,20515,83357,28576,3797510,25104,2429771,21477,71805,13389,60299,12216,43312,6634,135477,3941,11948,186652,4633,102909,7935,257343,613,3604,6085,118580,687,10284,16803,375290,1570,8476,14448,27049,16003,61252,16787,98958,14355,144473,15264,75153,28742,2982781,17407,30129,4353,4637,7570,11949,3743,1895,79,141,0,0,0,0,491,1197,28557,488157,28644,529674,12944,105856,15757,73311
0,"$200,000 or more",8048,7162,7064,23342,8119,4417294,6743,1636860,7382,136751,5594,169731,5283,146762,2226,120074,1336,5689,652246,1329,67268,1697,70895,61,447,1744,36840,640,18325,6296,424700,1064,31195,5086,15116,5985,44527,6287,92392,4587,67983,5999,209400,8043,3889337,4597,18569,982,2091,0,0,599,279,0,0,0,0,0,0,3519,17742,8033,1013850,8036,1042649,4387,178455,3629,129601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aurora County,1285,649,960,2732,842,58421,1028,34736,626,1417,266,646,238,353,248,2202,400,335,10623,130,1031,225,3310,45,179,173,1792,0,0,122,2711,0,0,96,99,96,194,121,472,65,501,94,645,973,43227,466,619,83,78,212,315,94,47,172,262,200,419,156,344,0,0,810,6327,937,7372,355,2542,871,2135
3,Under $1,56,33,54,110,24,-5496,27,265,27,31,0,0,0,0,0,0,43,32,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38
3,"$1 under $25,000",472,99,321,661,169,5852,354,4187,191,283,74,66,60,25,75,172,92,68,457,53,150,77,572,0,0,0,0,0,0,30,432,0,0,25,14,0,0,29,33,0,0,38,100,224,1232,56,20,0,0,0,0,0,0,75,105,130,294,101,247,0,0,179,106,257,238,85,62,351,672
3,"$25,000 under $50,000",361,174,252,810,245,13041,313,9696,153,334,71,33,65,21,71,601,103,79,462,40,255,51,673,45,179,79,331,0,0,27,419,0,0,41,37,37,45,27,51,41,308,0,0,353,6712,179,163,31,21,86,71,34,17,73,121,70,125,55,97,0,0,262,615,295,815,83,177,276,766
3,"$50,000 under $75,000",196,168,158,565,197,11974,170,7872,106,251,49,69,45,28,47,603,69,59,612,0,0,43,815,0,0,38,491,0,0,41,741,0,0,0,0,38,66,41,109,0,0,33,74,196,7611,114,196,22,18,66,121,31,17,24,36,0,0,0,0,0,0,173,735,187,920,73,237,123,327
3,"$75,000 under $100,000",116,105,93,363,138,9891,102,6134,81,129,37,47,34,22,31,423,49,46,501,37,626,31,656,0,0,25,393,0,0,0,0,0,0,30,48,0,0,0,0,24,193,0,0,116,7119,74,165,30,39,60,123,29,13,0,0,0,0,0,0,0,0,114,774,114,909,51,262,65,210
3,"$100,000 under $200,000",62,70,60,157,42,8109,62,6582,46,213,35,431,34,257,24,403,44,31,1207,0,0,23,594,0,0,31,577,0,0,24,1119,0,0,0,0,21,83,24,279,0,0,23,471,62,6732,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1029,62,1228,63,1804,21,122
3,"$200,000 or more",22,0,22,66,27,15050,0,0,22,176,0,0,0,0,0,0,0,20,6701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3068,22,3262,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Beadle County,8548,3517,5247,16755,4860,419135,7274,260418,3282,10808,1483,8750,1300,7155,1119,14343,798,1385,20094,848,7871,1376,22901,255,1157,1113,11346,60,819,1063,24906,53,1038,915,1103,879,2507,1034,4709,644,4847,800,7762,6656,291210,3113,3889,549,446,1478,1833,481,226,1238,1782,1548,3321,1371,3081,68,264,5718,50015,6137,54303,1580,8280,6682,22608
5,Under $1,132,54,107,205,21,-8408,39,603,61,118,26,54,25,27,31,-298,63,56,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,126,22,106,59,170
5,"$1 under $25,000",3481,480,1969,4911,1350,44839,2922,36156,851,1709,344,516,299,262,307,1282,139,303,252,237,1069,429,3082,110,487,115,161,0,0,136,2546,0,0,117,69,88,157,129,231,44,245,80,188,1798,11317,579,194,33,12,181,68,53,17,707,886,1068,2469,975,2337,0,0,1422,1040,1662,1422,319,226,2952,6130
5,"$25,000 under $50,000",2423,894,1449,4977,1440,87403,2112,69329,805,2335,310,501,264,311,259,2258,189,273,1490,241,1497,369,5426,87,443,437,2377,27,224,246,3998,0,0,205,163,178,334,228,516,112,597,148,620,2352,47255,1129,987,152,110,598,537,119,61,465,806,480,852,396,744,0,0,1866,4814,1962,5465,370,574,2036,5793
5,"$50,000 under $75,000",1208,925,784,3054,913,74799,1043,54290,609,1514,276,505,241,318,250,2278,171,256,1329,155,1390,255,5268,58,227,275,3579,0,0,217,3772,32,73,181,186,188,453,214,674,141,921,153,659,1203,49376,643,1052,160,128,374,645,157,77,66,90,0,0,0,0,0,0,1138,5597,1175,6374,338,926,865,2484
5,"$75,000 under $100,000",645,571,421,1792,574,55495,590,40445,423,829,192,422,164,234,129,1586,95,177,1146,96,1242,155,4013,0,0,129,2197,0,0,162,2963,0,0,138,180,149,426,161,657,130,982,140,770,644,40575,371,674,106,82,207,388,83,40,0,0,0,0,0,0,0,0,636,5037,643,5632,205,779,439,1455
5,"$100,000 under $200,000",523,472,390,1454,457,67889,457,41478,407,1695,248,1215,225,949,103,2989,98,223,3253,95,1898,138,3814,0,0,113,2139,33,595,223,4821,21,965,203,344,207,730,223,1150,173,1505,203,1289,523,54372,316,519,98,114,118,195,69,31,0,0,0,0,0,0,0,0,520,8788,523,9724,253,1997,270,1453
5,"$200,000 or more",136,121,127,362,105,97118,111,18117,126,2608,87,5537,82,5054,40,4248,43,97,11922,24,775,30,1298,0,0,44,893,0,0,79,6806,0,0,71,161,69,407,79,1481,44,597,76,4236,136,88315,75,463,0,0,0,0,0,0,0,0,0,0,0,0,68,264,136,24739,136,25560,73,3672,61,5123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bennett County,1198,392,956,2652,1042,36040,1019,26651,347,958,135,577,115,355,240,1638,221,213,2851,83,637,126,1742,53,256,106,1224,0,0,56,1112,0,0,52,138,34,56,56,241,0,0,43,173,733,23884,359,765,47,31,206,252,31,14,308,415,420,998,388,923,0,0,582,2711,716,3259,211,850,929,2784
7,Under $1,40,0,39,55,0,-4413,0,0,22,110,0,0,0,0,0,0,23,25,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"$1 under $25,000",612,87,477,1130,480,6690,535,5616,111,212,42,126,33,50,90,118,67,51,128,25,114,41,262,29,151,0,0,0,0,28,547,0,0,26,99,0,0,28,125,0,0,21,33,199,1066,64,18,0,0,27,7,0,0,209,247,316,803,300,764,0,0,147,91,233,200,53,50,542,1526
7,"$25,000 under $50,000",298,112,229,768,319,10778,269,8792,78,101,26,159,23,96,53,404,46,40,195,31,193,53,746,24,105,47,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,5325,154,156,0,0,102,112,31,14,99,168,104,195,88,159,0,0,206,475,241,603,46,96,251,835
7,"$50,000 under $75,000",122,81,102,338,122,7525,112,5350,57,69,41,136,36,91,48,327,60,62,786,0,0,0,0,0,0,37,609,0,0,28,565,0,0,26,39,34,56,28,116,0,0,22,140,122,5038,67,113,47,31,40,72,0,0,0,0,0,0,0,0,0,0,107,516,118,617,40,105,82,190
7,"$75,000 under $100,000",62,53,55,188,72,5262,51,3437,27,153,0,0,0,0,27,123,0,0,0,27,330,32,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3852,36,71,0,0,37,61,0,0,0,0,0,0,0,0,0,0,59,457,60,517,26,138,54,233
7,"$100,000 under $200,000",64,59,54,173,49,10198,52,3456,52,313,26,156,23,118,22,666,25,35,1607,0,0,0,0,0,0,22,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8603,38,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1172,64,1322,46,461,0,0
7,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bon Homme County,2842,1368,2033,5484,1500,113307,2208,67569,1494,3153,623,1879,535,1289,521,5148,634,622,5713,340,3032,565,9326,93,542,503,5214,21,353,290,5934,25,70,254,271,219,570,287,929,132,1003,203,896,2146,73704,942,1167,212,176,413,571,152,78,281,414,456,839,368,701,0,0,1879,9258,2130,11707,808,3943,1901,4518
9,Under $1,73,34,63,128,25,-3531,29,476,45,34,20,14,0,0,30,-183,46,31,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0,0,0,0,0,0,33,57,0,0,39,71
