County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,TENNESSEE,2845639,1116244,1548098,5861469,1816556,136049918,2368129,101548728,926586,2115547,400298,2807000,354063,2248159,497271,6555386,72407,316109,4177180,221860,3252200,522505,9573480,270158,1682047,313254,3498103,15305,318618,685077,15025945,50507,376555,561418,1169381,613993,1455983,673960,3051145,554918,5226270,555660,3529945,2056447,89855175,920080,1103157,145386,128639,473515,550412,117760,60534,497332,660515,676949,1542080,598737,1341138,31733,147100,1769985,15286488,1984711,16522431,407165,1614815,2350162,7749866
0,Under $1,43876,15214,30124,65835,11564,-2444579,10697,289028,17254,82591,10984,45646,9861,31046,17376,-269656,4866,14964,97174,2783,46463,4934,55482,1053,7061,67,404,76,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,106,0,0,42,60,0,0,1929,2989,4500,4704,3081,3114,96,866,89,789,6758,16114,3372,6071,18819,81625
0,"$1 under $25,000",1269592,206022,671229,2115645,646989,16074617,994998,12062027,221104,271375,82475,127856,71082,72604,215592,1397299,17657,63334,-6937,59643,339063,154964,1307957,136984,857168,41409,68979,405,2103,74009,1097038,3367,5822,57620,73885,55986,93350,70221,179006,46166,327216,47716,113865,552083,3178527,172708,62418,8886,3881,56666,18585,11786,4114,337481,410144,512674,1265281,464860,1110677,217,293,425742,277016,594610,515953,102612,61316,1105345,3041341
0,"$25,000 under $50,000",701583,258948,374943,1510363,469929,25154080,620859,20572139,203963,277825,71543,140282,61984,84620,95550,726357,16617,52735,45089,53049,487585,135910,2057691,70742,432953,112248,652673,817,5323,155536,2347910,7925,13909,123858,198266,130895,202975,151335,425959,120245,840268,112295,348224,676241,12786696,320408,296886,37441,28423,181677,167867,34847,19093,141235,224725,159775,272095,130796,227347,187,528,534850,1272759,567744,1439672,86332,126688,612147,1762998
0,"$50,000 under $75,000",360880,234548,199879,870453,264251,22141067,321586,17553527,166366,229819,64360,158799,56200,99840,62678,630499,12832,47578,75933,39501,500999,93026,1912268,34193,210160,70663,980804,1155,9820,145020,2534807,8774,22198,120069,206975,131330,228592,143147,468122,121640,979918,116254,446194,359224,14267602,178470,274675,36091,31318,114906,178205,26260,13286,15194,20673,0,0,0,0,718,961,342784,1711512,348001,1858865,70884,156788,289195,885492
0,"$75,000 under $100,000",203065,166575,110969,539669,167598,17509162,181866,13642656,117919,192542,51554,152972,45588,102555,39314,522571,8470,38075,103221,27821,495104,59279,1531978,15286,94605,41733,777822,1307,13147,108558,2147583,7625,26090,91338,191649,102076,207057,107826,427534,94520,869033,93114,438109,202622,12368019,109082,187838,25391,23472,70358,117491,19690,10464,1265,1695,0,0,0,0,782,1585,200834,1615614,201579,1737827,46278,139608,156418,562496
0,"$100,000 under $200,000",206986,182185,115957,582440,191755,27325634,187072,20778558,147068,332998,79869,339112,72114,238992,47007,1282085,8794,62328,345046,30505,836677,61140,2065284,10692,70143,37743,794794,4596,71445,148252,3583744,13651,71121,125436,327459,142283,394201,147800,803518,130107,1448911,135245,857844,206712,20971386,110173,157486,29705,30152,49844,68186,21191,11395,228,289,0,0,0,0,4389,10849,206164,3584631,206452,3840988,70165,372795,136405,644244
0,"$200,000 or more",59657,52752,44997,177064,64470,30289937,51051,16650793,52912,728397,39513,1842333,37234,1618502,19754,2266231,3171,37095,3517654,8558,546309,13252,642820,1208,9957,9391,222627,6949,215841,53702,3314863,9165,237415,43097,171147,51423,329808,53631,747006,42240,760924,51036,1325709,59565,26282945,29112,123748,7872,11393,22,18,3986,2182,0,0,0,0,0,0,25344,132018,59522,6824167,59567,7113012,27522,751549,31833,771670
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anderson County,33564,14521,16422,68825,19600,1591359,27032,1166380,12684,24069,5295,19084,4601,12995,4886,57408,452,3743,21948,3401,40489,7925,168054,2801,18126,5048,60718,169,3511,7091,138837,395,2351,6043,12975,6481,13924,6987,29632,5444,47431,5647,31258,24984,1047329,10963,12133,2173,1974,5473,6518,1107,547,4956,7024,6995,15053,6149,12912,261,753,22103,165505,24222,176678,4944,14298,27493,78122
