County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,TEXAS,10987471,4198305,5853517,23723570,8315379,619201629,9299894,456319265,3292335,9932017,1611046,13171628,1423664,10330036,2107427,24045026,243918,1317231,28958237,754458,13355845,1656360,32701281,732694,5816516,944336,11152772,54915,1177190,2771556,67100206,112902,1003918,2279704,4269235,2434507,12655951,2717399,18107109,2180676,19858770,2163110,12940852,8038088,433812415,3844073,5610346,418539,371384,2094949,2453757,516013,290931,2236807,3021472,2702294,6690180,2412248,5770225,221713,1058052,6755221,80218232,7678490,84741749,1727681,8417728,8930351,32704030
0,Under $1,169120,51526,107175,246966,45572,-13301475,39662,1404444,62083,532408,43215,266500,38245,172701,58870,-2113005,17893,56734,970942,9686,198083,14958,187396,2386,23913,256,2265,280,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,442,39,22,165,219,0,0,7417,11363,14248,16235,9995,11011,504,7852,498,7445,22501,59617,10859,20923,72495,472567
0,"$1 under $25,000",4606856,727408,2483671,8076277,2836631,59101084,3671231,46367797,648166,780213,270096,502441,230376,287751,923603,6138387,43155,203581,-15744,161039,962602,407597,3453952,303054,2260793,104238,178137,1742,7911,236546,3620854,5840,11217,177519,204376,165755,553969,220059,805413,131909,913130,140760,308269,1955056,11389581,722155,278235,17992,7799,265347,88293,49024,18113,1467426,1853331,1985034,5414510,1813891,4699147,923,1630,1413245,941824,2142263,2022859,419792,269827,3966204,10512983
0,"$25,000 under $50,000",2682199,899864,1404966,6054386,2219330,96220622,2403310,81650433,619489,911051,234927,559950,201271,335225,387972,2745057,43878,178413,140698,159498,1532587,393413,6070632,213321,1788198,296238,1740048,3232,23191,524491,8282878,16476,30560,405262,481685,409907,1322094,503845,1899288,368159,2451320,354935,990359,2564264,48436626,1320323,1296520,90131,69866,821935,765236,150328,91089,679001,1047995,703012,1259435,588362,1060067,717,2367,1914983,4709602,2060100,5361860,332692,513482,2337388,7218906
0,"$50,000 under $75,000",1340471,738184,687640,3219533,1086638,82211740,1198665,67043197,536059,709987,229964,697550,199328,420548,235698,2122652,39721,175740,258922,134562,1818131,294858,6234723,98335,787123,210596,2826710,4096,37371,531924,10520795,19001,47447,429010,605888,462116,1674771,522060,2389017,420911,3043220,398077,1324671,1333511,53354696,655272,1075115,91800,79823,448690,723800,94563,53113,74538,97426,0,0,0,0,4251,5934,1254107,6564929,1276369,7065061,268659,632297,1068135,3470872
0,"$75,000 under $100,000",817927,608708,407792,2174127,731123,70756478,739309,56997610,430127,612847,203003,632442,178208,418241,165133,1912511,32015,157367,350190,102893,1896252,209350,5296262,53685,442681,136553,2389555,4697,51619,438221,8741491,16344,62057,365028,644098,405018,1708506,434431,2418861,373119,3057216,351194,1371019,816165,50139294,437473,792422,72900,64098,300801,519968,82028,48207,7078,9549,0,0,0,0,6511,11622,807084,6757387,810311,7193408,189135,590941,627072,2384915
0,"$100,000 under $200,000",1030671,876296,525378,2945613,1027420,138087457,947301,109967548,697611,1323655,396924,1638883,357641,1157749,235122,4935300,45746,325432,1458959,140572,3950681,267666,8357143,53531,442543,149558,2957386,16574,267833,739147,17838272,32151,171268,639331,1417822,705000,3946409,736456,5556896,649005,6455603,641327,3261972,1029331,106408656,543151,826731,111153,106244,257907,356157,114640,66333,1347,1808,0,0,0,0,36355,80871,1026141,18511081,1027500,19452929,347097,1819683,680629,3327048
0,"$200,000 or more",340227,296319,236895,1006668,368665,186125723,300416,92888236,298800,5061856,232917,8873862,218595,7537821,101029,8304124,21510,219964,25794270,46208,2997509,68518,3101173,8382,71265,46897,1058671,24294,784902,301227,18095916,23090,681369,263554,915366,286711,3450202,300548,5037634,237573,3938281,276817,5684562,339761,164083562,165140,1340881,34524,43532,104,84,25430,14076,0,0,0,0,0,0,172452,947776,339163,42725964,339446,43586015,159447,4570575,178428,5316739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anderson County,19020,7926,11716,40747,13551,792139,15727,603696,5193,11026,2734,14337,2445,10724,3379,30278,1758,2232,12372,1501,19735,3870,73641,1176,8483,2352,23520,49,979,3190,67455,130,640,2635,3990,2598,7382,3086,12249,2096,14720,2341,14535,13792,491663,6499,7684,766,664,3817,4504,600,346,3925,5074,5143,12205,4620,10929,129,371,11421,72091,12759,78488,2536,7214,15710,55548
1,Under $1,368,164,288,608,91,-14357,83,3916,166,527,99,453,94,356,168,-2481,128,131,950,33,321,64,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0,0,0,0,46,56,25,16,132,655
1,"$1 under $25,000",8009,1489,4731,14073,4813,103701,6267,80662,1299,1967,616,1211,547,762,1313,6706,373,491,273,384,2067,1185,11526,536,3893,318,568,0,0,414,6434,0,0,331,282,289,598,390,927,169,954,264,796,3358,18712,1204,406,55,30,511,164,87,29,2467,3004,3575,9478,3329,8631,0,0,2445,1566,3432,2873,578,332,6915,19028
1,"$25,000 under $50,000",5298,2061,3224,11984,4244,187488,4650,155562,1207,1657,611,1212,526,777,779,4200,397,469,316,404,3487,1027,18340,361,2554,864,4894,0,0,722,12226,30,36,564,563,555,1148,685,1740,434,2509,480,1905,5107,92788,2602,2445,238,193,1658,1577,213,139,1311,1861,1545,2700,1291,2298,0,0,3811,8778,4078,9877,631,795,4638,15006
1,"$50,000 under $75,000",2588,1815,1609,6678,2202,158925,2269,124988,975,1480,501,1558,448,1061,462,4117,308,400,1033,281,3393,729,16343,151,1044,569,7317,0,0,709,13103,22,36,594,797,557,1290,689,2183,461,2864,516,2588,2574,101953,1338,2131,194,163,939,1575,138,86,147,209,0,0,0,0,23,30,2431,11775,2463,12661,531,1169,2047,7149
1,"$75,000 under $100,000",1412,1210,895,3838,1181,121756,1273,94899,686,1086,372,899,331,600,281,3690,230,275,744,186,3103,442,12086,73,615,309,5199,0,0,534,11124,27,90,447,740,454,1205,520,2094,403,2791,404,2216,1411,86809,729,1235,125,105,470,855,89,50,0,0,0,0,0,0,0,0,1401,11250,1402,11943,315,871,1091,4428
1,"$100,000 under $200,000",1109,978,775,2958,857,142728,1000,105997,658,1537,390,1524,356,1118,286,10369,248,316,2165,169,5839,361,11254,55,377,229,4133,49,979,606,15177,51,478,517,1047,554,1924,599,3191,495,3963,494,3487,1107,111368,505,801,122,124,239,333,73,42,0,0,0,0,0,0,23,65,1103,18957,1105,20364,365,2024,743,4368
1,"$200,000 or more",236,209,194,608,163,91898,185,37672,202,2772,145,7480,143,6050,90,3677,74,150,6891,44,1525,62,3110,0,0,63,1409,0,0,205,9391,0,0,182,561,189,1217,203,2114,134,1639,183,3543,235,80033,121,666,32,49,0,0,0,0,0,0,0,0,0,0,83,276,230,19765,233,20714,91,2007,144,4914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
