County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,UTAH,1133079,540617,587984,2741748,1028867,58782296,982271,44780979,459467,851654,168415,799071,146334,579999,176312,1241143,13814,147213,2586329,81845,1179829,182468,3898599,95054,658414,107596,1250177,3243,61774,447212,10919795,383369,1861257,50623,71678,406954,848522,445782,2851390,369168,3766941,384986,2823110,847054,36389679,440377,632138,63912,44736,257957,379197,33988,16320,225186,382909,200751,434226,178901,384445,19796,120490,698653,5761595,772575,6074517,182231,707352,914389,2888938
0,Under $1,18192,8261,13218,36103,11366,-1891967,6542,196196,9063,65001,4859,22951,4237,13450,5858,-105304,1062,7214,98594,1199,22485,1994,27238,445,3758,23,111,32,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,41,0,0,0,0,0,0,2330,4402,2688,5310,2179,4001,37,277,34,242,3010,6332,1127,1925,8992,45921
0,"$1 under $25,000",431709,75843,209106,713378,216126,5425113,359655,4340683,95383,71330,32161,45895,27398,24622,52857,275641,2462,25941,-705,18711,108174,44357,404864,38269,241504,11893,20334,106,461,36394,550639,14790,18475,17121,17899,27513,49712,35614,91287,22832,199023,25640,71929,189318,1111581,63352,24244,2023,715,16500,5388,2258,788,107548,150656,129270,306307,117812,275686,166,112,145692,95663,187112,148768,39186,19826,366700,736383
0,"$25,000 under $50,000",280889,127197,145568,716129,266628,10187794,249642,8378740,97943,87596,29508,51580,25097,28810,38854,218853,2847,24326,21511,19110,168632,45341,782744,29902,224581,35779,208717,240,1554,94811,1524331,73204,124965,18196,23443,81624,127908,94425,287381,75664,631507,74421,271530,257414,4564404,138823,124842,12849,7514,82293,72979,8753,4233,83364,171795,68793,122609,58910,104758,89,208,185265,431172,205538,486886,38201,47653,241103,720922
0,"$50,000 under $75,000",172378,124137,90496,518013,214062,10612656,155510,8668995,90942,85586,29003,56924,24789,33811,30772,161551,2816,23910,42336,15864,183513,35822,841254,15280,108427,25678,347026,280,2475,113439,2164102,103003,274713,8157,13913,104692,173125,113298,476965,97831,892644,97899,471510,170901,5978388,103833,177775,17464,11361,76724,133019,9308,4385,26857,48140,0,0,0,0,332,479,143945,628662,151421,673936,33973,63260,138010,432037
0,"$75,000 under $100,000",103310,89206,54145,335061,140987,8914469,94528,7216971,66105,75613,23524,52914,20412,33489,19957,124359,2006,19784,50518,11486,188026,24655,697652,6651,47341,16169,292582,303,3007,84384,1905630,79562,308021,3355,6707,79841,152519,84319,479771,73559,737742,75981,473515,103045,5590066,64493,136587,13304,9288,48125,104276,6730,3409,4508,6931,0,0,0,0,387,1000,98214,653459,99668,691354,23819,59862,79290,280372
0,"$100,000 under $200,000",102179,93748,56720,338784,142133,13351818,94596,10406540,77694,147427,34901,124512,31023,85851,21713,262448,2011,31081,197045,12577,330408,25829,914141,4153,29845,14806,305646,997,15540,94169,2774703,89996,565216,2837,6581,90273,222755,94128,813132,80960,961291,88103,783662,102008,9263533,59474,105428,15174,12079,34203,63449,6039,3047,579,985,0,0,0,0,2907,6421,101184,1465437,101473,1526480,34519,159885,67416,327572
0,"$200,000 or more",24422,22225,18731,84280,37565,12182413,21798,5572854,22337,319101,14459,444295,13378,359966,6301,303595,610,14957,2177030,2898,178591,4470,230706,354,2958,3248,75761,1285,38233,24015,2000390,22814,569867,957,3135,23011,122503,23998,702854,18322,344734,22942,750964,24368,9881707,10310,63221,3098,3779,112,86,900,458,0,0,0,0,0,0,15878,111993,24319,2486960,24353,2540761,11406,354941,12878,345731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Beaver County,2549,1394,1818,6490,2562,96406,2156,76782,833,2086,242,405,211,279,445,261,252,288,3995,170,1476,473,9786,250,1894,297,2789,0,0,722,14386,586,2145,122,136,647,750,720,3129,574,4341,599,3373,1847,54548,952,1303,101,72,672,1002,67,26,573,948,576,1194,501,1046,0,0,1444,6387,1673,6960,394,954,2074,5783
