County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,VIRGINIA,3727510,1483311,1782257,7440035,2294669,244673006,3191601,182166506,1542894,3186174,838578,4416408,758293,3273493,535685,6726404,40585,603295,8792234,317550,4761238,761268,19402829,226018,1441805,424270,5227171,29006,677416,1518600,41429549,1359500,8522954,103784,127771,1340076,4722220,1512667,13986524,1237338,15579619,1240602,5317445,2950516,168864784,1323145,1630306,227121,209546,610549,740892,190021,103857,456982,579028,613405,1285726,537719,1135777,139039,735441,2637599,31172121,2824101,32378611,671587,2725741,2951031,9748415
0,Under $1,48074,13585,30280,68121,13890,-3576894,14384,439658,19258,150286,15777,70008,14395,46531,14405,-535858,2860,19079,136341,2876,52252,4569,69160,805,5944,69,445,108,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,145,20,37,45,59,0,0,2823,4384,5145,5956,3846,4266,118,1086,122,1010,6959,17832,3267,6405,21955,95098
0,"$1 under $25,000",1299989,168548,604405,1894629,542376,16164456,1046764,12618425,264781,262831,125387,215948,110432,133196,170514,1126609,8661,83591,-9806,61277,327923,158334,1403877,95671,580107,42508,73972,655,3355,114651,1734117,58977,56158,38589,32545,75835,179791,111275,296070,65945,575272,71183,128205,610743,3660374,191915,70972,7238,3042,56867,20067,13509,5059,279506,328336,443048,1008970,397775,904651,228,325,477019,320966,611029,518151,125800,75399,1100636,2250656
0,"$25,000 under $50,000",850289,245992,402850,1638294,499832,30869179,751242,25383046,269032,333297,115908,268945,102352,176136,97421,787964,8029,75490,42558,62747,523360,156979,2622659,60434,394074,124200,751822,1342,9554,261875,4192402,218758,364081,29136,32219,203892,438264,260454,901743,190335,1635734,188312,432783,816680,16265364,361305,338459,36520,25925,194931,183190,43284,25522,147065,210389,165212,270800,136098,226860,215,452,668988,1695197,704519,1869797,119146,159030,726597,1912389
0,"$50,000 under $75,000",513685,259029,249924,1106641,325535,31660020,453113,25067400,254743,319952,122524,355758,109323,242244,71491,620550,7030,81586,75923,55786,633698,131392,3175590,31275,205266,93920,1269089,1681,16336,280023,5422308,255590,705878,15665,19403,247273,602879,279438,1417459,230262,2239777,220881,597394,509576,20240373,231416,336551,44533,37020,139902,210191,31338,17053,23306,30144,0,0,0,0,1171,1595,484154,2582449,492134,2735229,108138,214851,403996,1204190
0,"$75,000 under $100,000",346720,237535,164085,851060,263136,30044369,309706,23631648,212974,296928,112930,367257,101632,258998,53920,560156,5021,76659,113168,45067,667447,100649,3086815,17085,114457,64595,1128222,2154,24100,247981,5489345,232570,924572,9264,17064,229546,648963,247704,1687097,214391,2391510,206972,643178,345617,20490155,179778,295012,39806,35489,109978,181817,29351,16496,3613,4859,0,0,0,0,2052,3412,340982,2818145,342522,3025984,79068,192862,266960,975294
0,"$100,000 under $200,000",505026,410838,232448,1389975,470577,68732997,465537,54673759,375738,625286,231639,978716,211995,720030,91102,1640527,6363,167884,528844,67706,1485385,157627,6175688,17918,122756,77766,1531691,9055,134238,452267,13797839,436269,2913544,8338,16701,427399,1696564,452034,4841325,397553,5690757,401423,1575182,504339,49977989,272169,359691,73502,73575,108756,145508,53807,29862,669,916,0,0,0,0,20269,40664,502829,8639503,503366,8971646,158600,643975,345481,1605370
0,"$200,000 or more",163727,147784,98265,491315,179323,70778879,150855,40352570,146368,1197594,114413,2159776,108164,1696358,36832,2526456,2621,99006,7905206,22091,1071173,51718,2869040,2830,19201,21212,471930,14011,488358,161803,10793538,157336,3558721,2792,9839,156131,1155759,161762,4842830,138852,3046569,151831,1940703,163561,58230529,86378,229476,25502,34458,70,60,18732,9865,0,0,0,0,0,0,114986,687907,163505,15114851,163572,15239972,77568,1433219,85406,1705418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Accomack County,16258,5840,9448,33374,10328,629253,13441,441691,4763,13321,2655,11309,2358,8049,2438,22754,210,1891,8670,1394,17276,3257,71282,1032,5328,2289,24524,60,824,3772,74718,3071,12820,372,330,3173,5507,3752,20515,2683,23101,3094,11695,11545,366351,5004,4758,819,719,2784,2686,403,225,3454,4583,4247,9575,3750,8671,116,635,9569,53476,10525,57706,2353,7871,13410,36956
