County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,VERMONT,317749,124170,160564,572799,150651,15670618,262205,11293732,143986,257452,79109,475320,71576,353251,58619,693351,4368,56329,626840,32885,414192,56935,990969,36557,221810,38282,439272,2858,42173,96417,2130947,85335,444380,8073,7053,90693,451682,96105,905190,77569,659440,70186,224502,244170,10533057,103969,131575,20947,16990,45710,58049,13538,6881,26404,31263,46863,81556,37792,68509,7055,55517,221110,1676234,239231,1804878,51609,183437,250144,649418
0,Under $1,6667,1962,4572,9331,1534,-288235,1899,33819,2999,11782,2410,8715,2218,5661,2196,-30644,581,2950,7666,481,6331,605,4897,166,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,256,339,888,853,626,590,0,0,0,0,1011,1702,457,518,2656,7137
0,"$1 under $25,000",125249,17664,55863,155734,32785,1476444,94169,1042985,37361,33196,19025,36761,16771,21807,18961,122302,1213,12685,-364,10005,48794,17817,136604,15730,87846,4622,7649,146,730,9431,140617,4324,4046,4012,2324,7663,25621,9232,32705,5495,37545,5236,7105,60562,383030,14862,5195,1064,418,3753,1442,827,288,15208,16389,33857,61403,28020,53099,0,0,50520,35604,63060,56891,13030,8252,100585,160203
0,"$25,000 under $50,000",79522,24093,38960,140067,35738,2866208,70504,2275935,31311,33298,14993,43619,13427,28063,13045,128048,906,9695,11730,7363,60661,13190,192023,10932,68682,12861,76682,340,2721,18459,261544,15587,20681,2189,1759,16858,53979,18392,77835,14664,100772,10717,16556,77650,1622996,30360,26277,4666,3015,14420,14155,2928,1473,9322,12558,12118,19300,9146,14820,0,0,67055,175380,70769,199655,10711,14743,68316,158677
0,"$50,000 under $75,000",44687,27981,24977,101144,28323,2749934,40126,2121925,25825,32785,13237,49312,11935,33402,9587,110307,655,8805,22370,5600,62467,9935,197076,5441,35810,8872,121658,405,3750,20467,336714,19053,41870,954,1099,19560,74221,20449,118914,17246,133288,13953,24977,44470,1802077,22293,31740,5329,3940,12306,19145,3299,1685,1428,1724,0,0,0,0,43,109,42583,217775,43263,238663,9422,18463,35103,97943
0,"$75,000 under $100,000",27266,22341,15148,70538,20851,2352400,24782,1817337,18398,24773,10210,43979,9276,31236,5957,79750,418,6887,26418,3984,60343,6908,168743,2671,16880,5473,98213,385,3724,17277,328475,16533,52474,429,895,16729,74506,17263,129850,14997,128643,13104,26951,27188,1658454,15531,25447,4093,3340,8711,14476,2873,1578,151,213,0,0,0,0,109,320,26847,212209,26954,227715,6072,15193,21134,71165
0,"$100,000 under $200,000",27613,24271,15733,76730,24775,3621236,24945,2657759,21842,45571,14173,97797,13106,72410,6812,151822,450,10664,94870,4283,109753,7005,226534,1463,10197,5099,104896,941,14365,24154,598162,23380,137504,379,739,23457,152124,24143,286626,20332,190031,20937,60614,27567,2708541,16894,24827,4820,4568,6520,8831,3148,1631,39,40,0,0,0,0,1396,3200,27379,443642,27444,471574,8709,40802,18838,88115
0,"$200,000 or more",6745,5858,5311,19255,6645,2892631,5780,1343972,6250,76047,5061,195137,4843,160672,2061,131766,145,4643,464150,1169,65843,1475,65092,154,1228,1355,30174,641,16883,6629,465435,6458,187805,110,237,6426,71231,6626,259260,4835,69161,6239,88299,6733,2357959,4006,18088,975,1709,0,0,463,226,0,0,0,0,0,0,5507,51888,6726,591624,6730,608678,3208,85466,3512,66178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Addison County,18269,7558,9828,33976,8957,875130,15028,624174,8050,13069,4695,28862,4306,21511,3861,48717,507,3436,46341,1889,24682,3044,53269,2160,13607,2201,25905,187,2664,5731,120984,5009,22336,528,476,5366,26631,5711,49945,4500,37393,4142,14883,13992,583958,6137,7527,1339,1057,2745,3592,755,363,1542,1989,2538,4273,1968,3479,350,2434,12592,86791,13840,95392,3172,11968,14140,36206
1,Under $1,446,151,300,666,109,-22262,137,2645,212,477,157,735,146,575,126,-89,78,204,1690,34,235,48,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,69,46,49,0,0,0,0,78,170,27,51,205,561
1,"$1 under $25,000",6958,996,3310,8403,1653,80194,5188,54615,1990,1989,1117,2307,993,1418,1162,8457,131,775,386,556,2739,937,6697,911,5094,245,378,0,0,618,8649,256,240,272,202,474,1647,607,2131,334,2224,338,434,3298,20738,768,257,73,39,192,75,32,11,787,830,1748,3063,1394,2570,0,0,2785,1940,3578,3333,807,528,5463,8079
1,"$25,000 under $50,000",4569,1455,2409,8735,2291,165096,4059,129469,1723,2091,865,2774,771,1971,911,9282,88,592,1170,408,3318,684,9074,650,4426,707,4084,34,264,1070,15503,893,1197,131,82,987,3297,1065,4656,845,6006,618,1075,4410,90906,1756,1551,285,188,890,868,156,70,636,1000,729,1141,528,860,0,0,3710,9640,4022,11295,631,989,3901,9294
1,"$50,000 under $75,000",2738,1869,1649,6503,1891,168272,2468,129397,1532,1979,824,2989,764,1958,706,9187,82,554,1618,333,3647,535,10589,375,2643,511,6775,31,288,1253,20042,1176,2409,56,58,1193,4634,1252,7192,1045,8241,837,1596,2730,109055,1439,2098,374,283,772,1239,219,108,119,159,0,0,0,0,0,0,2593,12667,2642,14323,641,1383,2089,5677
1,"$75,000 under $100,000",1620,1365,932,4282,1288,139108,1477,108148,1028,1553,591,2836,548,1945,419,4228,52,411,2482,233,3537,358,8191,146,851,327,5800,30,348,1033,19562,990,3165,27,38,1005,4785,1032,8081,882,7588,789,1778,1617,97432,944,1575,269,209,517,898,169,89,0,0,0,0,0,0,0,0,1593,12086,1603,12995,381,946,1236,4082
1,"$100,000 under $200,000",1598,1419,953,4443,1425,208775,1419,148812,1256,2682,865,7040,822,5275,428,8813,76,644,6855,252,5784,394,13643,78,593,313,6576,58,685,1425,35587,1375,7898,42,96,1388,9024,1425,17155,1174,10598,1238,4325,1597,155057,1015,1496,293,271,374,512,179,85,0,0,0,0,0,0,84,137,1571,24765,1577,26550,525,2257,1067,5425
