County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,WASHINGTON,3166134,1303120,1428094,6395926,1915367,190610688,2608437,138937594,1384721,3287351,714879,4729518,637773,3490309,431171,5962381,26078,563549,8087808,291733,4953088,584638,12765920,395453,3725860,385358,4728062,21452,394243,1129829,27050756,69626,502136,950691,2036230,1049105,4055975,1117436,6699864,956304,12065052,888548,3614627,2505779,134095948,1057128,1437913,127535,114048,534144,671463,114797,58951,368235,508603,448256,878410,385755,773963,59408,292042,2247534,23849802,2380192,24779041,562110,2395676,2481210,8331526
0,Under $1,55107,17370,35218,82004,15586,-4777619,15066,494785,24560,298460,17094,185826,15178,122541,17175,-428885,2425,22546,450935,3615,80061,5670,71794,1186,12364,79,495,121,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,7496,0,0,36,51,0,0,2926,4477,6187,6992,4589,4935,101,3457,110,59108,7611,18540,3422,8295,23051,199845
0,"$1 under $25,000",1085644,156730,442951,1611074,426029,13735117,834042,10039865,270229,293532,122193,249456,105259,130432,120836,809714,4444,94121,-35733,61717,360708,138535,1312643,131392,1012835,43169,72836,802,3982,98547,1684894,3147,5522,78995,86406,78468,231653,94129,333198,62098,568869,60093,102601,521063,3239748,148565,54709,3950,1644,44912,15526,7882,2452,208708,256951,311112,654079,275518,589101,404,666,419488,292893,507178,438105,105856,65266,895862,1691900
0,"$25,000 under $50,000",769361,241529,336878,1536513,470809,27940489,649839,21547300,271655,335982,111757,294345,97609,167516,86356,877579,4612,85189,35760,63013,583690,134569,2364716,122039,1297125,118634,750063,1576,10971,200694,3361217,9807,19299,163687,201997,177541,501330,196872,744586,159184,1477866,136505,274171,733547,14715200,302396,267904,21535,15006,175192,165943,25844,13445,130590,210002,130957,217339,105648,179927,1008,1561,607143,1576849,636147,1755221,111747,155226,651631,1659014
0,"$50,000 under $75,000",465695,251281,215982,1046431,316899,28715910,401613,22044759,244379,333711,111912,344367,98601,201580,66365,740762,4420,82595,95514,54789,718304,108908,2580012,66794,646813,89523,1263222,2135,19005,235329,4436778,13936,41623,195733,305356,218710,659178,233108,1033336,202969,2134344,177146,418630,462332,18392666,205578,298203,28375,22899,130740,207143,20746,10517,22633,32350,0,0,0,0,723,1291,437508,2341118,444290,2499822,98207,204041,365779,1110335
0,"$75,000 under $100,000",307963,225524,143629,775832,238330,26665283,271710,20647612,195523,287353,100994,317354,89890,201807,49124,659983,3598,73029,157854,42046,761804,80254,2234179,37397,369605,59855,1104009,2257,24370,200727,4292873,13116,51658,169901,335090,191458,649244,199674,1060539,179620,2154496,163148,455705,307186,18459404,153813,250398,25419,22308,97321,165814,19555,10560,2842,4103,0,0,0,0,1142,2345,303170,2520697,304340,2660181,71558,192999,235615,841622
0,"$100,000 under $200,000",382204,323405,185265,1051063,342430,50829322,347983,39880485,287846,564350,178410,754073,162531,521743,68114,1511919,4836,137500,704396,52586,1482837,96789,3234278,32752,340057,59897,1216767,7050,108971,302976,8018265,20494,125644,263197,734747,293937,1276050,302225,2132789,276018,4041317,266558,998184,381668,38172848,195600,277501,38274,37725,85894,116939,31937,17267,536,720,0,0,0,0,8389,19575,380250,6536027,380686,6828861,125249,572198,255824,1192599
0,"$200,000 or more",100160,87281,68171,293009,105284,47502186,88184,24282788,90529,1173963,72519,2584097,68705,2144690,23201,1791309,1743,68569,6679082,13967,965684,19913,968298,3893,47061,14201,320670,7511,225249,91556,5256729,9126,258390,79178,372634,88991,738520,91428,1395416,76415,1688160,85098,1365336,99983,41116082,51002,281702,9982,14466,49,47,8833,4710,0,0,0,0,0,0,47641,263147,99865,10523110,99940,10578311,46071,1197651,53448,1636211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,8013,3319,4880,22590,8262,308070,6955,230130,1955,5161,1023,12032,718,2786,760,7363,305,745,12576,388,4163,855,13658,1068,5769,730,7984,0,0,1038,19908,25,60,893,1396,877,2115,1019,3683,750,5871,734,3941,5238,177493,2873,3062,209,190,2037,2231,208,109,3091,5643,1500,3521,1342,3180,73,198,3852,26146,4214,28236,1079,5679,6690,21177
