County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,WISCONSIN,2740725,1126361,1495298,5366058,1583562,143746968,2279396,105335185,1275292,2179817,650875,2577856,587535,1900854,343943,3522320,60817,454058,3880682,319052,4351817,537858,9796129,434270,2709492,337676,3850785,15128,226130,1004466,21952179,893213,5608939,83008,79465,933943,4114800,1001681,10027528,803046,6258118,802367,2510944,2115930,95592379,983655,1237905,200077,155831,461554,609057,102928,46047,295882,406259,389673,775243,337006,683531,58904,379639,1885815,15927917,2006127,16679272,457168,1610937,2150815,5853360
0,Under $1,56361,13338,31396,78140,13565,-2551280,12633,287619,19455,85589,13465,52545,12152,37573,12879,-150326,6910,18509,143976,3551,50170,4922,42026,1237,8809,34,281,68,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1486,0,0,0,0,0,0,2109,3305,5523,7042,3882,4978,52,1903,48,434,6849,11956,3073,4261,31268,77573
0,"$1 under $25,000",1048835,135500,516136,1411005,356695,12718704,802668,8949061,315612,298805,148050,210959,130507,119305,103651,611122,14985,99779,-6668,96823,518990,161510,1250259,156328,1017561,44368,64588,589,2834,93277,1349450,38491,45021,44478,31064,75361,261773,91466,350806,48824,288827,61959,97268,505454,3058460,152253,55210,9198,3576,38280,13847,6612,2107,172073,204407,279126,594731,249099,535736,735,353,404455,271407,484810,387302,110155,54517,834273,1431483
0,"$25,000 under $50,000",652398,211106,360216,1265728,359513,23664127,571247,18427610,267215,287447,121804,236100,108678,145017,70657,541753,13859,78985,84807,75268,685824,129134,1951643,125195,782085,115886,705003,1341,8370,193190,2747384,164946,336628,22105,21933,173519,574569,192587,956457,147266,872660,130669,226177,629832,12705878,277149,236185,43259,28212,135863,129024,19003,8640,100676,169628,105024,173470,84025,142817,117,298,525683,1340105,551280,1475024,89789,108342,558539,1328194
0,"$50,000 under $75,000",407610,260357,241948,961770,288211,25158061,364829,19418714,239517,271848,113428,253438,102002,165950,58894,506478,10500,73435,122878,55881,689872,99785,2114690,79668,489362,80351,1141616,1877,13681,226557,3799488,212739,706766,8909,12479,212494,784112,226325,1535856,189227,1306039,174053,340979,405948,16037856,209626,308677,52870,38855,120797,193984,22504,10260,18679,25645,0,0,0,0,450,650,384880,1910388,391228,2038518,85300,148773,321200,895340
0,"$75,000 under $100,000",262330,222270,154212,716721,230789,22648665,239025,17655236,180815,226284,92994,234256,84260,160699,40728,435074,6660,60731,162472,39603,661981,67933,1812096,44016,249247,49207,920273,2020,18632,198351,3847110,190959,904304,4073,6472,190151,791411,198272,1734989,172368,1310643,167111,372499,261873,15486286,155965,271244,42283,33740,93344,165138,23027,11014,2017,2773,0,0,0,0,890,1419,258911,1933143,259797,2039470,58821,133188,203040,667620
0,"$100,000 under $200,000",256434,233064,148359,760343,269948,33278354,237595,26032188,200629,362808,119729,474028,110400,345437,44192,833058,6166,85129,497091,38693,1000741,62848,2090983,26065,149724,39074,812931,5049,68766,237168,5980814,231227,1736592,2739,5487,229287,1193451,237125,2998640,203508,1844584,215468,675865,256153,24317085,157626,239229,44073,40011,73237,107035,27869,12283,328,501,0,0,0,0,11588,21665,255196,3931071,255506,4110631,82559,335751,173412,749303
0,"$200,000 or more",56757,50726,43031,172351,64841,28830337,51399,14564757,52049,647036,41405,1116530,39536,926873,12942,745161,1737,37490,2876126,9233,744239,11726,534432,1761,12704,8756,206093,4184,113179,55923,4227933,54851,1879628,704,2030,53131,509484,55906,2450780,41853,635365,53107,798156,56670,23986814,30906,125874,8394,11437,33,29,3913,1743,0,0,0,0,0,0,45072,353351,56642,6541369,56657,6616371,27471,826105,29083,703847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adams County,8915,4092,5360,16361,3763,330893,6663,210453,4043,5976,1805,4035,1572,2555,1138,7354,246,1330,4556,1406,18551,2678,50361,1849,10683,1746,17155,23,272,2658,48201,2181,8845,383,302,2520,9486,2649,19183,2070,13965,1947,4104,6310,195228,2431,2409,610,423,1027,1294,157,66,824,988,1530,2798,1317,2474,70,335,5695,26579,6126,28523,1392,2977,6872,15496
