County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,WEST VIRGINIA,777614,345096,400268,1545841,450607,35354321,646233,26112246,264410,470702,114569,430826,100186,332367,94238,1180424,14367,71805,1046448,62870,725937,178825,3033513,80402,504121,100688,1012824,3119,68151,146564,3115195,133573,882437,8747,9010,129350,188734,146012,1133162,116849,951118,105085,465273,574547,22931132,232237,261750,38499,28590,128079,162126,17525,7889,96876,113055,162119,330422,143252,299349,9969,62192,517283,3616107,552913,3851335,101740,341510,647721,1820659
0,Under $1,8218,2620,5075,11779,1744,-320915,1816,38922,2906,9435,1985,5777,1784,4158,2783,-59813,793,2456,24275,443,4898,1050,11368,145,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,246,341,711,647,499,448,23,405,28,403,977,2271,480,866,3603,12695
0,"$1 under $25,000",340415,70897,163033,522308,143318,4165991,262229,2979920,73421,84289,27607,40672,23494,25233,32787,192876,3582,15840,93,19371,92551,64773,595644,32719,192736,15039,21746,92,501,11153,161230,5418,6583,4254,2790,7751,8732,10823,20661,6275,42496,6073,13547,150073,880061,38328,12228,2803,1013,11926,4152,1188,305,65148,70720,123019,263514,111466,242791,33,9,125121,81465,152441,117801,24491,12690,292789,591073
0,"$25,000 under $50,000",185744,81214,94973,379411,109278,6704899,160582,5197063,58611,77871,22765,43328,19633,29344,19833,150183,3247,13195,11615,15645,127641,44436,724145,23903,161089,38665,217563,165,976,24524,345042,21108,38001,2538,2707,20035,20775,24398,67323,18311,118637,14649,39643,181578,3563257,75102,65952,9536,6158,43541,42937,3760,1614,28036,37956,38389,66261,31287,56110,25,41,153049,370384,159439,405823,22529,28350,162630,439466
0,"$50,000 under $75,000",109904,75199,59719,266331,79811,6763878,98990,5363133,47714,67834,19745,47657,17091,34016,14640,128448,2776,11637,19586,11153,127275,29544,600543,13604,84362,22505,307003,223,2037,30407,490592,28735,86463,955,1348,26705,30053,30355,126319,24853,177703,20124,59528,109666,4483086,51718,77178,9875,7272,35088,56181,4138,1823,3181,3686,0,0,0,0,178,180,106256,547014,107114,582790,19785,38547,89990,269172
0,"$75,000 under $100,000",64409,54014,35632,172820,53758,5547162,59413,4461342,34162,50910,14858,40936,13031,30377,9506,106031,1767,8950,24737,7336,113970,18776,450734,6138,37763,12522,222918,269,2830,28054,513443,27112,119668,455,763,25783,32500,28035,162572,24127,189192,20582,69885,64347,4002129,33197,54705,7229,5696,22897,38301,3553,1707,224,302,0,0,0,0,280,400,64040,527641,64126,552622,12315,31835,52033,191393
0,"$100,000 under $200,000",57639,51272,32928,161086,51808,7485554,53436,5801142,37861,81692,20257,87411,18192,68219,10796,250046,1736,13445,90242,7298,177173,17415,537106,3648,25074,9799,194132,980,14983,41511,936319,40499,300189,420,1030,38946,62269,41494,382607,35393,313485,33823,141737,57608,5782495,28894,39982,7797,6752,14627,20555,4251,2112,41,50,0,0,0,0,1610,3648,57515,986443,57542,1037334,17041,83324,40528,191951
0,"$200,000 or more",11285,9880,8908,32106,10890,5007752,9767,2270724,9735,98671,7352,165045,6961,141020,3893,412653,466,6282,875900,1624,82429,2831,113973,245,2059,2158,49462,1390,46824,10915,668569,10701,331533,125,372,10130,34405,10907,373680,7890,109605,9834,140933,11275,4220104,4976,11701,1259,1699,0,0,635,328,0,0,0,0,0,0,7820,57509,11274,1102757,11274,1152694,5099,145898,6148,124909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barbour County,6500,3115,3745,13344,3940,235803,5329,180730,2202,3746,679,1427,567,1033,793,6312,349,467,3248,460,4064,1422,20318,1082,6767,698,6125,0,0,724,13339,643,3154,55,49,587,427,720,3792,526,3510,486,1936,4572,138775,1952,2092,264,188,1068,1326,128,51,962,1132,1618,3419,1428,3134,34,101,3958,18676,4316,20155,738,1830,5545,15083
