County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,WYOMING,276130,114617,150319,540655,158967,17670363,233453,11043150,108653,497842,54596,963781,48735,837593,43020,446937,9545,43794,2055726,23432,393460,49866,997171,24625,156538,32193,370635,1231,21827,70243,1890950,5936,83526,55912,66813,62316,139703,68655,329061,55878,580677,47030,513643,218378,13117992,93704,129157,14887,12039,49184,68606,10992,5361,28551,38740,39780,74047,34221,66248,3526,35308,197088,2281974,209202,2388816,46576,275268,220465,770125
0,Under $1,5676,1905,3922,8459,1408,-573267,1584,45765,2721,36811,1703,23423,1512,15714,1779,-35762,1053,2270,117997,359,10264,595,10147,108,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,249,416,510,633,379,467,0,0,20,150,830,2429,370,829,2922,15768
0,"$1 under $25,000",98035,12937,46285,130909,32642,1193862,79317,915687,23269,37151,10831,19393,9489,10876,11203,58536,1866,8241,1293,5113,28713,11821,103690,9117,55881,3585,5987,44,153,5961,94452,293,497,4631,3567,4326,7145,5679,13705,3266,25611,3333,6494,48254,302636,12737,4769,624,248,3491,1302,787,231,15898,18076,28520,55581,25189,50987,23,14,39867,27652,47788,39679,8718,5337,83273,154043
0,"$25,000 under $50,000",64896,20788,33203,124942,36510,2372731,55870,1873766,21465,75389,9483,24074,8278,15046,8737,69108,1702,7263,15291,5174,44011,11324,183003,7857,53744,10257,62168,95,580,12906,201717,814,1316,9467,7170,10220,15030,11980,28336,9092,71707,6994,17618,62895,1309332,26609,24561,2638,1687,14502,14409,2258,1003,9906,16242,10750,17833,8653,14794,20,21,52827,139091,55352,154666,8662,12401,55858,162400
0,"$50,000 under $75,000",42692,24757,24712,100544,32141,2641809,38171,2116373,19435,29599,9091,25252,8050,16319,7377,61272,1582,6814,20072,4495,53113,9503,201529,4024,24797,7433,101058,123,961,15418,257919,1220,2713,12103,11182,13690,20747,15147,40586,12727,114384,9478,29390,42505,1755898,20443,31003,3729,2736,13558,22981,2473,1172,2207,3519,0,0,0,0,109,131,40095,220300,40788,235046,8410,18713,34160,107533
0,"$75,000 under $100,000",28903,22685,17525,76694,24807,2499465,26393,2004135,15799,25291,7763,23779,6901,16474,5530,55018,1229,5926,27834,3392,53608,7271,176674,2072,12309,4953,85332,152,1335,13327,250780,1107,3317,10874,12649,12430,21219,13263,43962,11649,117463,8968,32408,28845,1804185,15215,25847,3260,2540,10146,18678,2402,1292,255,424,0,0,0,0,151,286,28495,241091,28617,254306,6548,18573,22290,81755
0,"$100,000 under $200,000",29355,26068,18991,81847,26255,3809712,26904,2890125,19926,47168,11183,58734,10200,44260,6382,119193,1493,8868,81405,3791,96537,7840,235556,1360,8267,4452,83627,412,6469,17486,393560,1562,7129,14756,22973,16782,37891,17449,79526,15529,185694,13678,63433,29325,2987709,15333,22140,3960,3598,7487,11236,2777,1498,36,63,0,0,0,0,531,1627,29231,506304,29266,532174,10719,57423,18577,86420
0,"$200,000 or more",6573,5477,5681,17260,5204,5726051,5214,1197299,6038,246433,4542,789126,4305,718904,2012,119572,620,4412,1791834,1108,107214,1512,86572,87,646,1513,32463,405,12329,5145,692522,940,68554,4081,9272,4868,37671,5137,122946,3615,65818,4579,364300,6554,4958232,3340,20814,676,1230,0,0,295,165,0,0,0,0,0,0,2692,33229,6553,1147386,6561,1170516,3149,161992,3385,162206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Albany County,16137,5635,6856,27466,6662,787960,13807,570703,6563,15777,3474,19112,3151,15040,2494,20601,283,2601,23751,1106,14150,2562,59380,899,5711,1620,20695,97,1437,3740,73497,263,1885,3016,3676,3343,6658,3649,13971,2958,29973,2673,12986,12372,552843,5509,6737,712,624,2093,2770,712,405,1232,1614,2105,3278,1821,2961,174,700,11022,90508,11698,95238,2605,8802,12967,34241
