"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	12	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	22	4430141	0.5
	"Alabama"	"01"	"1999"	"1999"	"Septicaemia, unspecified"	"A41.9"	643	4430141	14.5
	"Alabama"	"01"	"1999"	"1999"	"Bacterial infection, unspecified"	"A49.9"	16	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	10	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Acute hepatitis C"	"B17.1"	37	4430141	0.8
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in other bacterial infections"	"B20.1"	11	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in multiple infections"	"B20.7"	13	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	17	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in encephalopathy"	"B22.0"	10	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	14	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"HIV disease resulting in other specified conditions"	"B23.8"	32	4430141	0.7
	"Alabama"	"01"	"1999"	"1999"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	44	4430141	1.0
	"Alabama"	"01"	"1999"	"1999"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	24	4430141	0.5
	"Alabama"	"01"	"1999"	"1999"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	22	4430141	0.5
	"Alabama"	"01"	"1999"	"1999"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	19	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	12	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	11	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	12	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	32	4430141	0.7
	"Alabama"	"01"	"1999"	"1999"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	150	4430141	3.4
	"Alabama"	"01"	"1999"	"1999"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	182	4430141	4.1
