"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alaska"	"02"	"Septicaemia, unspecified"	"A41.9"	19	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	13	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	23	624779	3.7
	"1999"	"1999"	"Alaska"	"02"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	49	624779	7.8
	"1999"	"1999"	"Alaska"	"02"	"Malignant neoplasm of rectum"	"C20"	10	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	46	624779	7.4
	"1999"	"1999"	"Alaska"	"02"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	178	624779	28.5
	"1999"	"1999"	"Alaska"	"02"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	42	624779	6.7
	"1999"	"1999"	"Alaska"	"02"	"Malignant neoplasm of prostate"	"C61"	20	624779	3.2
	"1999"	"1999"	"Alaska"	"02"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	18	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	17	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Malignant neoplasm without specification of site"	"C80"	48	624779	7.7
	"1999"	"1999"	"Alaska"	"02"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	17	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	15	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	12	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	13	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Unspecified diabetes mellitus, without complications"	"E14.9"	33	624779	5.3
	"1999"	"1999"	"Alaska"	"02"	"Unspecified dementia"	"F03"	29	624779	4.6
	"1999"	"1999"	"Alaska"	"02"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	28	624779	4.5
	"1999"	"1999"	"Alaska"	"02"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	13	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Parkinson disease"	"G20"	15	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Alzheimer disease, unspecified"	"G30.9"	24	624779	3.8
	"1999"	"1999"	"Alaska"	"02"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	13	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Acute myocardial infarction, unspecified"	"I21.9"	123	624779	19.7
	"1999"	"1999"	"Alaska"	"02"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	105	624779	16.8
	"1999"	"1999"	"Alaska"	"02"	"Atherosclerotic heart disease"	"I25.1"	144	624779	23.0
	"1999"	"1999"	"Alaska"	"02"	"Aortic (valve) stenosis"	"I35.0"	13	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Cardiomyopathy, unspecified"	"I42.9"	25	624779	4.0
	"1999"	"1999"	"Alaska"	"02"	"Atrial fibrillation and flutter"	"I48"	12	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Congestive heart failure"	"I50.0"	40	624779	6.4
	"1999"	"1999"	"Alaska"	"02"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	12	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Intracerebral haemorrhage, unspecified"	"I61.9"	23	624779	3.7
