"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"California"	"06"	"Enterocolitis due to Clostridium difficile"	"A04.7"	74	33499204	0.2
	"1999"	"1999"	"California"	"06"	"Other specified bacterial intestinal infections"	"A04.8"	12	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Viral intestinal infection, unspecified"	"A08.4"	12	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	86	33499204	0.3
	"1999"	"1999"	"California"	"06"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	31	33499204	0.1
	"1999"	"1999"	"California"	"06"	"Miliary tuberculosis, unspecified"	"A19.9"	17	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Pulmonary mycobacterial infection"	"A31.0"	19	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Meningococcal meningitis"	"A39.0"	10	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Meningococcaemia, unspecified"	"A39.4"	13	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Septicaemia due to streptococcus, group D"	"A40.2"	17	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	23	33499204	0.1
	"1999"	"1999"	"California"	"06"	"Streptococcal septicaemia, unspecified"	"A40.9"	12	33499204	Unreliable
	"1999"	"1999"	"California"	"06"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	42	33499204	0.1
	"1999"	"1999"	"California"	"06"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	49	33499204	0.1
	"1999"	"1999"	"California"	"06"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	51	33499204	0.2
	"1999"	"1999"	"California"	"06"	"Septicaemia, unspecified"	"A41.9"	543	33499204	1.6
	"1999"	"1999"	"California"	"06"	"Staphylococcal infection, unspecified"	"A49.0"	44	33499204	0.1
	"1999"	"1999"	"California"	"06"	"Streptococcal infection, unspecified"	"A49.1"	15	33499204	Unreliable
