"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Colorado"	"08"	"Septicaemia, unspecified"	"A41.9"	229	4226018	5.4
	"1999"	"1999"	"Colorado"	"08"	"Acute hepatitis C"	"B17.1"	43	4226018	1.0
	"1999"	"1999"	"Colorado"	"08"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	10	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"HIV disease resulting in other specified conditions"	"B23.8"	10	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	26	4226018	0.6
	"1999"	"1999"	"Colorado"	"08"	"Unspecified mycosis"	"B49"	12	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	16	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	12	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	135	4226018	3.2
	"1999"	"1999"	"Colorado"	"08"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	140	4226018	3.3
	"1999"	"1999"	"Colorado"	"08"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	489	4226018	11.6
	"1999"	"1999"	"Colorado"	"08"	"Malignant neoplasm of rectosigmoid junction"	"C19"	24	4226018	0.6
	"1999"	"1999"	"Colorado"	"08"	"Malignant neoplasm of rectum"	"C20"	74	4226018	1.8
	"1999"	"1999"	"Colorado"	"08"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	42	4226018	1.0
	"1999"	"1999"	"Colorado"	"08"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	35	4226018	0.8
	"1999"	"1999"	"Colorado"	"08"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	49	4226018	1.2
	"1999"	"1999"	"Colorado"	"08"	"Malignant neoplasm of gallbladder"	"C23"	17	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	339	4226018	8.0
	"1999"	"1999"	"Colorado"	"08"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	26	4226018	0.6
	"1999"	"1999"	"Colorado"	"08"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1358	4226018	32.1
	"1999"	"1999"	"Colorado"	"08"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	17	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	92	4226018	2.2
	"1999"	"1999"	"Colorado"	"08"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	15	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	14	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	11	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	38	4226018	0.9
	"1999"	"1999"	"Colorado"	"08"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	489	4226018	11.6
	"1999"	"1999"	"Colorado"	"08"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	42	4226018	1.0
	"1999"	"1999"	"Colorado"	"08"	"Endometrium - Malignant neoplasms"	"C54.1"	24	4226018	0.6
