"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Hawaii"	"15"	"Septicaemia, unspecified"	"A41.9"	151	1210300	12.5
	"1999"	"1999"	"Hawaii"	"15"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	42	1210300	3.5
	"1999"	"1999"	"Hawaii"	"15"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	111	1210300	9.2
	"1999"	"1999"	"Hawaii"	"15"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	124	1210300	10.2
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm of rectum"	"C20"	33	1210300	2.7
	"1999"	"1999"	"Hawaii"	"15"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	45	1210300	3.7
	"1999"	"1999"	"Hawaii"	"15"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	16	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	20	1210300	1.7
	"1999"	"1999"	"Hawaii"	"15"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	134	1210300	11.1
	"1999"	"1999"	"Hawaii"	"15"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	452	1210300	37.3
	"1999"	"1999"	"Hawaii"	"15"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	15	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	11	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	140	1210300	11.6
	"1999"	"1999"	"Hawaii"	"15"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Endometrium - Malignant neoplasms"	"C54.1"	11	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm of ovary"	"C56"	34	1210300	2.8
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm of prostate"	"C61"	117	1210300	9.7
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	31	1210300	2.6
	"1999"	"1999"	"Hawaii"	"15"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	43	1210300	3.6
	"1999"	"1999"	"Hawaii"	"15"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	27	1210300	2.2
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm of thyroid gland"	"C73"	11	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasm without specification of site"	"C80"	101	1210300	8.3
	"1999"	"1999"	"Hawaii"	"15"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	74	1210300	6.1
	"1999"	"1999"	"Hawaii"	"15"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	38	1210300	3.1
	"1999"	"1999"	"Hawaii"	"15"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	24	1210300	2.0
	"1999"	"1999"	"Hawaii"	"15"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	17	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Anaemia, unspecified"	"D64.9"	10	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	25	1210300	2.1
	"1999"	"1999"	"Hawaii"	"15"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	14	1210300	Unreliable
	"1999"	"1999"	"Hawaii"	"15"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	28	1210300	2.3
	"1999"	"1999"	"Hawaii"	"15"	"Unspecified diabetes mellitus, without complications"	"E14.9"	114	1210300	9.4
	"1999"	"1999"	"Hawaii"	"15"	"Hyperlipidaemia, unspecified"	"E78.5"	10	1210300	Unreliable
