"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Idaho"	"16"	"Septicaemia, unspecified"	"A41.9"	52	1275674	4.1
	"1999"	"1999"	"Idaho"	"16"	"Acute hepatitis C"	"B17.1"	16	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	43	1275674	3.4
	"1999"	"1999"	"Idaho"	"16"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	28	1275674	2.2
	"1999"	"1999"	"Idaho"	"16"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	175	1275674	13.7
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of rectosigmoid junction"	"C19"	11	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of rectum"	"C20"	26	1275674	2.0
	"1999"	"1999"	"Idaho"	"16"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	13	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	16	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	123	1275674	9.6
	"1999"	"1999"	"Idaho"	"16"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	490	1275674	38.4
	"1999"	"1999"	"Idaho"	"16"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	31	1275674	2.4
	"1999"	"1999"	"Idaho"	"16"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	12	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	10	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	172	1275674	13.5
	"1999"	"1999"	"Idaho"	"16"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	11	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Endometrium - Malignant neoplasms"	"C54.1"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of uterus, part unspecified"	"C55"	12	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of ovary"	"C56"	71	1275674	5.6
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of prostate"	"C61"	159	1275674	12.5
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	50	1275674	3.9
	"1999"	"1999"	"Idaho"	"16"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	48	1275674	3.8
	"1999"	"1999"	"Idaho"	"16"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	68	1275674	5.3
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasm without specification of site"	"C80"	138	1275674	10.8
	"1999"	"1999"	"Idaho"	"16"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	78	1275674	6.1
	"1999"	"1999"	"Idaho"	"16"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	48	1275674	3.8
	"1999"	"1999"	"Idaho"	"16"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	21	1275674	1.6
	"1999"	"1999"	"Idaho"	"16"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	31	1275674	2.4
	"1999"	"1999"	"Idaho"	"16"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	12	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	10	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	18	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	34	1275674	2.7
	"1999"	"1999"	"Idaho"	"16"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	39	1275674	3.1
	"1999"	"1999"	"Idaho"	"16"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Unspecified diabetes mellitus, without complications"	"E14.9"	145	1275674	11.4
	"1999"	"1999"	"Idaho"	"16"	"Unspecified protein-energy malnutrition"	"E46"	13	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Volume depletion"	"E86"	20	1275674	1.6
	"1999"	"1999"	"Idaho"	"16"	"Unspecified dementia"	"F03"	132	1275674	10.3
	"1999"	"1999"	"Idaho"	"16"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	17	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Motor neuron disease"	"G12.2"	27	1275674	2.1
	"1999"	"1999"	"Idaho"	"16"	"Parkinson disease"	"G20"	66	1275674	5.2
	"1999"	"1999"	"Idaho"	"16"	"Alzheimer disease, unspecified"	"G30.9"	237	1275674	18.6
	"1999"	"1999"	"Idaho"	"16"	"Multiple sclerosis"	"G35"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Essential (primary) hypertension"	"I10"	30	1275674	2.4
	"1999"	"1999"	"Idaho"	"16"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	33	1275674	2.6
	"1999"	"1999"	"Idaho"	"16"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	18	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Hypertensive renal disease with renal failure"	"I12.0"	20	1275674	1.6
	"1999"	"1999"	"Idaho"	"16"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	14	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Acute myocardial infarction, unspecified"	"I21.9"	949	1275674	74.4
	"1999"	"1999"	"Idaho"	"16"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	136	1275674	10.7
	"1999"	"1999"	"Idaho"	"16"	"Atherosclerotic heart disease"	"I25.1"	618	1275674	48.4
	"1999"	"1999"	"Idaho"	"16"	"Ischaemic cardiomyopathy"	"I25.5"	46	1275674	3.6
	"1999"	"1999"	"Idaho"	"16"	"Other forms of chronic ischaemic heart disease"	"I25.8"	13	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	32	1275674	2.5
	"1999"	"1999"	"Idaho"	"16"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	46	1275674	3.6
	"1999"	"1999"	"Idaho"	"16"	"Primary pulmonary hypertension"	"I27.0"	15	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Mitral (valve) insufficiency"	"I34.0"	15	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Aortic (valve) stenosis"	"I35.0"	74	1275674	5.8
	"1999"	"1999"	"Idaho"	"16"	"Endocarditis, valve unspecified"	"I38"	32	1275674	2.5
	"1999"	"1999"	"Idaho"	"16"	"Dilated cardiomyopathy"	"I42.0"	17	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Cardiomyopathy, unspecified"	"I42.9"	40	1275674	3.1
	"1999"	"1999"	"Idaho"	"16"	"Cardiac arrest, unspecified"	"I46.9"	38	1275674	3.0
	"1999"	"1999"	"Idaho"	"16"	"Atrial fibrillation and flutter"	"I48"	51	1275674	4.0
	"1999"	"1999"	"Idaho"	"16"	"Ventricular fibrillation and flutter"	"I49.0"	16	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Cardiac arrhythmia, unspecified"	"I49.9"	34	1275674	2.7
	"1999"	"1999"	"Idaho"	"16"	"Congestive heart failure"	"I50.0"	183	1275674	14.3
	"1999"	"1999"	"Idaho"	"16"	"Heart failure, unspecified"	"I50.9"	16	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	25	1275674	2.0
	"1999"	"1999"	"Idaho"	"16"	"Intracerebral haemorrhage, unspecified"	"I61.9"	59	1275674	4.6
	"1999"	"1999"	"Idaho"	"16"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	12	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Cerebral infarction, unspecified"	"I63.9"	33	1275674	2.6
	"1999"	"1999"	"Idaho"	"16"	"Stroke, not specified as haemorrhage or infarction"	"I64"	458	1275674	35.9
	"1999"	"1999"	"Idaho"	"16"	"Cerebrovascular disease, unspecified"	"I67.9"	12	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	65	1275674	5.1
	"1999"	"1999"	"Idaho"	"16"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	64	1275674	5.0
	"1999"	"1999"	"Idaho"	"16"	"Generalized and unspecified atherosclerosis"	"I70.9"	44	1275674	3.4
	"1999"	"1999"	"Idaho"	"16"	"Dissection of aorta [any part]"	"I71.0"	10	1275674	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	28	1275674	2.2
