"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Kentucky"	"21"	"Enterocolitis due to Clostridium difficile"	"A04.7"	11	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	11	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Septicaemia, unspecified"	"A41.9"	524	4018053	13.0
	"1999"	"1999"	"Kentucky"	"21"	"Acute hepatitis C"	"B17.1"	38	4018053	0.9
	"1999"	"1999"	"Kentucky"	"21"	"HIV disease resulting in other specified conditions"	"B23.8"	15	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	12	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	13	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	26	4018053	0.6
	"1999"	"1999"	"Kentucky"	"21"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	15	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	36	4018053	0.9
	"1999"	"1999"	"Kentucky"	"21"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	178	4018053	4.4
	"1999"	"1999"	"Kentucky"	"21"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	163	4018053	4.1
	"1999"	"1999"	"Kentucky"	"21"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	732	4018053	18.2
	"1999"	"1999"	"Kentucky"	"21"	"Malignant neoplasm of rectosigmoid junction"	"C19"	22	4018053	0.5
	"1999"	"1999"	"Kentucky"	"21"	"Malignant neoplasm of rectum"	"C20"	84	4018053	2.1
	"1999"	"1999"	"Kentucky"	"21"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	56	4018053	1.4
	"1999"	"1999"	"Kentucky"	"21"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	39	4018053	1.0
	"1999"	"1999"	"Kentucky"	"21"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	80	4018053	2.0
	"1999"	"1999"	"Kentucky"	"21"	"Malignant neoplasm of gallbladder"	"C23"	24	4018053	0.6
	"1999"	"1999"	"Kentucky"	"21"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	397	4018053	9.9
	"1999"	"1999"	"Kentucky"	"21"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	16	4018053	Unreliable
