"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Maine"	"23"	"Septicaemia, unspecified"	"A41.9"	100	1266808	7.9
	"1999"	"1999"	"Maine"	"23"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	68	1266808	5.4
	"1999"	"1999"	"Maine"	"23"	"Cardia - Malignant neoplasms"	"C16.0"	11	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	40	1266808	3.2
	"1999"	"1999"	"Maine"	"23"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	265	1266808	20.9
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of rectosigmoid junction"	"C19"	13	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of rectum"	"C20"	44	1266808	3.5
	"1999"	"1999"	"Maine"	"23"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	27	1266808	2.1
	"1999"	"1999"	"Maine"	"23"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	17	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	18	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	163	1266808	12.9
	"1999"	"1999"	"Maine"	"23"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	12	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	22	1266808	1.7
	"1999"	"1999"	"Maine"	"23"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	814	1266808	64.3
	"1999"	"1999"	"Maine"	"23"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	33	1266808	2.6
	"1999"	"1999"	"Maine"	"23"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	22	1266808	1.7
	"1999"	"1999"	"Maine"	"23"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	20	1266808	1.6
	"1999"	"1999"	"Maine"	"23"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	219	1266808	17.3
	"1999"	"1999"	"Maine"	"23"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	19	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Endometrium - Malignant neoplasms"	"C54.1"	20	1266808	1.6
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of uterus, part unspecified"	"C55"	20	1266808	1.6
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of ovary"	"C56"	81	1266808	6.4
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of prostate"	"C61"	148	1266808	11.7
	"1999"	"1999"	"Maine"	"23"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	69	1266808	5.4
	"1999"	"1999"	"Maine"	"23"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	82	1266808	6.5
	"1999"	"1999"	"Maine"	"23"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	74	1266808	5.8
	"1999"	"1999"	"Maine"	"23"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	10	1266808	Unreliable
