"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"New Hampshire"	"33"	"Septicaemia, unspecified"	"A41.9"	49	1222014	4.0
	"1999"	"1999"	"New Hampshire"	"33"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	71	1222014	5.8
	"1999"	"1999"	"New Hampshire"	"33"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	39	1222014	3.2
	"1999"	"1999"	"New Hampshire"	"33"	"Caecum - Malignant neoplasms"	"C18.0"	12	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	14	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	171	1222014	14.0
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of rectosigmoid junction"	"C19"	12	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of rectum"	"C20"	49	1222014	4.0
	"1999"	"1999"	"New Hampshire"	"33"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	23	1222014	1.9
	"1999"	"1999"	"New Hampshire"	"33"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	13	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	15	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of gallbladder"	"C23"	14	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	119	1222014	9.7
	"1999"	"1999"	"New Hampshire"	"33"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	14	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Main bronchus - Malignant neoplasms"	"C34.0"	11	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	123	1222014	10.1
	"1999"	"1999"	"New Hampshire"	"33"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	48	1222014	3.9
	"1999"	"1999"	"New Hampshire"	"33"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	474	1222014	38.8
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	24	1222014	2.0
	"1999"	"1999"	"New Hampshire"	"33"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	10	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	187	1222014	15.3
	"1999"	"1999"	"New Hampshire"	"33"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	12	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Endometrium - Malignant neoplasms"	"C54.1"	13	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of uterus, part unspecified"	"C55"	12	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of ovary"	"C56"	60	1222014	4.9
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of prostate"	"C61"	119	1222014	9.7
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	42	1222014	3.4
	"1999"	"1999"	"New Hampshire"	"33"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	65	1222014	5.3
	"1999"	"1999"	"New Hampshire"	"33"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	48	1222014	3.9
	"1999"	"1999"	"New Hampshire"	"33"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	12	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Malignant neoplasm without specification of site"	"C80"	133	1222014	10.9
	"1999"	"1999"	"New Hampshire"	"33"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	70	1222014	5.7
	"1999"	"1999"	"New Hampshire"	"33"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	32	1222014	2.6
	"1999"	"1999"	"New Hampshire"	"33"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	27	1222014	2.2
	"1999"	"1999"	"New Hampshire"	"33"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	31	1222014	2.5
