"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Montana"	"30"	"Septicaemia, unspecified"	"A41.9"	64	897507	7.1
	"1999"	"1999"	"Montana"	"30"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	41	897507	4.6
	"1999"	"1999"	"Montana"	"30"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	26	897507	2.9
	"1999"	"1999"	"Montana"	"30"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	147	897507	16.4
	"1999"	"1999"	"Montana"	"30"	"Malignant neoplasm of rectum"	"C20"	25	897507	2.8
	"1999"	"1999"	"Montana"	"30"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	19	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	10	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	12	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	88	897507	9.8
	"1999"	"1999"	"Montana"	"30"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	506	897507	56.4
	"1999"	"1999"	"Montana"	"30"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	22	897507	2.5
	"1999"	"1999"	"Montana"	"30"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	125	897507	13.9
	"1999"	"1999"	"Montana"	"30"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	15	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Endometrium - Malignant neoplasms"	"C54.1"	10	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Malignant neoplasm of ovary"	"C56"	52	897507	5.8
	"1999"	"1999"	"Montana"	"30"	"Malignant neoplasm of prostate"	"C61"	129	897507	14.4
	"1999"	"1999"	"Montana"	"30"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	36	897507	4.0
	"1999"	"1999"	"Montana"	"30"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	42	897507	4.7
	"1999"	"1999"	"Montana"	"30"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	43	897507	4.8
	"1999"	"1999"	"Montana"	"30"	"Malignant neoplasm without specification of site"	"C80"	127	897507	14.2
	"1999"	"1999"	"Montana"	"30"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	68	897507	7.6
	"1999"	"1999"	"Montana"	"30"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	33	897507	3.7
	"1999"	"1999"	"Montana"	"30"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	18	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	28	897507	3.1
	"1999"	"1999"	"Montana"	"30"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	10	897507	Unreliable
	"1999"	"1999"	"Montana"	"30"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	11	897507	Unreliable
