"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"North Carolina"	"37"	"Enterocolitis due to Clostridium difficile"	"A04.7"	14	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Pulmonary mycobacterial infection"	"A31.0"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	18	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	32	7949361	0.4
	"1999"	"1999"	"North Carolina"	"37"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	28	7949361	0.4
	"1999"	"1999"	"North Carolina"	"37"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	39	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"Septicaemia, unspecified"	"A41.9"	873	7949361	11.0
	"1999"	"1999"	"North Carolina"	"37"	"Staphylococcal infection, unspecified"	"A49.0"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Bacterial infection, unspecified"	"A49.9"	21	7949361	0.3
	"1999"	"1999"	"North Carolina"	"37"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Acute hepatitis C"	"B17.1"	65	7949361	0.8
	"1999"	"1999"	"North Carolina"	"37"	"Chronic viral hepatitis C"	"B18.2"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in other bacterial infections"	"B20.1"	36	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in other viral infections"	"B20.3"	16	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in other mycoses"	"B20.5"	16	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	23	7949361	0.3
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in multiple infections"	"B20.7"	59	7949361	0.7
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	35	7949361	0.4
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	15	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	28	7949361	0.4
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	10	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"HIV disease resulting in other specified conditions"	"B23.8"	107	7949361	1.3
	"1999"	"1999"	"North Carolina"	"37"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	92	7949361	1.2
	"1999"	"1999"	"North Carolina"	"37"	"Viral infection, unspecified"	"B34.9"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Candidal septicaemia"	"B37.7"	11	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Unspecified mycosis"	"B49"	23	7949361	0.3
	"1999"	"1999"	"North Carolina"	"37"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	42	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	50	7949361	0.6
	"1999"	"1999"	"North Carolina"	"37"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	37	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	17	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	16	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	38	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	302	7949361	3.8
	"1999"	"1999"	"North Carolina"	"37"	"Cardia - Malignant neoplasms"	"C16.0"	16	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	329	7949361	4.1
	"1999"	"1999"	"North Carolina"	"37"	"Duodenum - Malignant neoplasms"	"C17.0"	18	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	13	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	10	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1204	7949361	15.1
	"1999"	"1999"	"North Carolina"	"37"	"Malignant neoplasm of rectosigmoid junction"	"C19"	56	7949361	0.7
	"1999"	"1999"	"North Carolina"	"37"	"Malignant neoplasm of rectum"	"C20"	211	7949361	2.7
	"1999"	"1999"	"North Carolina"	"37"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	11	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	122	7949361	1.5
	"1999"	"1999"	"North Carolina"	"37"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	70	7949361	0.9
	"1999"	"1999"	"North Carolina"	"37"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	75	7949361	0.9
	"1999"	"1999"	"North Carolina"	"37"	"Malignant neoplasm of gallbladder"	"C23"	52	7949361	0.7
	"1999"	"1999"	"North Carolina"	"37"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	23	7949361	0.3
	"1999"	"1999"	"North Carolina"	"37"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	16	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	798	7949361	10.0
	"1999"	"1999"	"North Carolina"	"37"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	12	7949361	Unreliable
	"1999"	"1999"	"North Carolina"	"37"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	26	7949361	0.3
