"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Nebraska"	"31"	"Septicaemia, unspecified"	"A41.9"	95	1704764	5.6
	"1999"	"1999"	"Nebraska"	"31"	"Acute hepatitis C"	"B17.1"	16	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	12	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	70	1704764	4.1
	"1999"	"1999"	"Nebraska"	"31"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	52	1704764	3.1
	"1999"	"1999"	"Nebraska"	"31"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	346	1704764	20.3
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of rectosigmoid junction"	"C19"	13	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of rectum"	"C20"	36	1704764	2.1
	"1999"	"1999"	"Nebraska"	"31"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	15	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	17	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	19	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	169	1704764	9.9
	"1999"	"1999"	"Nebraska"	"31"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	14	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	906	1704764	53.1
	"1999"	"1999"	"Nebraska"	"31"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	49	1704764	2.9
	"1999"	"1999"	"Nebraska"	"31"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	13	1704764	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	30	1704764	1.8
	"1999"	"1999"	"Nebraska"	"31"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	254	1704764	14.9
	"1999"	"1999"	"Nebraska"	"31"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	25	1704764	1.5
	"1999"	"1999"	"Nebraska"	"31"	"Endometrium - Malignant neoplasms"	"C54.1"	30	1704764	1.8
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of uterus, part unspecified"	"C55"	20	1704764	1.2
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of ovary"	"C56"	77	1704764	4.5
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of prostate"	"C61"	188	1704764	11.0
	"1999"	"1999"	"Nebraska"	"31"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	67	1704764	3.9
	"1999"	"1999"	"Nebraska"	"31"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	74	1704764	4.3
	"1999"	"1999"	"Nebraska"	"31"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	86	1704764	5.0
