"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"New Mexico"	"35"	"Septicaemia, unspecified"	"A41.9"	107	1808082	5.9
	"1999"	"1999"	"New Mexico"	"35"	"Acute hepatitis C"	"B17.1"	40	1808082	2.2
	"1999"	"1999"	"New Mexico"	"35"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	57	1808082	3.2
	"1999"	"1999"	"New Mexico"	"35"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	87	1808082	4.8
	"1999"	"1999"	"New Mexico"	"35"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	214	1808082	11.8
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of rectum"	"C20"	42	1808082	2.3
	"1999"	"1999"	"New Mexico"	"35"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	32	1808082	1.8
	"1999"	"1999"	"New Mexico"	"35"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	28	1808082	1.5
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of gallbladder"	"C23"	17	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	159	1808082	8.8
	"1999"	"1999"	"New Mexico"	"35"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	14	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	625	1808082	34.6
	"1999"	"1999"	"New Mexico"	"35"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	47	1808082	2.6
	"1999"	"1999"	"New Mexico"	"35"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	13	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	13	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	217	1808082	12.0
	"1999"	"1999"	"New Mexico"	"35"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	22	1808082	1.2
	"1999"	"1999"	"New Mexico"	"35"	"Endometrium - Malignant neoplasms"	"C54.1"	15	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of uterus, part unspecified"	"C55"	20	1808082	1.1
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of ovary"	"C56"	64	1808082	3.5
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of prostate"	"C61"	197	1808082	10.9
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	73	1808082	4.0
	"1999"	"1999"	"New Mexico"	"35"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	63	1808082	3.5
	"1999"	"1999"	"New Mexico"	"35"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	63	1808082	3.5
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm of thyroid gland"	"C73"	14	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Head, face and neck - Malignant neoplasms"	"C76.0"	12	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	24	1808082	1.3
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasm without specification of site"	"C80"	208	1808082	11.5
	"1999"	"1999"	"New Mexico"	"35"	"Hodgkin disease, unspecified"	"C81.9"	10	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	84	1808082	4.6
	"1999"	"1999"	"New Mexico"	"35"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	58	1808082	3.2
	"1999"	"1999"	"New Mexico"	"35"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	20	1808082	1.1
	"1999"	"1999"	"New Mexico"	"35"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	37	1808082	2.0
	"1999"	"1999"	"New Mexico"	"35"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	12	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	14	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	10	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	20	1808082	1.1
	"1999"	"1999"	"New Mexico"	"35"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	14	1808082	Unreliable
	"1999"	"1999"	"New Mexico"	"35"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	21	1808082	1.2
